timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
9615944,9615854,4325386,-0.003408846,-0.13720605,0.0057524275,nan,0,0,0,0,5
10615920,10615831,4325386,-0.010652644,-0.014274542,-0.061359227,nan,0,0,0,0,5
11618389,11618303,4325386,-0.08074704,-0.10610033,-0.021092234,nan,0,0,0,0,5
12615874,12615789,4325386,-0.025779398,0.23712786,-0.10460896,nan,0,0,0,0,5
13615856,13615769,4325386,-0.21923141,0.12570119,-0.113131076,nan,0,0,0,0,5
14615839,14615750,4325386,-0.51601404,-0.16362461,-0.22903185,nan,0,0,0,0,5
15613323,15613238,4325386,0.04751079,-0.2567287,0.011504855,nan,0,0,0,0,5
16615802,16615715,4325386,-0.051345743,-0.6197708,0.24692827,nan,0,0,0,0,5
17615790,17615699,4325386,0.18706042,2.5764484,-0.21816614,nan,0,0,0,0,5
18618265,18618177,4325386,-0.7433415,0.6434197,0.011504855,nan,0,0,0,0,5
19615757,19615670,4325386,0.22008362,0.009587379,0.5094094,nan,0,0,0,0,5
20615746,20615655,4325386,-0.36240295,-0.1857821,-0.25246766,nan,0,0,0,0,5
21615730,21615642,4325386,0.34152377,-0.8125837,-0.36410737,nan,0,0,0,0,5
22613222,22613136,4325386,0.41012678,-0.5015265,-0.4774515,nan,0,0,0,0,5
23615705,23615617,4325386,0.09800432,-0.13358416,-0.18663432,nan,0,0,0,0,5
24615862,24615606,4325386,-0.092678,-0.59122175,0.1559547,nan,0,0,0,0,5
25618253,25618090,4325386,-0.16426377,-0.4725513,-0.124848984,nan,0,0,0,0,5
26615718,26615587,4325386,0.07201187,-0.08266451,0.013422331,nan,0,0,0,0,5
27615665,27615578,4325386,-0.07499461,-0.22327942,-0.011291802,nan,0,0,0,0,5
28615721,28615570,4325386,0.11057444,0.061998386,-0.06455502,nan,0,0,0,0,5
29613157,29613070,4325386,-0.5049353,-0.15254585,0.053689323,nan,0,0,0,0,5
30615644,30615557,4325386,0.36048546,-0.14721954,0.019813918,nan,0,0,0,0,5
31615638,31615551,4325386,0.22519688,-0.046871632,-0.11398329,nan,0,0,0,0,5
32618127,32618040,4325386,-0.14998922,-0.18940401,-0.34706312,nan,0,0,0,0,5
33615627,33615542,4325386,-0.6310626,-0.09459548,-0.016405072,nan,0,0,0,0,5
34615625,34615538,4325386,0.24650218,-0.19494338,-0.3792341,nan,0,0,0,0,5
35615622,35615535,4325386,0.85476816,-3.3127592,-0.24501081,nan,0,0,0,0,5
36613127,36613039,4325386,-0.5577724,0.69902647,-0.6097573,nan,0,0,0,0,5
37615619,37615530,4325386,1.3850567,-0.17108145,-1.7459683,nan,0,0,0,0,5
