timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
8940926,16.582493,31.109274,15.0,71.22419,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.204678,17.267923,1.0,16.634207,-0.051713943,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
8950922,16.595339,31.250282,15.0,71.31096,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.220345,17.267452,1.0,16.579672,0.015666962,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
9140922,16.610937,31.134912,15.0,72.96431,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.233635,17.261377,1.0,16.616987,-0.00605011,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
9340923,16.677004,31.387625,15.0,74.70285,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.304756,17.258718,1.0,16.722624,-0.045619965,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
9540923,16.642136,31.343676,15.0,76.43566,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.269009,17.248148,1.0,16.608345,0.03379059,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
9740922,16.646723,31.435238,15.0,78.17623,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.275427,17.25066,1.0,16.592266,0.05445671,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
9940922,16.594421,31.193512,15.0,79.91587,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.218292,17.246283,1.0,16.675049,-0.08062744,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
10140922,16.571482,31.24845,15.0,81.65665,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.196451,17.245817,1.0,16.582306,-0.0108242035,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
10340931,16.75775,31.449888,15.0,83.39742,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.386747,17.250977,1.0,16.627798,0.12995148,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
10540922,16.620113,31.383963,15.0,85.137405,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.247793,17.25239,1.0,16.63587,-0.015756607,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
10740936,16.664158,31.400442,15.0,86.88126,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.292166,17.25325,1.0,16.647787,0.016370773,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
10940922,16.6559,31.250282,15.0,88.619415,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.280905,17.25302,1.0,16.646494,0.009405136,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
11140922,16.709118,31.003063,15.0,90.35688,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.32918,17.251328,1.0,16.327934,0.38118362,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
11340923,16.540285,31.314375,15.0,92.10939,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.166573,17.248316,1.0,16.589012,-0.048727036,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
11540940,16.683426,31.827126,15.0,93.86352,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.31997,17.237505,1.0,16.741903,-0.0584774,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
11741057,16.642136,31.803318,15.0,95.61264,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.278202,17.231876,1.0,16.755047,-0.112911224,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
11940921,16.614607,31.792332,15.0,97.36039,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.250454,17.236212,1.0,16.552742,0.061864853,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
12140922,16.702696,31.037857,15.0,99.10801,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.323454,17.23719,1.0,16.367918,0.33477783,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
12340922,16.749493,31.744719,15.0,100.85428,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.384386,17.2329,1.0,16.34973,0.3997631,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
12540920,16.29988,31.918688,15.0,102.60383,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,16.938253,17.230581,1.0,16.791162,-0.49128342,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
12740920,16.370533,31.71725,15.0,104.36266,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.004877,17.222622,1.0,16.495838,-0.12530518,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
12940920,16.67058,31.155056,15.0,106.11989,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.29368,17.223246,1.0,16.284803,0.38577652,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
13140927,16.699944,32.642033,15.0,107.88604,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.352785,17.201786,1.0,16.109947,0.58999634,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
13340921,16.676086,33.0504,15.0,109.66963,1.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,17.337095,17.202154,1.0,16.534811,0.1412754,6.0133185,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0
