timestamp,imbalanced_prop_metric,motor_failure_mask,motor_stop_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
8886960,0.09601567,0,0,0,0,0,0,0,0,0,0
9387198,0.0878112,0,0,0,0,0,0,0,0,0,0
9892743,0.0812634,0,0,0,0,0,0,0,0,0,0
10398707,0.07499256,0,0,0,0,0,0,0,0,0,0
10904719,0.06894073,0,0,0,0,0,0,0,0,0,0
11410698,0.065691136,0,0,0,0,0,0,0,0,0,0
11916838,0.06959292,0,0,0,0,0,0,0,0,0,0
12422719,0.08774253,0,0,0,0,0,0,0,0,0,0
12928709,0.0917683,0,0,0,0,0,0,0,0,0,0
13434755,0.10558925,0,0,0,0,0,0,0,0,0,0
13940739,0.0938277,0,0,0,0,0,0,0,0,0,0
14447058,0.07543226,0,0,0,0,0,0,0,0,0,0
14952960,0.066778876,0,0,0,0,0,0,0,0,0,0
15095983,0.08090585,0,0,0,0,0,0,0,0,0,0
15601729,0.06996654,0,0,0,0,0,0,0,0,0,0
16107697,0.07407196,0,0,0,0,0,0,0,0,0,0
16613746,0.06205774,0,0,0,0,0,0,0,0,0,0
16624698,0.06205774,0,0,0,0,0,0,0,0,0,0
17130698,0.045832474,0,0,0,0,0,0,0,0,0,0
17636720,0.03983074,0,0,0,0,0,0,0,0,0,0
18044164,0.029232156,0,0,0,1,0,0,0,0,0,0
18055429,0.029232156,0,0,0,1,0,0,0,0,0,0
18560741,0.023277627,0,0,0,1,0,0,0,0,0,0
18693031,0.022014506,0,0,1,1,0,0,0,0,0,0
19198718,0.007003564,0,0,1,1,0,0,0,0,0,0
19253859,0.007003564,0,0,1,0,0,0,0,0,0,0
19759698,-0.0006936345,0,0,1,0,0,0,0,0,0,0
20265729,-0.006851846,0,0,1,0,0,0,0,0,0,0
20540883,-0.0066872034,0,0,1,1,0,0,0,0,0,0
21046698,-0.024137972,0,0,1,1,0,0,0,0,0,0
21288924,-0.027001075,0,0,0,1,0,0,0,0,0,0
21343858,-0.027001075,0,0,0,1,0,0,0,0,0,0
21365932,-0.027001075,0,0,0,0,0,0,0,0,0,0
21871692,-0.03706952,0,0,0,0,0,0,0,0,0,0
22377694,-0.02217416,0,0,0,0,0,0,0,0,0,0
22883754,-0.02708,0,0,0,0,0,0,0,0,0,0
23389694,-0.015720379,0,0,0,0,0,0,0,0,0,0
23895851,-0.009279333,0,0,0,0,0,0,0,0,0,0
24401722,-0.02145263,0,0,0,0,0,0,0,0,0,0
24446335,-0.024513459,0,0,0,0,0,0,0,0,0,0
24951694,-0.02951249,0,0,0,0,0,0,0,0,0,0
25457716,-0.037571013,0,0,0,0,0,0,0,0,0,0
25963693,-0.028492508,0,0,0,0,0,0,0,0,0,0
26469693,-0.027422434,0,0,0,0,0,0,0,0,0,0
26535977,-0.025283415,0,0,0,0,0,0,0,0,0,0
27041838,-0.017797053,0,0,0,0,0,0,0,0,0,0
27547695,-0.016107643,0,0,0,0,0,0,0,0,0,0
27888703,-0.016175495,0,0,0,0,0,0,0,0,0,0
28306904,-0.015747348,0,0,0,0,0,0,0,0,0,0
28636841,-0.01007315,0,0,0,0,0,0,0,0,0,0
29142722,-0.015794246,0,0,0,0,0,0,0,0,0,0
29648732,-0.006923854,0,0,0,0,0,0,0,0,0,0
30154964,-0.0033677598,0,0,0,0,0,0,0,0,0,0
30660698,-0.0030775787,0,0,0,0,0,0,0,0,0,0
30726855,-0.0075004334,0,0,0,0,0,0,0,0,0,0
31232721,0.012700006,0,0,0,0,0,0,0,0,0,0
31739719,0.004214177,0,0,0,0,0,0,0,0,0,0
32245698,-0.013091032,0,0,0,0,0,0,0,0,0,0
32752753,-0.05874715,0,0,0,0,0,0,0,0,0,0
33258924,-0.054667674,0,0,0,0,0,0,0,0,0,0
33764717,-0.027198147,0,0,0,0,0,0,0,0,0,0
33808851,-0.027198147,0,0,0,0,0,0,0,0,0,0
33852869,-0.0023602268,0,0,0,0,0,0,0,0,0,0
34359039,-0.12579684,0,0,0,0,0,0,0,0,0,0
34512838,-0.103264906,0,0,0,0,0,0,0,0,0,0
34524537,-0.103264906,0,0,0,0,0,0,0,0,0,0
34546011,-0.103264906,0,0,0,0,0,0,0,0,0,0
34667871,-0.1529275,0,0,0,0,0,0,0,0,0,0
35173740,-0.18318988,0,0,0,0,0,0,0,0,0,0
35679698,-0.13113885,0,0,0,0,0,0,0,0,0,0
35768050,-0.16087371,0,0,0,0,0,0,0,0,0,0
35778977,-0.16087371,0,0,0,0,0,0,0,0,0,0
35789973,-0.16087371,0,0,0,0,0,0,0,0,0,0
36295697,-0.3587218,0,0,0,0,0,0,0,0,0,0
36801710,-0.53984886,0,0,0,0,0,0,0,0,0,0
36889839,-0.62567675,0,0,0,0,0,0,0,0,0,0
36900961,-0.62567675,0,0,0,0,0,0,0,0,0,0
36911859,-0.62567675,0,0,0,0,0,0,0,0,0,0
37417697,-0.85257685,0,0,0,0,0,0,0,0,0,0
37923698,-0.9908903,0,0,0,0,0,0,0,0,0,0
38429718,-1.1423862,0,0,0,0,0,0,0,0,0,0
