timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
21027797,20833799,4028193,-2.009013,0.00016857099,1.5602379,13.017555,0.020778283
21087503,20893240,4028193,-2.0088959,0.0011796064,1.2869174,12.973841,0.014183725
21486492,21295761,4028193,-2.0044014,0.007906747,1.6317503,12.406732,0.023845559
22005296,21814442,4028193,-1.9873493,0.016548842,1.8056203,12.374402,0.029274272
22523894,22333002,4028193,-1.9600663,0.024978485,1.4740738,12.337056,0.01956971
22992757,22794682,4028193,-1.9289169,0.032345317,1.4679594,12.334713,0.019411385
23511403,23313103,4028193,-1.8867873,0.04012278,1.6044791,12.335093,0.023189064
24030169,23831670,4028193,-1.8386034,0.047452282,1.5832772,12.335524,0.022579474
24489012,24290936,4028193,-1.7930677,0.053515457,1.2630465,12.34049,0.014363615
25007757,24809684,4028193,-1.7342874,0.059882812,1.42189,12.345263,0.018196555
25526474,25328343,4028193,-1.6734419,0.065711826,1.1935301,12.347879,0.012818342
25985267,25790338,4028193,-1.6168002,0.07040372,1.2047303,12.352753,0.013054895
26503897,26309021,4028193,-1.5504543,0.07522633,1.0855343,12.357002,0.0105957445
27022803,26827702,4028193,-1.4890724,0.07954211,0.994004,12.360433,0.008881781
27481472,27289703,4028193,-1.4373827,0.082939826,1.1427407,12.362851,0.011736382
28000335,27808354,4028193,-1.385189,0.08638226,0.6386788,12.366062,0.003665144
28518866,28327086,4028193,-1.3356283,0.08941249,0.61202705,12.369085,0.0033648144
28977733,28786351,4028193,-1.297482,0.09175337,0.6152626,12.370629,0.0034000617
29496420,29305114,4028193,-1.2608743,0.09410829,0.4736761,12.373342,0.0020148067
30015109,29823489,4028193,-1.232291,0.096158475,0.23437822,12.3758955,0.00049319124
30483922,30285169,4028193,-1.2089581,0.09788253,0.360806,12.377162,0.0011686485
31002644,30803724,4028193,-1.1862407,0.09944728,0.24977183,12.379068,0.00055995927
31521356,31322440,4028193,-1.1716812,0.10079961,0.19791067,12.380658,0.0003515217
31980371,31784276,4028193,-1.1697265,0.10180755,0.0810045,12.380733,5.888836e-05
32498876,32302693,4028193,-1.1619375,0.10282764,-0.3394866,12.381863,0.0010342292
33017595,32821082,4028193,-1.1534477,0.103704065,-0.20288002,12.382945,0.0003693279
33476407,33280252,4028193,-1.1468651,0.10434098,-0.17316806,12.382737,0.00026907693
33995106,33798916,4028193,-1.1349798,0.104997344,0.41076672,12.383667,0.0015139055
34513826,34317324,4028193,-1.1033155,0.10556207,0.3301915,12.384337,0.0009781749
35032761,34835699,4028193,-1.0751863,0.10605096,0.6110083,12.384566,0.00334943
35491378,35297617,4028193,-1.050293,0.10638917,0.42822945,12.384665,0.0016452288
36010069,35816210,4028193,-1.0698891,0.10675277,-0.84637856,12.386014,0.0064262147
36529060,36334734,4028193,-1.0685644,0.107065275,0.02316928,12.389243,4.814351e-06
36987642,36796696,4028193,-1.0460074,0.107268475,0.60523987,12.392461,0.003284392
37506333,37315389,4028193,-1.0126354,0.10750421,0.03228116,12.396397,9.34029e-06
38025239,37834127,4028193,-0.97908455,0.1077074,0.088167846,12.4000435,6.96554e-05
