timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
22407058,22218747,22219228,31.18556307043166,117.19757064036479,0,0.25,0.25,-0.014780987,0.057427686,-0.0029063174,0.027404897,0.32251263,0.32245463,2.7096934e-05,0.00040910425,-6.259787e-06,0.00014299044,1,0,1
22909466,22718749,22721652,31.185565539653176,117.19756693167867,0,0.25,0.25,-0.055940308,0.09859698,-0.023661042,0.06033503,0.28223932,0.28186923,0.00044349852,0.0013795567,-0.00013782548,0.0006495034,1,0,1
23412168,23221766,23224078,31.18556959633114,117.19756563119269,0,0.25,0.25,-0.08108944,0.09068301,-0.050686333,0.07940487,0.27289516,0.2724695,0.00096381287,0.0012072411,-0.00047498816,0.0010022712,1,0,1
23914280,23723754,23726504,31.18557281195963,117.19756294287191,0,0.25,0.25,-0.08463901,0.08820791,-0.06382013,0.09090062,0.26924387,0.26895642,0.0010642787,0.0011571592,-0.0006660702,0.0012716983,1,0,1
24416807,24225746,24228931,31.185575072460196,117.19756037033713,0,0.25,0.25,-0.11161221,0.056077745,-0.08466858,0.07838087,0.2675143,0.2673339,0.0018626722,0.0004705297,-0.0011452861,0.0009687,1,0,1
24919132,24724769,24731357,31.185578616483667,117.19755926024078,0,0.25,0.25,-0.11229777,0.056001395,-0.101632245,0.0647921,0.266652,0.26656044,0.0018917227,0.0004706109,-0.0016062354,0.0006703277,1,0,1
25411892,25223754,25223933,31.185582003560317,117.19755664904449,0,0.25,0.25,-0.11537785,0.11517335,-0.10908431,0.07940078,0.26600164,0.26593238,0.0020017994,0.001995229,-0.00181954,0.0010251581,1,0,1
25914170,25724758,25726360,31.18558436187079,117.19755422062445,0,0.25,0.25,-0.07239284,0.09907034,-0.09289353,0.091464005,0.26576206,0.26570582,0.00078878435,0.0014775636,-0.0013604922,0.0013062956,1,0,1
26416769,26222748,26228787,31.18558729120779,117.19755374092095,0,0.25,0.25,-0.061979767,0.08150916,-0.07644767,0.09131261,0.2655675,0.2655318,0.00057860865,0.0010008207,-0.00093888526,0.0012799428,1,0,1
26919045,26721742,26731214,31.185589185417587,117.19755263024348,0,0.25,0.25,-0.053062566,0.07863027,-0.06382537,0.08284881,0.26549757,0.26547122,0.00042420515,0.00093158404,-0.0006544558,0.0010514136,1,0,1
