timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
9196044,9008485,0.7508345,0.094856314,-0.10725698,0.6447836,2.7274468,17.914448,0.0067781243,0.0,0.0,-0.28321475,9.830564e-05,0.0008066225,0.0022007972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26881242,0.0023064434,0.0011488721,0.0007643786,0.79138,1.0832878,0.27135637,1.8738297,2.1063194,0.6875469,1.4527058e-05,0.00011976193,8.8083056e-05,0.040000003,0.040000003,0.040000003,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,1.0,1.0,0.012236554,25
9688646,9501052,0.76211125,0.10800343,-0.10866574,0.62905765,2.7708426,17.94503,0.038193468,0.0,0.0,-0.23002084,8.813359e-05,0.00081458036,0.002033369,-0.0033285029,-0.00060143316,-0.0044807578,0.0,0.0,0.0,0.0,0.0,0.0,-0.036817525,-0.0073348586,-0.26881242,0.0027712751,0.0011781198,0.0009833771,0.7453016,0.668529,0.2708053,2.0514054,2.2608902,0.6787908,1.43527e-05,0.00011799815,8.543584e-05,0.03829591,0.03989044,0.03667771,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.9040943,0.6194063,0.5326053,25
10191070,10003470,0.7675861,0.11013763,-0.095964275,0.62407714,2.8983893,18.035555,0.032180745,0.0,0.0,-0.2087522,-9.6344505e-05,0.0013981877,0.0017658075,-0.005318207,0.0005487537,-0.005644082,0.0,0.0,0.0,0.0,0.0,0.0,-0.08550019,-0.027994828,-0.26881242,0.0030691228,0.0011986226,0.0012188993,0.75031614,0.7189392,0.26663026,2.565146,2.6947572,0.6762101,1.3509752e-05,0.00010912483,8.1984035e-05,0.036898077,0.039800953,0.032828767,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.8477612,0.5836269,1.06638,25
10693868,10505889,0.76558954,0.118694715,-0.10012235,0.62430745,2.9926178,18.158115,0.0801384,0.0,0.0,-0.1774442,-0.00028077996,0.002002683,0.0014430052,-0.0064699,0.0018994794,-0.006548763,0.0,0.0,0.0,0.0,0.0,0.0,-0.12341769,-0.03018404,-0.26881242,0.002949254,0.0012051725,0.0014544891,0.7876642,0.8295967,0.2655544,3.393918,3.426418,0.70914495,1.17138015e-05,9.0014575e-05,7.7748504e-05,0.035892755,0.039726842,0.029191349,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.81300306,0.58016235,1.6060208,25
11195976,11008309,0.7617597,0.1198429,-0.10634431,0.6277347,3.1292894,18.239977,0.053590465,0.0,0.0,-0.1731983,-0.00030908544,0.0021094838,0.0012116873,-0.0050692596,0.0026399863,-0.00425356,0.0,0.0,0.0,0.0,0.0,0.0,-0.13816325,-0.02722716,-0.26881242,0.0023171345,0.001177294,0.001642714,0.8282018,0.86853456,0.24891926,4.4975085,4.424895,0.6978145,9.187123e-06,6.282997e-05,7.115487e-05,0.035104576,0.039649453,0.025167245,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.7870114,0.58016986,2.1505227,25
11698462,11510728,0.76384354,0.102879606,-0.11735794,0.6262475,3.2819216,18.351696,0.043062147,0.0,0.0,-0.13181289,-0.00041854693,0.0024789798,0.0011375549,-0.005781423,0.0028757437,-0.0056057633,0.0,0.0,0.0,0.0,0.0,0.0,-0.14110716,-0.021521583,-0.26881242,0.0018509559,0.0011653431,0.0018393808,0.90547365,0.8933106,0.22846542,5.946764,5.7195973,0.6811523,7.568276e-06,4.517227e-05,6.575796e-05,0.03467084,0.03959018,0.021439744,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.7777821,0.57840043,2.7007766,25
12190867,12003297,0.7681136,0.10245766,-0.07997634,0.62698305,3.326869,18.313694,0.025195785,0.0,0.0,-0.10162619,-0.00015724397,0.0016339653,0.0009770347,-0.0054118806,0.003791722,-0.007530116,0.0,0.0,0.0,0.0,0.0,0.0,-0.15005487,-0.03656096,-0.26881242,0.0015978089,0.0011464776,0.0020125215,0.99615705,0.92820215,0.2139595,7.70159,7.297075,0.6922571,6.674728e-06,3.5248817e-05,6.0310194e-05,0.0344552,0.039523445,0.018510215,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.7737573,0.5764164,3.2433684,25
12693556,12505717,0.76872045,0.06491381,-0.058022153,0.6336313,3.448229,18.425009,0.191272,0.0,0.0,-0.06696511,-2.4512652e-05,0.0012270273,0.00075121777,-0.00482189,0.005382866,-0.0065393317,0.0,0.0,0.0,0.0,0.0,0.0,-0.15795788,-0.046658628,-0.26881242,0.0013325595,0.0011135117,0.0021727867,1.0890863,0.904668,0.1924115,9.857935,9.133579,0.66700166,5.938417e-06,2.6916976e-05,5.504903e-05,0.034311168,0.03943822,0.015677197,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.7726915,0.5736509,3.7988503,25
13195766,13008137,0.75816905,0.039462447,-0.070832886,0.646997,3.5438542,18.294907,0.006737122,0.0,0.0,0.008231565,0.00019179477,0.00043842423,0.0010954315,-0.006484755,0.006173749,-0.0051682405,0.0,0.0,0.0,0.0,0.0,0.0,-0.16351356,-0.06596803,-0.26881242,0.0011048653,0.0010677124,0.0023130162,1.2049739,0.85848707,0.17222454,12.400052,11.180626,0.6405924,5.391878e-06,2.063211e-05,4.995002e-05,0.034229077,0.039310984,0.01330505,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.77269745,0.5706732,4.3548717,25
13688400,13500706,0.76528573,0.02474388,-0.018462652,0.64295,3.5269263,18.29853,0.15582208,0.0,0.0,-0.011692337,0.00033267692,-0.00014384807,0.0016132089,-0.009261265,0.0064387596,-0.0003843795,0.0,0.0,0.0,0.0,0.0,0.0,-0.17180677,-0.08074795,-0.26881242,0.0010360547,0.0010150148,0.0024285517,1.3035899,0.8617584,0.16003565,15.295919,13.563021,0.6415329,5.1410875e-06,1.7697685e-05,4.518722e-05,0.03416257,0.039180133,0.011534407,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.0025000002,0.7732042,0.5695127,4.8978305,25
