timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
8942853,0.0,0.7677075,-0.13832313,0.059499126,0.6228577,0.014423043,0.0,0.0
8948181,0.0,0.76766586,-0.13832712,0.05948986,0.6229091,0.014423043,0.0,0.0
8992715,0.0,0.76745397,-0.13834734,0.05944282,0.62317014,0.014423043,0.0,0.0
9042611,0.0,0.7677808,-0.13831614,0.059515387,0.6227675,0.014423043,0.0,0.0
9092500,0.0,0.76886755,-0.13821195,0.05975694,0.6214252,0.014423043,0.0,0.0
9147812,0.0,0.7708498,-0.13802025,0.060198385,0.61896455,0.014423043,0.0,0.0
9192182,0.0,0.77280974,-0.13782856,0.060635984,0.6165157,0.014423043,0.0,0.0
9242104,0.0,0.7749824,-0.13761355,0.061122395,0.61378247,0.014423043,0.0,0.0
9297387,0.0,0.7770034,-0.13741112,0.061576128,0.611222,0.014423043,0.0,0.0
9347052,0.0,0.7785009,-0.1372596,0.061913133,0.6093135,0.014423043,0.0,0.0
9391707,0.0,0.77958703,-0.1371489,0.062157985,0.6079232,0.014423043,0.0,0.0
9441625,0.0,0.78043675,-0.1370618,0.0623498,0.60683197,0.014423043,0.0,0.0
9496854,0.0,0.78074574,-0.13703004,0.062419597,0.6064344,0.014423043,0.0,0.0
9546533,0.0,0.7804986,-0.13705544,0.062363766,0.6067524,0.014423043,0.0,0.0
9591232,0.0,0.7801378,-0.13709249,0.062282283,0.6072163,0.014423043,0.0,0.0
9646287,0.0,0.7800492,-0.13710159,0.06226228,0.6073301,0.014423043,0.0,0.0
9696374,0.0,0.7806037,-0.13704464,0.06238751,0.6066172,0.014423043,0.0,0.0
9746081,0.0,0.7816589,-0.13693579,0.062626064,0.6052569,0.014423043,0.0,0.0
9790694,0.0,0.7828516,-0.13681196,0.06289612,0.6037135,0.014423043,0.0,0.0
9845838,0.0,0.78421074,-0.13666981,0.063204415,0.60194695,0.014423043,0.0,0.0
9895809,0.0,0.7851751,-0.13656826,0.06342352,0.60068846,0.014423043,0.0,0.0
9945573,0.0,0.7858158,-0.1365005,0.063569255,0.59985006,0.014423043,0.0,0.0
9995373,0.0,0.7862153,-0.13645811,0.0636602,0.5993264,0.014423043,0.0,0.0
10045320,0.0,0.7864521,-0.13643295,0.06371412,0.5990156,0.014423043,0.0,0.0
10095255,0.0,0.7865685,-0.13642055,0.06374064,0.5988627,0.014423043,0.0,0.0
10145012,0.0,0.7865918,-0.13641807,0.06374594,0.59883213,0.014423043,0.0,0.0
10194935,0.0,0.7866913,-0.13640746,0.06376862,0.59870136,0.014423043,0.0,0.0
10244779,0.0,0.78697854,-0.13637686,0.06383406,0.5983238,0.014423043,0.0,0.0
10294723,0.0,0.7873242,-0.13633995,0.06391286,0.5978689,0.014423043,0.0,0.0
10344571,0.0,0.78760445,-0.13630995,0.063976794,0.5974996,0.014423043,0.0,0.0
10394365,0.0,0.7876524,-0.13630483,0.06398773,0.5974364,0.014423043,0.0,0.0
10444254,0.0,0.7872498,-0.13634789,0.06389591,0.5979668,0.014423043,0.0,0.0
10494240,0.0,0.7863317,-0.13644575,0.0636867,0.59917367,0.014423043,0.0,0.0
10544040,0.0,0.7850583,-0.13658059,0.063396975,0.6008411,0.014423043,0.0,0.0
10593889,0.0,0.78379047,-0.13671388,0.06310903,0.60249406,0.014423043,0.0,0.0
10643758,0.0,0.7827603,-0.13682146,0.06287544,0.6038318,0.014423043,0.0,0.0
10693703,0.0,0.782194,-0.13688032,0.06274717,0.6045652,0.014423043,0.0,0.0
10743580,0.0,0.7821432,-0.13688561,0.062735654,0.60463107,0.014423043,0.0,0.0
10788179,0.0,0.7824184,-0.13685703,0.062797986,0.6042748,0.014423043,0.0,0.0
10843252,0.0,0.78288287,-0.1368087,0.062903225,0.60367286,0.014423043,0.0,0.0
10893196,0.0,0.783154,-0.13678043,0.06296467,0.6033211,0.014423043,0.0,0.0
10943080,0.0,0.78306276,-0.13678995,0.06294399,0.60343957,0.014423043,0.0,0.0
10992890,0.0,0.7827141,-0.13682628,0.062864974,0.60389173,0.014423043,0.0,0.0
11047512,0.0,0.7822442,-0.13687512,0.062758535,0.6045003,0.014423043,0.0,0.0
11092770,0.0,0.7819985,-0.13690062,0.06270292,0.60481805,0.019230753,0.0,0.0
11142519,0.0,0.78195906,-0.1369047,0.06269399,0.60486907,0.024038434,0.0,0.0
11192382,0.0,0.7821405,-0.1368859,0.06273505,0.6046345,0.030048043,0.0,0.0
11247056,0.0,0.78215575,-0.1368843,0.06273851,0.60461473,0.033653826,0.0,0.0
11292208,0.0,0.78207546,-0.13689263,0.06272034,0.60471857,0.033653826,0.0,0.0
11342033,0.0,0.7819852,-0.136902,0.0626999,0.60483533,0.033653826,0.0,0.0
11396633,0.0,0.78206867,-0.13689333,0.0627188,0.6047273,0.033653826,0.0,0.0
11446532,0.0,0.78239274,-0.13685971,0.06279217,0.60430807,0.033653826,0.0,0.0
11491674,0.0,0.78222585,-0.13687703,0.062754385,0.604524,0.032451898,0.0,0.0
11541556,0.0,0.7815222,-0.13694993,0.06259514,0.6054334,0.032451898,0.0,0.0
11596126,0.0,0.7808334,-0.13702099,0.062439412,0.60632145,0.033653826,0.0,0.0
11646004,0.0,0.7805572,-0.13704942,0.062376995,0.6066771,0.033653826,0.0,0.0
11691192,0.0,0.7806509,-0.13703978,0.062398177,0.6065564,0.033653826,0.0,0.0
11745750,0.0,0.7810665,-0.13699698,0.06249209,0.60602117,0.033653826,0.0,0.0
11795629,0.0,0.78158563,-0.13694337,0.06260949,0.60535157,0.033653826,0.0,0.0
11845509,0.0,0.78239596,-0.13685936,0.0627929,0.6043039,0.032451898,0.0,0.0
11890653,0.0,0.78320026,-0.1367756,0.06297516,0.60326105,0.032451898,0.0,0.0
11945262,0.0,0.783869,-0.13670565,0.06312685,0.60239196,0.032451898,0.0,0.0
11995125,0.0,0.78419757,-0.13667119,0.063201435,0.60196406,0.032451898,0.0,0.0
12045002,0.0,0.7848927,-0.13659807,0.063359335,0.60105747,0.032451898,0.0,0.0
12094892,0.0,0.7863464,-0.13644418,0.063690044,0.59915435,0.032451898,0.0,0.0
12144751,0.0,0.788521,-0.13621154,0.06418603,0.5962895,0.03605768,0.0,0.0
12194624,0.0,0.79069275,-0.13597631,0.06468289,0.59340674,0.045673043,0.0,0.0
12244496,0.0,0.7916917,-0.1358671,0.06491197,0.5920733,0.045673043,0.0,0.0
12294365,0.0,0.7909051,-0.13595314,0.06473157,0.5931236,0.045673043,0.0,0.0
12344239,0.0,0.7885794,-0.13620527,0.064199366,0.59621227,0.04687497,0.0,0.0
12394112,0.0,0.78544134,-0.13654013,0.063484065,0.60034037,0.048076898,0.0,0.0
12443972,0.0,0.78229487,-0.13686986,0.06277,0.6044348,0.050480753,0.0,0.0
12493882,0.0,0.7797633,-0.13713087,0.062197752,0.6076971,0.050480753,0.0,0.0
12543740,0.0,0.77794474,-0.13731603,0.06178789,0.61002344,0.05288458,0.0,0.0
12593653,0.0,0.77664644,-0.13744704,0.0614959,0.6116755,0.055288434,0.0,0.0
12643492,0.0,0.77526957,-0.13758492,0.061186798,0.61341965,0.05769229,0.0,0.0
12693372,0.0,0.7733223,-0.13777809,0.0607506,0.61587274,0.06249997,0.0,0.0
12743311,0.0,0.7707866,-0.13874309,0.059627816,0.618937,0.0637019,0.0,0.0
12793113,0.0,0.76864517,-0.13823332,0.05970748,0.6217002,0.06730768,0.0,0.0
12842992,0.0,0.7671346,-0.13837777,0.059371933,0.62356323,0.07211536,0.0,0.0
12892890,0.0,0.76672083,-0.13841712,0.05928014,0.6240719,0.075721145,0.0,0.0
12942741,0.0,0.7662488,-0.13846189,0.059175484,0.6246513,0.08173075,0.0,0.0
12992614,0.0,0.76587117,-0.13849764,0.059091784,0.6251144,0.08774036,0.0,0.0
13042541,0.0,0.76592875,-0.13849218,0.05910455,0.62504375,0.091346145,0.0,0.0
13092364,0.0,0.7657843,-0.13850585,0.05907255,0.6252207,0.09374997,0.0,0.0
13147476,0.0,0.76544976,-0.13853742,0.05899845,0.62563026,0.09374997,0.0,0.0
13192104,0.0,0.7651763,-0.13856319,0.058937903,0.6259647,0.09374997,0.0,0.0
13241988,0.0,0.7651871,-0.13856217,0.058940295,0.62595147,0.102163434,0.0,0.0
13291864,0.0,0.76567215,-0.13851644,0.0590477,0.6253581,0.10817304,0.0,0.0
13347025,0.0,0.766488,-0.13843922,0.05922851,0.6243578,0.11899036,0.0,0.0
13391624,0.0,0.7676232,-0.13833119,0.0594804,0.62296164,0.12860575,0.0,0.0
13441480,0.0,0.7685023,-0.13824704,0.059675712,0.6218769,0.14062497,0.0,0.0
13496663,0.0,0.76970166,-0.13813154,0.059942555,0.6203917,0.14543268,0.0,0.0
13546447,0.0,0.770314,-0.13807228,0.06007894,0.61963135,0.14543268,0.0,0.0
13591097,0.0,0.77005774,-0.1380971,0.06002185,0.6199497,0.14543268,0.0,0.0
13641031,0.0,0.7681706,-0.13827884,0.059601996,0.6222865,0.14543268,0.0,0.0
13696129,0.0,0.76442796,-0.1386335,0.058772337,0.6268783,0.14543268,0.0,0.0
13745957,0.0,0.7606864,-0.13898057,0.057946842,0.63141334,0.14903843,0.0,0.0
13790652,0.0,0.7583825,-0.13919063,0.05744045,0.6341787,0.15144229,0.0,0.0
13845784,0.0,0.7568934,-0.13932492,0.057113923,0.63595515,0.15384614,0.0,0.0
13895557,0.0,0.75656044,-0.13865073,0.057614453,0.63645333,0.15384614,0.0,0.0
13945475,0.0,0.75711507,-0.13930501,0.057162486,0.6356913,0.15624997,0.0,0.0
