timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
7368697,0,0,0,0,0,0
7874725,0,0,0,0,0,0
8380685,0,0,0,0,0,0
8886689,0,0,0,0,0,0
9387050,0,0,0,0,0,0
9892733,0,0,0,0,0,0
10398697,0,0,0,0,0,0
10904707,0,0,0,0,0,0
11410689,0,0,0,0,0,0
11916689,0,0,0,0,0,0
12422707,0,0,0,0,0,0
12928699,0,0,0,0,0,0
13434745,0,0,0,0,0,0
13940729,0,0,0,0,0,0
14446908,0,0,0,0,0,0
14952952,0,0,0,0,0,0
15458842,0,0,0,0,0,0
15964703,0,0,0,0,0,0
16470689,0,0,0,0,0,0
16976711,0,0,0,0,0,0
17482688,0,0,0,0,0,0
17988698,0,0,0,0,0,0
18494707,0,0,0,0,0,0
19000690,0,0,0,0,0,0
19506689,0,0,0,0,0,0
20012969,0,0,0,0,0,0
20519058,0,0,0,0,0,0
21024826,0,0,0,0,0,0
21530726,0,0,0,0,0,0
22036683,0,0,0,0,0,0
22542688,0,0,0,0,0,0
23048703,0,0,0,0,0,0
23554684,0,0,0,0,0,0
24060684,0,0,0,0,0,0
24566713,0,0,0,0,0,0
25072687,0,0,0,0,0,0
25578695,0,0,0,0,0,0
26085012,0,0,0,0,0,0
26590696,0,0,0,0,0,0
27096684,0,0,0,0,0,0
27602713,0,0,0,0,0,0
28108707,0,0,0,0,0,0
28614689,0,0,0,0,0,0
29120706,0,0,0,0,0,0
29626689,0,0,0,0,0,0
30132689,0,0,0,0,0,0
30638755,0,0,0,0,0,0
31144756,0,0,0,0,0,0
31651691,0,0,0,0,0,0
32157688,0,0,0,0,0,0
32664708,0,0,0,0,0,0
33170707,0,0,0,0,0,0
33676687,0,0,0,0,0,0
34182688,0,0,0,0,0,0
34689690,0,0,0,0,0,0
35195777,0,0,0,0,0,0
35701688,0,0,0,0,0,0
36207689,0,0,0,0,0,0
36713724,0,0,0,0,0,0
37219710,0,0,0,0,0,0
37726379,0,0,0,0,0,0
38231709,0,0,0,0,0,0
