timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
27304866,12.317672,0.0,15.0,0.049889397,0.84978336,1.0219301,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.317672,12.3466015,0.8592233,12.358606,-0.008123398,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
27314865,12.315849,0.0476125,15.0,0.050021626,0.84971184,1.0219408,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.316535,12.346304,0.85905784,12.350061,-0.034212112,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
27504978,12.313115,0.0,15.0,0.05023527,0.8412022,1.023212,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.313115,12.346211,0.85900635,12.315427,0.02047348,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
27704885,12.337723,0.0,15.0,0.050795604,0.83977216,1.0234258,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.337723,12.346192,0.85899585,12.334106,0.00726223,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
27904862,12.334989,0.0,15.0,0.050978497,0.8390483,1.0235342,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.334989,12.346355,0.85908645,12.377614,-0.047182083,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
28104863,11.605863,0.0,15.0,0.051019102,0.820641,1.0262965,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,11.605863,12.3456135,0.858674,12.330802,-0.05961132,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
28304898,12.2985325,0.0,15.0,0.051181603,0.80675596,1.02839,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.2985325,12.344327,0.8579597,12.267876,0.023365974,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
28504939,12.332255,0.0,15.0,0.051181603,0.8112759,1.0277076,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.332255,12.344327,0.8579597,12.267876,0.023365974,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
28704862,12.241115,0.0,15.0,0.05171063,0.8158073,1.0270244,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.241115,12.342972,0.85720724,12.289943,0.0131464,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
28904886,12.376002,0.0,15.0,0.052092105,0.8194503,1.0264757,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.376002,12.342371,0.85687345,12.301216,-0.02091217,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
29104935,12.262988,0.0,15.0,0.052340828,0.82400316,1.0257908,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.262988,12.342389,0.856883,12.351974,-0.017896652,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
29304862,12.326786,0.0,15.0,0.052340828,0.82606024,1.0254817,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.326786,12.342389,0.856883,12.351974,-0.017896652,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
29504926,12.087086,0.0,15.0,0.052340828,0.82694525,1.0253488,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.087086,12.342389,0.856883,12.351974,-0.017896652,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
29704862,12.315849,0.0,15.0,0.05303777,0.8273453,1.0252887,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.315849,12.342415,0.8568973,12.335264,0.014307022,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
29904861,12.306735,0.0,15.0,0.05440616,0.8294663,1.0249703,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.306735,12.341663,0.85648006,12.304975,0.04368496,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
30104863,12.3359,0.0,15.0,0.05440616,0.83064884,1.0247928,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.3359,12.341663,0.85648006,12.304975,0.04368496,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
30304862,12.347748,0.0,15.0,0.054701164,0.829935,1.0249,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.347748,12.341648,0.856471,12.347841,-0.009206772,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
30504884,12.314938,0.0,15.0,0.054701164,0.8319563,1.0245967,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.314938,12.341648,0.856471,12.347841,-0.009206772,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
30704919,12.326786,0.0,15.0,0.05470625,0.8338427,1.0243138,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.326786,12.3410225,0.85612386,12.340138,-0.061656952,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
30904863,12.3486595,0.0,15.0,0.055108473,0.83550876,1.0240643,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.3486595,12.341077,0.8561539,12.336032,0.013539314,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
31104862,12.283038,0.0,15.0,0.055209205,0.8360862,1.0239776,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.283038,12.34104,0.8561334,12.370058,-0.06241131,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
31304864,12.323141,0.1062125,15.0,0.055545203,0.8370909,1.0238272,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.324672,12.340919,0.8560657,12.343695,-0.020553589,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
31504862,12.3586855,0.0,15.0,0.056618143,0.8383512,1.0236385,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.3586855,12.341155,0.8561978,12.330621,0.035355568,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
31704862,12.345015,0.0,15.0,0.056638487,0.83728975,1.0237975,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.345015,12.341085,0.8561587,12.363295,-0.051091194,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
31904863,12.276659,0.0,15.0,0.057661142,0.83823436,1.023656,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.276659,12.340107,0.8556151,12.335212,-0.010249138,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
32104863,12.293064,0.0,15.0,0.05789513,0.8374056,1.0237801,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.293064,12.336586,0.8536596,12.32038,0.0054941177,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
32304861,12.353217,0.0,15.0,0.058464855,0.83722776,1.0238068,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048027425,12.353217,12.335922,0.8532905,12.323209,-0.056575775,0.44643286,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
