timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
27305415,27305193,-0.78747326,-0.2991238,0.18780299
27307878,27307656,-0.7910758,-0.3013816,0.18934995
27325113,27324896,-0.8005319,-0.2865674,0.1889352
27347280,27347063,-0.8202011,-0.26771548,0.1885178
27367017,27366767,-0.8369757,-0.25309125,0.18483807
27386705,27386470,-0.8628762,-0.238695,0.18398225
27406399,27406174,-0.8935642,-0.22807947,0.18592045
27428572,27428340,-0.93422246,-0.211408,0.18954772
27445798,27445581,-0.96565497,-0.19805548,0.19804633
27465500,27465285,-0.9898865,-0.18430057,0.2062175
27487676,27487451,-1.0,-0.1752303,0.21329568
27507372,27507155,-1.0,-0.15995474,0.2251628
27524610,27524396,-1.0,-0.1475546,0.23885582
27546779,27546562,-1.0,-0.13585973,0.2571681
27566484,27566266,-1.0,-0.11681472,0.27721286
27583722,27583507,-1.0,-0.10426655,0.29336923
27605889,27605673,-1.0,-0.085413724,0.30366695
27628073,27627840,-1.0,-0.058939833,0.31721514
27647763,27647543,-1.0,-0.040494666,0.3263454
27665000,27664784,-1.0,-0.025644058,0.33124492
27687188,27686951,-1.0,-0.0037963658,0.33411208
27706873,27706655,-1.0,0.008607369,0.33354512
27724111,27723895,-1.0,0.015159814,0.33194363
27746275,27746061,-1.0,0.026234755,0.32873303
27765979,27765765,-1.0,0.031002134,0.3257794
27788168,27787932,-1.0,0.04370379,0.3237883
27805389,27805172,-1.0,0.06248006,0.32318652
27827574,27827339,-1.0,0.09240018,0.32243294
27847275,27847043,-1.0,0.128617,0.32123548
27864515,27864283,-1.0,0.16243666,0.32109913
27886672,27886450,-0.9821488,0.21846841,0.31019163
27906370,27906154,-0.9773844,0.26971248,0.30165625
27928535,27928320,-0.36385256,0.26388437,-0.07860006
27945777,27945561,-0.023558285,0.37776393,0.2639075
27965480,27965265,0.5125911,0.4314997,0.24296154
27987655,27987431,0.77797264,0.186088,0.23567349
28004892,28004672,0.7556282,-0.11597169,0.23938619
28027073,28026838,0.60275126,-0.3453324,0.23552695
28046763,28046542,0.35022962,-0.39306203,0.2264581
28068926,28068709,0.03319814,0.018470772,0.19899464
28086165,28085949,0.067384586,0.07187665,0.18774298
28105877,28105653,-0.90821517,0.87969023,0.14143555
28128041,28127820,-0.9334707,0.98492277,0.13598639
28145277,28145060,-0.94228697,1.0,0.11732198
28164981,28164764,-0.8323921,1.0,0.118432924
28187151,28186931,-0.6858069,0.94913536,0.13661629
28206873,28206634,-0.6721205,0.9922785,0.1319474
28226568,28226338,-0.6590439,0.9963656,0.13059522
28246258,28246041,-0.60160714,1.0,0.13020507
28268422,28268208,-0.54504174,1.0,0.12290264
28285668,28285449,-0.5216725,1.0,0.12093643
28305367,28305152,-0.48655075,1.0,0.11794559
28327531,28327319,-0.47060955,1.0,0.11355738
28347235,28347023,-0.45356217,1.0,0.112840675
28364475,28364263,-0.44543344,1.0,0.11258899
28386649,28386430,-0.43225753,1.0,0.10794788
28406361,28406133,-0.40006745,1.0,0.10281832
28426067,28425837,-0.37987435,1.0,0.09432232
28445755,28445541,-0.36704051,1.0,0.08633361
28467922,28467707,-0.35360184,1.0,0.07721318
28487625,28487411,-0.35261393,1.0,0.06956519
28504867,28504652,-0.35197312,1.0,0.064129725
28527030,28526818,-0.35216928,1.0,0.06055028
28546735,28546522,-0.3599704,1.0,0.0573604
28563973,28563763,-0.36541072,1.0,0.054771673
28586145,28585929,-0.38233402,1.0,0.052985873
28605845,28605633,-0.39328408,1.0,0.054927137
28625566,28625336,-0.40506846,1.0,0.056256954
28645252,28645040,-0.43074995,0.98653316,0.061019424
28667419,28667207,-0.43940124,0.9349771,0.070341155
28687122,28686910,-0.4632063,0.90177447,0.07739164
28704366,28704151,-0.49165404,0.88172585,0.08585307
28726531,28726318,-0.512378,0.847929,0.101909526
28746234,28746021,-0.5417122,0.8309429,0.11562124
28768400,28768188,-0.5356244,0.81440824,0.12867153
28785845,28785429,-0.53437686,0.80313003,0.13607408
28805374,28805132,-0.551469,0.8015387,0.14246422
