timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
25564644,0,0,0,0,0
26070668,0,0,0,0,0
26577657,0,0,0,0,0
27083642,0,0,0,0,0
27592642,0,0,0,0,0
28098702,0,0,0,0,0
28604660,0,0,0,0,0
29110677,0,0,0,0,0
29616640,0,0,0,0,0
30122643,0,0,0,0,0
30629660,0,0,0,0,0
31135645,0,0,0,0,0
31641640,0,0,0,0,0
32147814,0,0,0,0,0
32653642,0,0,0,0,0
33159657,0,0,0,0,0
33666640,0,0,0,0,0
34172847,0,0,0,0,0
34678734,0,0,0,0,0
35184644,0,0,0,0,0
35690651,0,0,0,0,0
36196882,0,0,0,0,0
36702642,0,0,0,0,0
37208643,0,0,0,0,0
37714642,0,0,0,0,0
38220655,0,0,0,0,0
38726649,0,0,0,0,0
39232662,0,0,0,0,0
39738869,0,0,0,0,0
40244642,0,0,0,0,0
40750793,0,0,0,0,0
41256639,0,0,0,0,0
41762642,0,0,0,0,0
42268662,0,0,0,0,0
42774643,0,0,0,0,0
43281662,0,0,0,0,0
43788100,0,0,0,0,0
44293642,0,0,0,0,0
44800652,0,0,0,0,0
45306684,0,0,0,0,0
45812686,0,0,0,0,0
46318642,0,0,0,0,0
46824643,0,0,0,0,0
47330652,0,0,0,0,0
47837018,0,0,0,0,0
48342642,0,0,0,0,0
48848677,0,0,0,0,0
49354643,0,0,0,0,0
49860654,0,0,0,0,0
50366640,0,0,0,0,0
50872642,0,0,0,0,0
51378656,0,0,0,0,0
51884642,0,0,0,0,0
52390707,0,0,0,0,0
52896640,0,0,0,0,0
53402665,0,0,0,0,0
53908694,0,0,0,0,0
54414657,0,0,0,0,0
54920654,0,0,0,0,0
55426656,0,0,0,0,0
55932691,0,0,0,0,0
56438642,0,0,0,0,0
56944654,0,0,0,0,0
57450652,0,0,0,0,0
57957642,0,0,0,0,0
58463643,0,0,0,0,0
58969664,0,0,0,0,0
59475643,0,0,0,0,0
59981641,0,0,0,0,0
60487642,0,0,0,0,0
60993751,0,0,0,0,0
61499677,0,0,0,0,0
62006118,0,0,0,0,0
62511642,0,0,0,0,0
63017644,0,0,0,0,0
63523643,0,0,0,0,0
64029642,0,0,0,0,0
64535643,0,0,0,0,0
65041641,0,0,0,0,0
65547643,0,0,0,0,0
66053660,0,0,0,0,0
66559841,0,0,0,0,0
67065643,0,0,0,0,0
67572664,0,0,0,0,0
68078662,0,0,0,0,0
68584642,0,0,0,0,0
69090667,0,0,0,0,0
69596698,0,0,0,0,0
70102643,0,0,0,0,0
70608708,0,0,0,0,0
71115659,0,0,0,0,0
71621641,0,0,0,0,0
72127674,0,0,0,0,0
72633659,0,0,0,0,0
73139643,0,0,0,0,0
73645658,0,0,0,0,0
74151640,0,0,0,0,0
74657763,0,0,0,0,0
75163643,0,0,0,0,0
75669745,0,0,0,0,0
76175643,0,0,0,0,0
76681641,0,0,0,0,0
77187662,0,0,0,0,0
77693642,0,0,0,0,0
78199879,0,0,0,0,0
78705644,0,0,0,0,0
79211664,0,0,0,0,0
79717679,0,0,0,0,0
80223642,0,0,0,0,0
80729642,0,0,0,0,0
81235782,0,0,0,0,0
81741646,0,0,0,0,0
82247643,0,0,0,0,0
82753643,0,0,0,0,0
83259643,0,0,0,0,0
83765643,0,0,0,0,0
84271640,0,0,0,0,0
84777644,0,0,0,0,0
85283642,0,0,0,0,0
85789642,0,0,0,0,0
86295644,0,0,0,0,0
86802659,0,0,0,0,0
87308642,0,0,0,0,0
87814687,0,0,0,0,0
88320653,0,0,0,0,0
88826641,0,0,0,0,0
89332644,0,0,0,0,0
89838797,0,0,0,0,0
90344663,0,0,0,0,0
90850686,0,0,0,0,0
91356641,0,0,0,0,0
91863961,0,0,0,0,0
92369643,0,0,0,0,0
92875643,0,0,0,0,0
93381661,0,0,0,0,0
93887676,0,0,0,0,0
94393661,0,0,0,0,0
94899661,0,0,0,0,0
95405643,0,0,0,0,0
95912128,0,0,0,0,0
96417643,0,0,0,0,0
96923800,0,0,0,0,0
97429679,0,0,0,0,0
97935643,0,0,0,0,0
98441641,0,0,0,0,0
98947643,0,0,0,0,0
99453644,0,0,0,0,0
99959677,0,0,0,0,0
100465662,0,0,0,0,0
100971644,0,0,0,0,0
101477891,0,0,0,0,0
101983668,0,0,0,0,0
102489766,0,0,0,0,0
102995644,0,0,0,0,0
103501645,0,0,0,0,0
104007644,0,0,0,0,0
104513663,0,0,0,0,0
105019643,0,0,0,0,0
105525644,0,0,0,0,0
106031642,0,0,0,0,0
106537754,0,0,0,0,0
107043824,0,0,0,0,0
107549645,0,0,0,0,0
108055643,0,0,0,0,0
108561640,0,0,0,0,0
109067916,0,0,0,0,0
109573643,0,0,0,0,0
110079657,0,0,0,0,0
110585657,0,0,0,0,0
111091640,0,0,0,0,0
111597643,0,0,0,0,0
112103743,0,0,0,0,0
112609643,0,0,0,0,0
113115664,0,0,0,0,0
113621658,0,0,0,0,0
114127643,0,0,0,0,0
114633687,0,0,0,0,0
115140653,0,0,0,0,0
115646641,0,0,0,0,0
116152642,0,0,0,0,0
116658652,0,0,0,0,0
117164643,0,0,0,0,0
117670654,0,0,0,0,0
118176660,0,0,0,0,0
118682642,0,0,0,0,0
119188643,0,0,0,0,0
119694644,0,0,0,0,0
120200653,0,0,0,0,0
120707286,0,0,0,0,0
121212677,0,0,0,0,0
121718652,0,0,0,0,0
122224642,0,0,0,0,0
122730654,0,0,0,0,0
123236848,0,0,0,0,0
123742644,0,0,0,0,0
124248669,0,0,0,0,0
124754660,0,0,0,0,0
125260669,0,0,0,0,0
125766654,0,0,0,0,0
126272825,0,0,0,0,0
126778667,0,0,0,0,0
127284656,0,0,0,0,0
127790653,0,0,0,0,0
128296640,0,0,0,0,0
128802662,0,0,0,0,0
129308668,0,0,0,0,0
129814662,0,0,0,0,0
130320654,0,0,0,0,0
130826641,0,0,0,0,0
131332643,0,0,0,0,0
131838658,0,0,0,0,0
132344643,0,0,0,0,0
132850677,0,0,0,0,0
133356654,0,0,0,0,0
133862774,0,0,0,0,0
134368644,0,0,0,0,0
134874877,0,0,0,0,0
135380650,0,0,0,0,0
135886682,0,0,0,0,0
136393643,0,0,0,0,0
136899678,0,0,0,0,0
137405663,0,0,0,0,0
137912643,0,0,0,0,0
138418996,0,0,0,0,0
138924673,0,0,0,0,0
139430855,0,0,0,0,0
139936703,0,0,0,0,0
140442642,0,0,0,0,0
140948664,0,0,0,0,0
141454643,0,0,0,0,0
141960882,0,0,0,0,0
142466667,0,0,0,0,0
142972662,0,0,0,0,0
143478643,0,0,0,0,0
143985041,0,0,0,0,0
144490652,0,0,0,0,0
144996642,0,0,0,0,0
145502659,0,0,0,0,0
146008923,0,0,0,0,0
146514688,0,0,0,0,0
147020866,0,0,0,0,0
147527645,0,0,0,0,0
148033644,0,0,0,0,0
148539642,0,0,0,0,0
149046651,0,0,0,0,0
149553643,0,0,0,0,0
150059795,0,0,0,0,0
150565644,0,0,0,0,0
151071667,0,0,0,0,0
151577643,0,0,0,0,0
152083643,0,0,0,0,0
152590652,0,0,0,0,0
153096853,0,0,0,0,0
153602643,0,0,0,0,0
154108645,0,0,0,0,0
154614642,0,0,0,0,0
155121663,0,0,0,0,0
155627655,0,0,0,0,0
156133643,0,0,0,0,0
156639642,0,0,0,0,0
157145670,0,0,0,0,0
157651642,0,0,0,0,0
158158661,0,0,0,0,0
158664644,0,0,0,0,0
159170653,0,0,0,0,0
159677215,0,0,0,0,0
160182643,0,0,0,0,0
160688746,0,0,0,0,0
161194643,0,0,0,0,0
161700655,0,0,0,0,0
162206692,0,0,0,0,0
162712645,0,0,0,0,0
163218643,0,0,0,0,0
163724642,0,0,0,0,0
164230653,0,0,0,0,0
164736640,0,0,0,0,0
165242643,0,0,0,0,0
165748644,0,0,0,0,0
166254643,0,0,0,0,0
166760653,0,0,0,0,0
167266641,0,0,0,0,0
