timestamp,timestamp_sample,device_id,pressure,temperature,error_count
27973287,27972705,4028193,102719.0,12.4,0
28988755,28988174,4028193,102722.0,12.42,0
29982471,29981890,4028193,102719.0,12.42,0
30986949,30986368,4028193,102721.0,12.429999,0
31991289,31990708,4028193,102719.0,12.429999,0
32984852,32984271,4028193,102718.0,12.44,0
33978546,33977965,4028193,102717.0,12.46,0
34993873,34993292,4028193,102716.0,12.48,0
35988091,35987509,4028193,102718.0,12.49,0
36982088,36981507,4028193,102722.0,12.509999,0
37986507,37985925,4028193,102718.0,12.5199995,0
38990862,38990281,4028193,102715.0,12.54,0
39984489,39983908,4028193,102718.0,12.55,0
40978075,40977494,4028193,102715.0,12.55,0
41993320,41992739,4028193,102719.0,12.559999,0
42986870,42986289,4028193,102714.0,12.57,0
43991261,43990679,4028193,102711.0,12.58,0
44984868,44984286,4028193,102725.0,12.58,0
45989260,45988678,4028193,102716.0,12.559999,0
46982907,46982326,4028193,102688.0,12.55,0
47976441,47975860,4028193,102684.0,12.53,0
48991714,48991132,4028193,102673.0,12.5,0
49985299,49984717,4028193,102652.0,12.469999,0
50989727,50989145,4028193,102659.0,12.45,0
51983269,51982688,4028193,102669.0,12.42,0
52987651,52987070,4028193,102659.0,12.389999,0
53981279,53980698,4028193,102647.0,12.349999,0
54974891,54974309,4028193,102636.0,12.32,0
55990055,55989474,4028193,102632.0,12.28,0
56994472,56993891,4028193,102639.0,12.24,0
57988024,57987442,4028193,102644.0,12.2,0
58992345,58991764,4028193,102642.0,12.16,0
59986189,59985595,4028193,102643.0,12.12,0
60979668,60979086,4028193,102639.0,12.08,0
61973295,61972714,4028193,102626.0,12.04,0
62988443,62987862,4028193,102614.0,11.99,0
63992894,63992313,4028193,102610.0,11.95,0
64986522,64985941,4028193,102604.0,11.91,0
65990849,65990268,4028193,102588.0,11.87,0
66984347,66983766,4028193,102567.0,11.83,0
67978073,67977491,4028193,102585.0,11.78,0
68993273,68992691,4028193,102586.0,11.74,0
69986956,69986375,4028193,102560.0,11.7,0
70991259,70990678,4028193,102553.0,11.65,0
71984848,71984266,4028193,102568.0,11.61,0
72989140,72988558,4028193,102563.0,11.58,0
73982904,73982322,4028193,102563.0,11.54,0
74976500,74975918,4028193,102553.0,11.5,0
75991731,75991150,4028193,102547.0,11.46,0
76985261,76984680,4028193,102532.0,11.42,0
77989674,77989091,4028193,102527.0,11.389999,0
78983314,78982719,4028193,102518.0,11.349999,0
79987743,79987162,4028193,102505.0,11.309999,0
80981332,80980743,4028193,102489.0,11.2699995,0
81974885,81974303,4028193,102475.0,11.23,0
82990123,82989542,4028193,102473.0,11.179999,0
83983673,83983092,4028193,102470.0,11.139999,0
84988078,84987497,4028193,102472.0,11.11,0
85992491,85991895,4028193,102479.0,11.08,0
86986141,86985560,4028193,102475.0,11.05,0
87979615,87979034,4028193,102477.0,11.0199995,0
88973175,88972594,4028193,102465.0,10.98,0
89988479,89987895,4028193,102465.0,10.94,0
90992894,90992313,4028193,102457.0,10.91,0
91986562,91985981,4028193,102462.0,10.87,0
92990849,92990267,4028193,102450.0,10.83,0
93984506,93983925,4028193,102446.0,10.79,0
94978118,94977524,4028193,102445.0,10.76,0
95971639,95971059,4028193,102445.0,10.73,0
96986846,96986265,4028193,102441.0,10.7,0
97991281,97990700,4028193,102438.0,10.67,0
98984724,98984143,4028193,102438.0,10.63,0
99989304,99988723,4028193,102437.0,10.61,0
100982788,100982206,4028193,102440.0,10.58,0
101976430,101975849,4028193,102438.0,10.55,0
102991557,102990976,4028193,102441.0,10.5199995,0
103985297,103984716,4028193,102435.0,10.48,0
104989709,104989127,4028193,102423.0,10.45,0
105994134,105993551,4028193,102410.0,10.429999,0
106987739,106987157,4028193,102396.0,10.389999,0
107981260,107980679,4028193,102385.0,10.37,0
108974873,108974292,4028193,102380.0,10.34,0
109990057,109989476,4028193,102377.0,10.309999,0
110983710,110983129,4028193,102373.0,10.28,0
111988089,111987507,4028193,102352.0,10.25,0
112992529,112991948,4028193,102349.0,10.21,0
113986056,113985475,4028193,102360.0,10.179999,0
114979658,114979077,4028193,102364.0,10.15,0
115994868,115994286,4028193,102364.0,10.11,0
116988481,116987900,4028193,102353.0,10.08,0
117992884,117992303,4028193,102355.0,10.059999,0
118986483,118985901,4028193,102349.0,10.04,0
119990923,119990341,4028193,102347.0,10.01,0
120984523,120983934,4028193,102346.0,10.0,0
121977952,121977370,4028193,102350.0,9.969999,0
122993261,122992679,4028193,102348.0,9.95,0
123986867,123986286,4028193,102355.0,9.94,0
124991198,124990616,4028193,102354.0,9.92,0
125984852,125984270,4028193,102345.0,9.9,0
126989260,126988678,4028193,102349.0,9.87,0
127982918,127982337,4028193,102352.0,9.86,0
128976505,128975923,4028193,102338.0,9.84,0
129991709,129991127,4028193,102349.0,9.82,0
130985157,130984575,4028193,102342.0,9.8,0
131989740,131989159,4028193,102330.0,9.78,0
132994106,132993525,4028193,102336.0,9.76,0
133987572,133986974,4028193,102331.0,9.75,0
134981311,134980729,4028193,102330.0,9.74,0
135974971,135974389,4028193,102329.0,9.71,0
136990195,136989586,4028193,102336.0,9.7,0
137983617,137983035,4028193,102327.0,9.679999,0
138987973,138987392,4028193,102312.0,9.66,0
139992437,139991856,4028193,102307.0,9.639999,0
140986057,140985476,4028193,102312.0,9.63,0
141979660,141979079,4028193,102313.0,9.61,0
142973261,142972680,4028193,102310.0,9.59,0
143988459,143987878,4028193,102307.0,9.57,0
144982088,144981507,4028193,102308.0,9.54,0
145986439,145985857,4028193,102300.0,9.5199995,0
146990850,146990269,4028193,102294.0,9.49,0
147984668,147984087,4028193,102297.0,9.469999,0
148978259,148977678,4028193,102306.0,9.45,0
149993674,149993091,4028193,102309.0,9.42,0
150987096,150986514,4028193,102320.0,9.4,0
151991284,151990682,4028193,102318.0,9.37,0
152984855,152984274,4028193,102314.0,9.349999,0
153989277,153988696,4028193,102313.0,9.32,0
154982898,154982300,4028193,102302.0,9.29,0
155976472,155975890,4028193,102307.0,9.2699995,0
156991642,156991061,4028193,102312.0,9.24,0
157985364,157984784,4028193,102317.0,9.22,0
158989849,158989267,4028193,102321.0,9.2,0
159983520,159982939,4028193,102315.0,9.179999,0
160987802,160987221,4028193,102316.0,9.16,0
