timestamp,altitude_sp,altitude_reference,altitude_time_constant,height_rate_reference,height_rate_direct,height_rate_setpoint,height_rate,equivalent_airspeed_sp,true_airspeed_sp,true_airspeed_filtered,true_airspeed_derivative_sp,true_airspeed_derivative,true_airspeed_derivative_raw,total_energy_rate_sp,total_energy_rate,total_energy_balance_rate_sp,total_energy_balance_rate,throttle_integ,pitch_integ,throttle_sp,pitch_sp_rad,throttle_trim,underspeed_ratio,fast_descend_ratio
58309561,70.32859,44.916157,10.0,0.8,nan,0.4568393,0.4072409,6.999999,6.924034,5.0481615,0.37517452,1.4757831,0.0,7.0844574,4.561853,5.421234,2.2655077,0.0016855238,-inf,0.8178286,-0.34906584,0.6,0.0,0.0
58506654,70.32859,45.073822,10.0,0.8,nan,0.47916558,-0.54555625,6.9999995,6.9239473,5.809497,0.2228901,1.8101729,0.0,6.2425823,5.1359944,6.2768745,-13.2832155,0.0017460188,-inf,0.795657,-0.34906584,0.6,0.0,0.0
58703333,70.32859,45.23118,10.0,0.8,nan,0.49598,-0.46446896,6.999999,6.923781,5.4661417,0.29152784,0.9794953,0.0,6.8892975,6.241998,6.286616,-9.5093565,0.0017560093,-inf,0.77795094,-0.34906584,0.6,0.0,0.0
58900686,70.32859,45.389065,10.0,0.8,nan,0.514632,0.35345215,6.9999995,6.9238605,5.036336,0.37750491,0.34444785,0.0,7.694582,5.3116755,6.263328,4.331895,0.0018681999,-inf,0.80015314,-0.34906584,0.6,0.0,0.0
59107460,70.32859,45.554485,10.0,0.8,nan,0.5393508,0.36507392,7.0000005,6.923922,3.1055655,0.76367134,-1.6934675,0.0,9.80665,1.5480808,5.290036,7.9998155,0.002160271,-inf,0.8234152,-0.34906584,0.6,0.0,0.0
59304568,70.32859,45.712173,10.0,0.8,nan,0.5606643,-0.32130176,6.9999995,6.9237905,2.6247506,0.85980797,-1.6447184,0.0,9.80665,-1.9757558,0.6624136,0.43744475,0.0025002558,-inf,0.8455899,-0.34906584,0.6,0.26828694,0.0
59501654,70.32859,45.869843,10.0,0.8,nan,0.57419544,-0.16214707,7.0000005,6.9236603,0.5350308,1.2777259,-3.3202007,0.0,9.80665,-1.7532153,-17.69308,3.5528193,0.002609485,-inf,0.85,-0.34906584,0.6,1.0,0.0
59708233,70.32859,46.035107,10.0,0.8,nan,0.58104473,0.51169074,6.9999995,6.9237204,0.46040225,1.2926636,-2.4495435,0.0,9.80665,1.3468988,-17.900082,2.2555506,0.002609485,-inf,0.85,-0.34906584,0.6,1.0,0.0
59905295,70.32859,46.192757,10.0,0.8,nan,0.5851127,1.4754553,7.0000005,6.9239826,0.14998953,1.3547987,-2.0608265,0.0,9.80665,4.1689496,-18.761206,0.61820483,0.002609485,-inf,0.85,-0.34906584,0.6,1.0,0.0
60102288,70.32859,46.350353,10.0,0.8,nan,0.5885227,1.3473413,7.000001,6.9241753,1.4488868,1.0950577,-0.31527972,0.0,9.80665,5.3346815,-15.164743,0.9136092,0.002609485,-inf,0.85,-0.34906584,0.6,1.0,0.0
60309165,70.32859,46.515858,10.0,0.8,nan,0.58707196,0.8542288,7.0,6.9241476,1.234774,1.1378747,-0.32973126,0.0,9.80665,6.717974,-15.757625,0.8142872,0.002609485,-inf,0.85,-0.34906584,0.6,1.0,0.0
60506244,70.32859,46.673523,10.0,0.8,nan,0.58005553,0.57148206,7.0,6.9241047,2.523092,0.8802025,1.0500256,0.0,9.80665,8.973649,-0.97077286,2.5595567,0.002609485,-inf,0.85,-0.34906584,0.6,0.36527538,0.0
60703244,70.32859,46.831123,10.0,0.8,nan,0.5764034,0.8108039,6.9999995,6.924322,4.0465636,0.5755517,2.2295358,0.0,9.80665,12.251711,6.486227,7.415926,0.0025648135,-inf,0.8389125,-0.34906584,0.6,0.0,0.0
60900238,70.32859,46.988716,10.0,0.8,nan,0.5793815,1.298491,7.0000005,6.9244094,4.9137607,0.40212974,2.5011783,0.0,8.766449,14.691656,7.130432,12.955674,0.0023735666,-inf,0.81675047,-0.34906584,0.6,0.0,0.0
61107133,70.32859,47.154236,10.0,0.8,nan,0.5846393,1.0432544,6.9999995,6.9246006,3.4504557,0.694829,0.28931636,0.0,9.80665,14.30858,6.194323,14.84711,0.0020504603,-inf,0.8111426,-0.34906584,0.6,0.0,0.0
61304172,70.32859,47.311867,10.0,0.8,nan,0.586375,0.32156628,7.0000005,6.9245663,3.3069015,0.723533,0.2159547,0.0,9.80665,11.424874,6.1204853,4.373162,0.0019093457,-inf,0.8333094,-0.34906584,0.6,0.0,0.0
61501249,70.32859,47.46953,10.0,0.8,nan,0.5839843,0.7198559,7.0,6.924435,4.545017,0.4758837,1.3512247,0.0,9.329298,12.498063,6.9427814,7.5183926,0.0018059763,-inf,0.82711345,-0.34906584,0.6,0.0,0.0
61708072,70.32859,47.634987,10.0,0.8,nan,0.58154404,1.2247969,7.000001,6.9247675,5.2754164,0.32987022,1.6628717,0.0,8.313801,15.150282,7.412361,13.630561,0.0015464443,-inf,0.8038459,-0.34906584,0.6,0.0,0.0
61905390,70.32859,47.792828,10.0,0.8,nan,0.58644176,1.1397958,7.0000005,6.9248714,6.1656346,0.15184736,2.0825016,0.0,7.174988,16.116362,8.100781,10.346396,0.001157841,-inf,0.7816502,-0.34906584,0.6,0.0,0.0
62102122,70.32859,47.95023,10.0,0.8,nan,0.5845302,0.69863206,7.0,6.9237514,5.7382655,0.23709717,1.1686889,0.0,7.770093,16.271164,7.7776237,6.9237366,0.0007041325,-inf,0.7595153,-0.34906584,0.6,0.0,0.0
62309031,70.32859,48.11576,10.0,0.8,nan,0.57700455,0.5418575,7.0000005,6.924767,5.0276213,0.37942916,0.20723462,0.0,8.6920805,15.269724,7.173993,7.4497614,0.00029425725,-inf,0.7643946,-0.34906584,0.6,0.0,0.0
