timestamp,imbalanced_prop_metric,motor_failure_mask,motor_stop_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
94516941,-0.010143589,0,0,0,0,0,0,0,0,0,0
95017714,-0.008940906,0,0,0,0,0,0,0,0,0,0
95524695,-0.007835681,0,0,0,0,0,0,0,0,0,0
96030694,-0.005676898,0,0,0,0,0,0,0,0,0,0
96536695,-0.0037317604,0,0,0,0,0,0,0,0,0,0
97042696,-0.0015811706,0,0,0,0,0,0,0,0,0,0
97548697,0.00045193927,0,0,0,0,0,0,0,0,0,0
98054696,-5.707915e-05,0,0,0,0,0,0,0,0,0,0
98241852,0.00013536053,0,0,0,0,0,0,0,0,0,0
98747906,-0.0062721125,0,0,0,0,0,0,0,0,0,0
99253691,-0.006082459,0,0,0,0,0,0,0,0,0,0
99759711,-0.005786173,0,0,0,0,0,0,0,0,0,0
100265707,-0.0053694737,0,0,0,0,0,0,0,0,0,0
100332069,-0.0053694737,0,0,0,0,0,0,0,0,0,0
100841695,-0.004608387,0,0,0,0,0,0,0,0,0,0
