log,active_duration_s,ias_p50,ias_p95,cas_p50,cas_p95,tas_p50,tas_p95,throttle_p50,throttle_p95,flap_p50_hz,flap_p95_hz,airspeed_deriv_raw_std,airspeed_deriv_filt_std,deriv_filter_std_ratio,airspeed_source_values,airspeed_source_transitions,throttle_vs_flap_r,throttle_vs_flap_best_lag_s,throttle_out_channel,throttle_out_corr
log_21_2026-3-3-10-29-26,86.4,6.6515093,9.343489,6.8106184,9.5667587,6.7317586,9.4567184,0.68944734,0.72910822,4.037683,4.3555506,14.74190132841641,0.0,0.0,1,0,0.9921773483259105,-0.3999999999999977,output[2],0.9614257801029741
log_24_2026-3-3-11-32-52,26.39999899999998,6.9955525,10.318211799999997,7.1628914,10.564889799999996,7.094657,10.459301999999996,0.63236827,0.639903082,3.717376,4.08114856,17.918118266240903,0.0,0.0,1,0,0.9514918411656227,-0.2999999999999976,,
log_29_2026-3-3-16-42-00,44.39999999999998,7.408955,9.9056815,7.585729,10.141060699999999,7.53134,10.0645177,0.6306593,0.651084379,3.759631,4.06843343,8.460659511943236,0.0,0.0,1,0,0.9626540707715285,-0.3999999999999977,output[2],0.9404010983587863
