timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
2422499,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
7968644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
15720535,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
27101480,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
46537562,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
226859548,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
238395013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
258068601,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
290702845,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
290702873,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
290702874,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
296883962,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
346348641,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
356257660,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
383821643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
400147324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
419773265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
442501035,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
