timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
160674794,160484809,17592186276743,0.0011444127,0.015739573,0.02936382,0,0.1718969,0.1567582,nan,0.047688756,0.01736816,0.006022253,nan,nan,0.2384266,0.0,4259850,4325386,4028193,527633,-59.39551,47.69778,1.2091819,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
160874385,160684334,17592186243847,0.00033278545,0.012004293,0.023361584,0,0.17113654,0.1562246,nan,0.04114709,0.014659217,0.004056558,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-64.17056,47.69778,1.0924126,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
161073828,160883859,17592186243847,0.00033402766,0.013119847,0.024714267,0,0.17039701,0.15553461,nan,0.043776248,0.0125577925,0.005309689,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-63.036366,47.69778,1.2160664,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
161273339,161083384,17592186243847,0.0006539566,0.01791553,0.03130538,0,0.17703241,0.15899388,nan,0.07990156,0.011053369,0.0076400535,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-58.894306,47.69778,1.1290717,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
161472874,161282910,17592186243847,0.00015058876,0.007460113,0.016382957,0,0.17538077,0.15799387,nan,0.059758116,0.008933115,0.010298174,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-58.67342,47.69778,1.2505738,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
161672396,161482435,17592186243847,0.0007332739,0.010111771,0.0146830045,0,0.17396925,0.15722546,nan,0.050247885,0.00792353,0.01098933,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-61.11933,47.69778,1.0824233,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
161871956,161681960,17592186243847,0.00061011943,0.011662774,0.01680364,0,0.17283784,0.15641366,nan,0.045121137,0.006829136,0.011557695,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-56.8576,47.69778,1.2376493,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
162071440,161881485,17592186243847,0.00084533927,0.015312223,0.018675756,0,0.17178945,0.15577966,nan,0.035545263,0.006443434,0.011400498,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-56.27497,47.69778,1.2254794,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
162271002,162081010,17592186243847,0.0004933507,0.011160309,0.015479401,0,0.17824274,0.15898459,nan,0.040108617,0.008775538,0.010806407,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-59.06785,47.69778,1.1105604,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
162470495,162280536,17592186243847,0.00065600645,0.0071144598,0.009035792,0,0.176375,0.15812203,nan,0.040327832,0.007971003,0.009471096,nan,nan,nan,0.0,4259850,4325386,4028193,527633,-57.92485,47.69778,1.1914684,0.4990931,0,831,2,2,2,3,2,0,0,0,0,0,1,0,0
