timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
158201436,158200495,527633,-0.22166666,-0.515,-0.31641665,nan,0
159236156,159235215,527633,0.056833334,-0.124583334,-0.54291666,nan,0
160448068,160447127,527633,0.52458334,-0.19291666,-0.8093333,nan,0
161489831,161488889,527633,0.5675,-0.22958334,-0.76875,nan,0
162506686,162505744,527633,0.06225,-0.13958333,-0.55625,nan,0
163266721,163265753,527633,0.09975,-0.09833333,-0.54125,nan,0
164496948,164496007,527633,0.107666664,-0.119166665,-0.53725,nan,0
165522188,165521247,527633,0.13541667,-0.086666666,-0.5376667,nan,0
166361348,166360406,527633,0.14766666,-0.008333333,-0.4985,nan,0
167373804,167372863,527633,0.58058333,-0.092083335,-0.795,nan,0
168207102,168206160,527633,0.094166666,-0.12583333,-0.5445833,nan,0
169454807,169453865,527633,0.07541667,0.0275,-0.53725,nan,0
170504805,170503864,527633,0.075833336,0.20375,-0.5058333,nan,0
171519630,171518686,527633,0.0725,-0.06,-0.5668333,nan,0
172498158,172497217,527633,0.06625,0.104166664,-0.54291666,nan,0
173502352,173501411,527633,0.0675,0.19458333,-0.50308335,nan,0
174503666,174502701,527633,0.029583333,0.29083332,-0.44291666,nan,0
175514864,175513923,527633,0.052916665,0.29416665,-0.421,nan,0
176378067,176377126,527633,0.0075,0.37458333,-0.36291665,nan,0
177363695,177362753,527633,0.010416667,0.18333334,-0.5326667,nan,0
178505805,178504864,527633,-0.27808332,-0.41208333,0.23641667,nan,0
179505777,179504834,527633,-0.3818333,-0.40875,0.18708333,nan,0
180505784,180504833,527633,-0.39833334,-0.36791667,0.16766666,nan,0
181505776,181504835,527633,-0.391,-0.36249998,0.16308333,nan,0
182505805,182504863,527633,-0.39416665,-0.35999998,0.1635,nan,0
183505774,183504833,527633,-0.39374998,-0.36666667,0.16125,nan,0
184505774,184504833,527633,-0.39291665,-0.36291665,0.16183333,nan,0
185485775,185484833,527633,-0.39333332,-0.36291665,0.16183333,nan,0
186505785,186504833,527633,-0.3945833,-0.36249998,0.16225,nan,0
187505775,187504833,527633,-0.39166665,-0.36708334,0.16308333,nan,0
188505775,188504833,527633,-0.39333332,-0.36291665,0.16225,nan,0
189505800,189504833,527633,-0.38808334,-0.36583334,0.16641666,nan,0
190505775,190504834,527633,-0.39249998,-0.36124998,0.16391666,nan,0
191505775,191504833,527633,-0.39166665,-0.36625,0.16516666,nan,0
192505805,192504864,527633,-0.39291665,-0.35999998,0.16,nan,0
193505775,193504833,527633,-0.39541668,-0.36416668,0.16041666,nan,0
194505775,194504833,527633,-0.39249998,-0.36166665,0.16683333,nan,0
195505774,195504833,527633,-0.39333332,-0.36166665,0.1635,nan,0
196505784,196504833,527633,-0.39583334,-0.36625,0.1635,nan,0
197505775,197504833,527633,-0.39208332,-0.36416668,0.16308333,nan,0
198505775,198504833,527633,-0.3885,-0.365,0.16641666,nan,0
199505806,199504865,527633,-0.39416665,-0.36583334,0.16083333,nan,0
200505775,200504833,527633,-0.39249998,-0.36458334,0.15958333,nan,0
201485775,201484833,527633,-0.39416665,-0.365,0.15833333,nan,0
202505776,202504835,527633,-0.39416665,-0.36249998,0.16225,nan,0
203505775,203504833,527633,-0.39416665,-0.36375,0.16308333,nan,0
204505775,204504834,527633,-0.39291665,-0.36166665,0.16225,nan,0
205505798,205504856,527633,-0.39291665,-0.36416668,0.16083333,nan,0
206445775,206444833,527633,-0.39625,-0.36124998,0.15958333,nan,0
207505774,207504833,527633,-0.39833334,-0.36583334,0.16125,nan,0
208505774,208504833,527633,-0.38308334,-0.39583334,0.15041667,nan,0
209505775,209504833,527633,-0.5635,-0.28375,-0.43375,nan,0
210505775,210504833,527633,-0.124749996,0.06875,-0.6175,nan,0
211505774,211504833,527633,-0.47391665,0.34208333,-0.41291666,nan,0
212505775,212504834,527633,-0.496,0.27916667,-0.052916665,nan,0
213505805,213504864,527633,-0.25058332,0.40833333,0.11291666,nan,0
214485820,214484864,527633,-0.085999995,0.4525,0.044166666,nan,0
215505775,215504833,527633,-0.06266667,0.45541665,0.019749999,nan,0
216505775,216504833,527633,-0.16,0.43541667,0.09225,nan,0
217505788,217504846,527633,-0.02875,0.25458333,0.29958332,nan,0
218505775,218504833,527633,-0.20766667,0.25916666,0.29666665,nan,0
219505775,219504833,527633,0.00375,0.31458333,0.21666667,nan,0
220512807,220511865,527633,0.07333333,0.39791667,-0.02225,nan,0
221512780,221511838,527633,0.14641666,0.31458333,0.025583332,nan,0
222472823,222471882,527633,0.14766666,0.33166665,-0.020166667,nan,0
223492780,223491838,527633,0.09708333,0.35916665,0.027666666,nan,0
