timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
157870897,12.365976,0.0183125,15.0,0.19816256,0.8949408,1.0152371,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.366241,12.423779,0.90209955,12.392302,-0.026325226,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
157880880,12.355041,0.0,15.0,0.19816256,0.89463323,1.0152824,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.355041,12.423779,0.90209955,12.392302,-0.026325226,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
158071185,12.390585,0.01281875,15.0,0.1984734,0.8894705,1.0160432,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.390771,12.423489,0.9019384,12.427321,-0.03673649,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
158270884,12.354129,0.0,15.0,0.1984734,0.8824453,1.0170803,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.354129,12.423489,0.9019384,12.427321,-0.03673649,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
158470897,12.404256,0.0,15.0,0.1984734,0.8831405,1.0169777,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.404256,12.423489,0.9019384,12.427321,-0.03673649,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
158670880,12.384205,0.0,15.0,0.19901262,0.8805513,1.0173603,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.384205,12.424237,0.9023542,12.505326,-0.091044426,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
158870888,12.154531,0.0,15.0,0.19931856,0.8736929,1.0183754,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.154531,12.423847,0.9021377,12.4146,-0.03130722,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
159070896,12.229265,0.0,15.0,0.19931856,0.866414,1.019455,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.229265,12.423847,0.9021377,12.4146,-0.03130722,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
159270892,12.211948,0.0,15.0,0.19948615,0.84423536,1.0227585,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.211948,12.422958,0.9016437,12.384008,-0.05084324,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
159470896,12.043339,0.0,15.0,0.1995065,0.8309826,1.0247427,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.043339,12.42309,0.90171665,12.333934,0.10222149,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
159670878,12.218329,0.0,15.0,0.1995065,0.83658403,1.0239031,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.218329,12.42309,0.90171665,12.333934,0.10222149,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
159870894,12.396053,0.0,15.0,0.20065132,0.8458752,1.0225135,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.396053,12.422517,0.9013986,12.400896,0.011562347,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
160071121,12.453472,0.0,15.0,0.20099214,0.8500857,1.021885,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048240437,12.453472,12.422291,0.9012732,12.412909,-0.015032768,0.4418397,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
