timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
157771742,0,0,0,1,0,0,0,0,0,0,0,0
158480090,0,0,0,0,0,0,0,0,0,0,0,0
159487710,0,0,0,0,0,0,0,0,0,0,0,0
160495288,0,0,0,0,0,0,0,0,0,0,0,0
160595127,0,0,0,1,0,0,0,0,0,0,0,0
161602647,0,0,0,1,0,0,0,0,0,0,0,0
162610234,0,0,0,1,0,0,0,0,0,0,0,0
163618035,0,0,0,1,0,0,0,0,0,0,0,0
164625642,0,0,0,1,0,0,0,0,0,0,0,0
165633099,0,0,0,1,0,0,0,0,0,0,0,0
166640705,0,0,0,1,0,0,0,0,0,0,0,0
167648240,0,0,0,1,0,0,0,0,0,0,0,0
168655904,0,0,0,1,0,0,0,0,0,0,0,0
169583606,0,0,0,0,0,0,0,0,0,0,0,0
170591240,0,0,0,0,0,0,0,0,0,0,0,0
171598855,0,0,0,0,0,0,0,0,0,0,0,0
172606437,0,0,0,0,0,0,0,0,0,0,0,0
173614034,0,0,0,0,0,0,0,0,0,0,0,0
174621810,0,0,0,0,0,0,0,0,0,0,0,0
175629274,0,0,0,0,0,0,0,0,0,0,0,0
176636906,0,0,0,0,0,0,0,0,0,0,0,0
177644408,0,0,0,0,0,0,0,0,0,0,0,0
178651970,0,0,0,0,0,0,0,0,0,0,0,0
179659561,0,0,0,0,0,0,0,0,0,0,0,0
180667175,0,0,0,0,0,0,0,0,0,0,0,0
180906572,0,0,0,1,0,0,0,0,0,0,0,0
181465231,0,0,0,1,0,0,0,0,0,0,0,1
182472820,0,0,0,1,0,0,0,0,0,0,0,1
183480405,0,0,0,1,0,0,0,0,0,0,0,1
184488013,0,0,0,1,0,0,0,0,0,0,0,1
185495579,0,0,0,1,0,0,0,0,0,0,0,1
186503216,0,0,0,1,0,0,0,0,0,0,0,1
187011975,0,0,0,1,0,0,0,0,0,0,0,0
188019828,0,0,0,1,0,0,0,0,0,0,0,0
188039495,0,0,0,1,0,0,0,0,0,0,0,1
189047089,0,0,0,1,0,0,0,0,0,0,0,1
189236666,0,0,0,1,0,0,0,0,0,0,0,0
190244208,0,0,0,1,0,0,0,0,0,0,0,0
