timestamp,time_estimate,safe_time_estimate,valid
157875973,0.0,0.0,0
159896855,124.71746,237.18921,1
161922298,0.0,0.0,0
163947528,0.0,0.0,0
165972331,0.0,0.0,0
167997555,0.0,0.0,0
170022927,125.16775,237.68452,1
172047927,123.16064,235.4767,1
174073071,125.25108,237.7762,1
176098233,125.32886,237.86174,1
178120240,127.808075,240.58888,1
180138536,129.40295,242.34325,1
182163929,0.0,0.0,0
184188874,0.0,0.0,0
186213952,0.0,0.0,0
188239147,0.0,0.0,0
190284245,0.0,0.0,0
192309422,0.0,0.0,0
194334539,0.0,0.0,0
196358778,0.0,0.0,0
198382837,0.0,0.0,0
200400299,0.0,0.0,0
202425236,0.0,0.0,0
204450400,0.0,0.0,0
206475479,0.0,0.0,0
208500696,0.0,0.0,0
210505983,124.78756,237.26631,1
212551069,125.084885,237.59337,1
214576283,125.7953,238.37483,1
216601461,126.20617,238.82678,1
218646564,126.865654,239.55222,1
220691583,126.408554,239.04941,1
222717152,126.57529,239.23282,1
224741923,126.7344,239.40784,1
226767144,126.826485,239.50914,1
228792252,126.9933,239.69263,1
230807463,127.06169,239.76787,1
232832961,126.99247,239.69173,1
234857976,126.7889,239.46779,1
236883013,126.516464,239.1681,1
238908424,125.96483,238.56131,1
240933393,125.67017,238.2372,1
242958498,125.540276,238.0943,1
244983779,125.66739,238.23413,1
247007733,125.92785,238.52063,1
249031781,126.02413,238.62654,1
251056717,126.05216,238.65738,1
253074514,126.00885,238.60974,1
255099686,125.779816,238.3578,1
257124878,125.26714,237.79385,1
259130169,125.46686,238.01355,1
261155474,125.54643,238.10107,1
263180648,0.0,0.0,0
265205772,0.0,0.0,0
267231059,0.0,0.0,0
269256589,124.19781,236.61758,1
271281383,123.02082,235.3229,1
273296591,122.625175,234.8877,1
275322068,122.998436,235.29828,1
277347146,121.63193,233.79512,1
279372282,121.80137,233.9815,1
281397343,121.70163,233.8718,1
283422738,121.402794,233.54308,1
285447807,119.993164,231.99248,1
287473184,118.47188,230.31906,1
289497994,117.52674,229.27942,1
291523304,117.39207,229.13127,1
293548266,117.39827,229.13809,1
295573510,118.32364,230.156,1
297598545,113.698494,225.06834,1
299623949,111.79323,222.97255,1
301638875,112.13112,223.34424,1
303664071,112.08548,223.29404,1
305689250,108.79054,219.6696,1
307714235,107.395515,218.13507,1
309739460,107.610054,218.37106,1
311764524,109.911575,220.90274,1
313789486,110.02641,221.02905,1
315814555,109.97185,220.96904,1
317839722,109.09694,220.00664,1
319854742,108.46002,219.30603,1
321879811,106.91757,217.60933,1
