timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
7740675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
15488207,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
42314245,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
49007289,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
56856298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
68411661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
88038763,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
232515477,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
277172817,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
277172845,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
277172846,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
