timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
114008163,0,0,194,190,93,80,62
114936492,0,0,195,192,86,83,61
115973518,0,0,195,191,92,86,52
116879888,0,0,195,191,97,80,63
117925643,0,0,194,191,97,80,62
118882142,0,0,193,189,100,75,55
119932449,0,0,189,184,95,80,50
120892446,0,0,189,184,94,88,49
121931269,0,0,184,181,96,81,59
122862818,0,0,185,181,96,80,62
123981173,0,0,185,182,89,82,49
125019024,0,0,186,182,93,74,51
125885385,0,0,187,184,97,95,50
127061678,0,0,189,182,79,80,65
127895456,0,0,196,194,95,86,60
129027455,0,0,196,194,83,87,58
130184037,0,0,198,196,65,104,60
130983397,0,0,198,196,71,102,65
131886259,0,0,199,196,98,101,66
132860648,0,0,202,199,96,92,52
133879391,0,0,187,189,94,87,54
134913838,0,0,153,141,94,97,49
136067510,0,0,131,123,68,100,62
137222411,1,0,123,123,48,101,62
137942316,2,0,118,107,97,94,58
138863639,3,0,118,107,97,88,58
139906906,3,0,126,121,96,89,66
140906675,3,0,121,116,95,95,52
141873645,3,0,130,123,100,85,61
142911395,3,0,148,148,100,91,45
143955642,3,0,148,154,100,82,49
144962642,3,0,136,133,86,88,64
145866936,3,0,127,122,97,83,54
146879644,4,0,117,114,100,94,49
148121247,4,0,120,123,76,88,63
148879316,4,0,122,125,95,87,56
150001508,5,0,115,113,84,88,61
150913245,5,0,119,112,96,94,53
152129960,5,0,126,126,74,82,56
152973563,5,0,129,127,93,91,61
153932252,5,0,130,126,94,93,65
154880346,5,0,124,123,95,96,51
155978281,5,0,123,115,84,95,48
157012977,5,0,121,113,74,85,56
158249147,8,0,119,116,40,97,63
158938644,8,0,117,116,86,98,61
159981880,9,0,119,110,88,95,57
160891303,10,0,123,120,100,96,50
161980646,10,0,126,125,93,94,64
162905182,10,0,119,122,97,98,59
163910725,10,0,116,103,90,88,50
165478972,11,0,109,103,20,97,50
166371997,12,0,106,96,57,93,55
167259690,12,0,107,96,65,95,55
168452636,12,0,104,98,54,90,65
168864818,12,0,106,98,96,97,65
170066662,13,0,113,113,64,98,56
170989155,13,0,111,106,91,96,56
172141934,14,0,114,99,71,98,48
173029069,15,0,111,99,87,94,48
173956042,16,0,110,100,90,97,51
174950196,17,0,110,100,93,97,51
176035731,20,0,109,104,83,98,58
177421968,20,0,104,104,28,87,58
178385644,20,0,102,104,28,90,58
179768273,20,0,99,0,16,96,0
