timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
151887464,151698251,4028193,125.16496,0.10874731,-0.24567413,12.385194,0.0005414689
152350390,152160076,4028193,125.1642,0.10878861,-0.12895203,12.386052,0.0001491698
152872833,152678371,4028193,125.17207,0.10884959,0.21569061,12.386206,0.00041733202
153384980,153196803,4028193,125.186386,0.10874605,0.36441803,12.385235,0.0011913873
153906900,153715150,4028193,125.22304,0.10881051,0.22499084,12.385573,0.00045412045
154370104,154176923,4028193,125.264496,0.10884906,0.4407196,12.386181,0.0017423878
154891996,154695255,4028193,125.31828,0.10890909,0.40746307,12.385569,0.0014894231
155404258,155213647,4028193,125.37548,0.108807616,0.459877,12.3857355,0.0018972261
155867447,155672677,4028193,125.4361,0.108843885,0.55701447,12.386438,0.0027831974
156379800,156191066,4028193,125.497536,0.108741425,0.7355881,12.3856735,0.0048540835
156901801,156709536,4028193,125.56305,0.10880409,0.38510895,12.386222,0.0013304111
157364644,157171177,4028193,125.62179,0.108841255,0.7663574,12.387269,0.0052679866
157827779,157632906,4028193,125.663635,0.108878955,0.45557404,12.387126,0.0018616794
158398964,158207964,4028193,125.70021,0.10880344,0.4935379,12.386967,0.00218491
158803317,158610222,4028193,125.73451,0.108815566,0.38682556,12.3872,0.0013421921
159384149,159188074,4028193,125.75643,0.10890083,-0.22678375,12.38722,0.00046132552
159896275,159706466,4028193,125.769,0.10879893,0.11743164,12.387322,0.00012369448
160360020,160165481,4028193,125.79491,0.108837366,0.08627319,12.388146,6.675794e-05
160763276,160570468,4028193,125.81872,0.10885123,0.37025452,12.388201,0.0012295607
161226238,161029467,4028193,125.83336,0.108885475,0.51210785,12.387755,0.002352273
161856618,161663969,4028193,125.85397,0.10883487,0.25839233,12.388088,0.0005988422
162319896,162125736,4028193,125.86214,0.1088713,-0.21318054,12.387663,0.0004076273
162891050,162700775,4028193,125.870125,0.10879749,0.24046326,12.387237,0.0005186573
163294892,163103159,4028193,125.87526,0.10880769,-0.1942749,12.387275,0.000338544
163876142,163680885,4028193,125.88876,0.10889421,0.44502258,12.387134,0.001776441
164388321,164199240,4028193,125.901886,0.108790755,0.5565109,12.387123,0.0027780142
164910413,164717673,4028193,125.91118,0.10885537,0.23243713,12.387414,0.00048460497
165373674,165176676,4028193,125.92159,0.108889,0.33473206,12.387928,0.0010049707
165886162,165695096,4028193,125.94505,0.10878614,0.60492706,12.386871,0.0032824785
166407748,166213467,4028193,125.96157,0.108848445,0.34146118,12.387105,0.0010458522
166871044,166675201,4028193,125.98195,0.10888547,0.35225677,12.3876095,0.0011129834
167383071,167193544,4028193,126.000854,0.10878259,0.39426422,12.386504,0.0013943875
167846081,167655313,4028193,126.0183,0.10881991,0.50432587,12.387205,0.0022814274
168368360,168173647,4028193,126.04914,0.10887974,0.4358368,12.387172,0.001703857
168880533,168692127,4028193,126.07379,0.10877775,0.15698242,12.38608,0.0002210679
169343339,169151075,4028193,126.09641,0.10881271,0.37408447,12.386778,0.0012552738
169865663,169669500,4028193,126.1296,0.10887315,0.42190552,12.386857,0.0015967127
170328438,170131199,4028193,126.16585,0.10890887,0.3948593,12.386648,0.0013985836
170899749,170706240,4028193,126.18758,0.1088329,-0.13004303,12.386296,0.0001517016
171303682,171111269,4028193,126.20824,0.108846515,0.4427719,12.386411,0.0017586205
171875013,171686426,4028193,126.22768,0.108764686,-0.14363861,12.38607,0.00018508293
172397120,172204759,4028193,126.24855,0.10882718,0.10964966,12.387532,0.00010784183
172860300,172666469,4028193,126.27342,0.10886439,0.14543152,12.388176,0.00018969995
173382488,173184878,4028193,126.31342,0.10892612,0.38124084,12.389305,0.0013034951
173894430,173703247,4028193,126.34033,0.108823486,0.25040436,12.387776,0.00056240335
174357504,174162269,4028193,126.354225,0.1088617,0.29242706,12.389591,0.00076689455
174869643,174680658,4028193,126.36874,0.10875801,0.7823334,12.389092,0.005489107
175391773,175199056,4028193,126.371414,0.108824804,0.4683838,12.38771,0.0019677512
175854738,175660774,4028193,126.38455,0.10885972,0.3733368,12.388324,0.0012501052
176377022,176179175,4028193,126.398415,0.10891978,0.6393204,12.389718,0.0036654994
176889584,176697562,4028193,126.40657,0.10881833,0.5187454,12.388049,0.002413588
177352126,177159327,4028193,126.40873,0.10885743,0.37968445,12.389912,0.0012928107
177874209,177677648,4028193,126.4158,0.10891563,0.11483765,12.389728,0.0001182672
178327304,178136555,4028193,126.42613,0.10878931,0.19589996,12.3898115,0.0003441609
178849561,178655069,4028193,126.43527,0.10885231,0.37980652,12.389511,0.0012936838
179361656,179173507,4028193,126.44608,0.1087505,0.35317993,12.390337,0.0011185784
179775320,179578481,4028193,126.46699,0.10892767,0.68112946,12.39011,0.004160463
180405806,180210324,4028193,126.50497,0.108875796,0.21201324,12.389557,0.00040311384
180869103,180671979,4028193,126.535286,0.108910196,0.31562805,12.389815,0.0008933956
181381465,181190465,4028193,126.57637,0.108810745,0.8059387,12.390305,0.00582478
181903149,181708752,4028193,126.60602,0.10887047,0.8291931,12.388694,0.006166565
182366126,182170503,4028193,126.6271,0.10890549,0.686882,12.39035,0.004230953
182878534,182688875,4028193,126.65632,0.10880366,0.4617691,12.389351,0.0019123117
183400509,183207305,4028193,126.68804,0.1088666,0.34668732,12.387919,0.0010780405
183863455,183666274,4028193,126.72685,0.10890392,0.7051544,12.38833,0.0044597774
184375875,184184689,4028193,126.77616,0.10879874,0.38230133,12.38774,0.0013109226
184897769,184703049,4028193,126.81908,0.10885878,0.36577606,12.386747,0.0012001368
185410059,185221552,4028193,126.86425,0.10875427,0.47587585,12.386578,0.0020313908
185873164,185683182,4028193,126.901794,0.108789265,0.39369202,12.387049,0.0013902818
186395342,186201609,4028193,126.94148,0.10885042,0.49973297,12.3862705,0.0022402317
186858045,186663258,4028193,126.97458,0.10888642,0.563591,12.387006,0.0028491758
187370312,187181704,4028193,126.997215,0.108783506,0.6987152,12.388174,0.0043787546
187892413,187700048,4028193,127.03491,0.10884592,0.50227356,12.386934,0.0022629465
