timestamp,lat,lon,alt,x,y,z,yaw,update_count,valid_alt,valid_hpos,valid_lpos,manual_home
114020921,31.185647970777634,117.19759265392297,33.796757,-0.02982671,0.09771986,1.6935768,-1.8854237,927,1,1,1,0
132715715,31.18564247562588,117.19758507587713,34.287846,-0.64085966,-0.62315387,1.202488,-0.17747322,928,1,1,1,0
133332619,31.18564247562588,117.19758507587713,34.287846,-0.64085966,-0.62315387,1.202488,-0.06637341,928,1,1,1,0
141571630,31.18564247562588,117.19758507587713,34.287846,-0.64085966,-0.62315387,1.202488,-0.14118372,928,1,1,1,0
370605717,31.18574311655427,117.19710249630234,34.005413,10.546524,-46.530437,1.4879379,-2.902484,929,1,1,1,0
