timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,confidence
115054534,115013497,-0.77676886,-0.76780415,0.92
116022203,115996904,-1.2092339,-1.1952792,0.89
117054678,117012527,0.5054707,0.4996394,0.87
118062231,118012318,-1.3753854,-1.359518,0.87
119009933,118989173,0.7360616,0.7275637,0.9
120047424,120008590,-0.77676886,-0.7677972,0.91
120980143,120961719,1.6828917,1.6634655,0.91
122062524,122036931,1.4047234,1.388261,0.95
123065088,123020686,-1.2092339,-1.1952784,0.89
124082636,124066908,1.0556407,1.0434519,0.83
125070226,125063140,-0.77676886,-0.7676613,0.87
126027929,125992536,1.4047234,1.3885403,0.85
127025487,127004507,1.9211979,1.8987067,0.99
128067962,128029498,-0.41705096,-0.41224462,0.88
129075544,129049907,3.8543952,3.8093417,1.0
130043178,130015480,-2.9601824,-2.9255903,1.0
131065704,131031233,3.5649931,3.5233026,1.0
132053308,132021327,2.7015302,2.669896,1.0
133020968,133001145,-6.1962757,-6.123752,1.0
134071188,134037839,5.1291337,5.0683193,1.0
135016930,134991209,4.752497,4.6959085,1.0
136046369,136012097,5.883065,5.811682,1.0
137006876,136978862,6.3735843,6.2962055,1.0
138006809,137978654,5.1846495,5.1222234,1.0
139055974,139025477,5.4537606,5.38697,1.0
140031232,139995487,5.9194503,5.846807,1.0
141031146,141005785,5.5834546,5.5152435,1.0
142070428,142052154,2.1330428,2.1066997,1.0
143065402,143031228,2.748806,2.7148428,1.0
144080074,144074538,6.098121,6.022612,1.0
145065187,145011234,-5.4985933,-5.430728,1.0
146040453,145999062,6.807966,6.723876,1.0
147064979,147034516,2.973926,2.9372551,0.99
148059941,148041326,3.6247225,3.5795026,1.0
149035200,149010263,4.9007835,4.839867,1.0
150035119,150008035,5.387743,5.320826,1.0
151059657,151014542,4.72228,4.6636376,1.0
152059537,152047937,-2.5720603,-2.5401134,1.0
153069251,153034498,7.0456195,6.957082,1.0
154044517,154018072,4.276897,4.2234564,1.0
155019789,154998387,-3.4305582,-3.3877842,1.0
156068878,156034946,-4.7889547,-4.7293773,1.0
157053954,157029037,-4.698427,-4.6400404,1.0
158068617,158040284,4.2094264,4.1562853,1.0
159029080,158985933,2.1330428,2.1060667,1.0
160028955,160000424,2.7226424,2.688317,1.0
161014053,160989026,5.1846495,5.1193767,1.0
162068101,162042795,4.6612606,4.601893,1.0
163043344,162987830,4.8064065,4.74527,1.0
164043216,164022407,4.4087434,4.3527575,1.0
165028345,165002606,7.255812,7.163865,1.0
166003537,165973491,-4.728796,-4.668117,1.0
167028096,167009342,6.2373734,6.157507,1.0
168067303,168042600,-7.0398283,-6.949748,1.0
169027770,168982549,4.5682025,4.509813,1.0
170057179,170022446,7.09623,7.0058837,1.0
171066900,171042044,2.9739273,2.9360766,1.0
172056899,172009183,2.748806,2.7138565,1.0
173042027,173022346,-3.8992603,-3.8499937,1.0
174002438,173995723,6.506944,6.4235935,1.0
175026933,175002757,-4.5119257,-4.455033,1.0
176016946,175995729,4.4087434,4.3525214,1.0
177056194,177029354,5.101149,5.036129,1.0
178056229,178035749,6.3735843,6.2924247,1.0
179075650,179051512,4.842014,4.780339,1.0
179996673,179971829,-2.0096924,-1.9842415,1.0
181075321,181044934,1.9943137,1.9691577,1.0
182075180,182051811,5.6598444,5.5883365,1.0
183065185,183026960,6.098121,6.021397,1.0
184065029,184044776,5.42745,5.35977,1.0
185035329,185001627,6.027289,5.9512715,1.0
186064745,186044796,5.809612,5.736645,1.0
187025186,187004778,2.615377,2.5825942,1.0
188064425,188045172,-2.9359043,-2.8992424,1.0
189064274,189038378,-4.165503,-4.113422,1.0
190078892,190053769,3.7793884,3.7319539,1.0
191039329,191031606,7.714778,7.6170483,1.0
192024395,191995877,5.557758,5.486653,1.0
193063722,193031582,7.2558117,7.1631813,1.0
194038888,194031615,-2.009694,-1.9843131,1.0
195024185,195005182,-1.7832538,-1.7608036,1.0
196063150,196018159,-0.17547539,-0.17326158,1.0
197077771,197051629,3.6247218,3.5791945,1.0
198062823,198031372,-2.0934224,-2.0672762,1.0
199062685,199031468,-2.7960541,-2.7612207,1.0
200062492,200031364,4.018043,3.9679506,1.0
201077116,201051471,-4.833584,-4.7726116,1.0
202037526,201994878,1.0556377,1.042489,1.0
203076820,203051797,1.9211979,1.8968356,1.0
204076615,204072001,7.8253145,7.725445,1.0
205022269,204984769,6.506944,6.423698,1.0
206012217,205964891,5.143069,5.077772,1.0
