timestamp,nav_state,failure
113852852,0,0
114371764,0,0
114795846,15,0
115299581,15,0
115808112,15,0
116313702,15,0
116815796,15,0
117324509,15,0
117831709,15,0
118331948,15,0
118840861,15,0
119349550,15,0
119855842,15,0
120356992,15,0
120866087,15,0
121373689,15,0
121879691,15,0
122382690,15,0
122891212,15,0
123397692,15,0
123898456,15,0
124407376,15,0
124916283,15,0
125421707,15,0
125923511,15,0
126432289,15,0
126939935,15,0
127439963,15,0
127948928,15,0
128457353,15,0
128963729,15,0
129464981,15,0
129973793,15,0
130481708,15,0
130981724,15,0
131490120,15,0
131998797,15,0
132506692,15,0
133012692,15,0
133515261,15,0
134027219,15,0
134529612,15,0
135032057,15,0
135544348,15,0
136046924,15,0
136559029,15,0
137061589,15,0
137564094,15,0
138076181,15,0
138578578,15,0
139081825,15,0
139593178,15,0
140095779,15,0
140598333,15,0
141110571,15,0
141612726,15,0
142125238,15,0
142627378,15,0
143129769,15,0
143642093,15,0
144144503,15,0
144646908,15,0
145159146,15,0
145661578,15,0
146174571,15,0
146676394,15,0
147178812,15,0
147691086,15,0
148193343,15,0
148695705,15,0
149207968,15,0
149710742,15,0
150222641,15,0
150725361,15,0
151227410,15,0
151739677,15,0
152242124,15,0
152744584,15,0
153257093,15,0
153759304,15,0
154271473,15,0
154774181,15,0
155286170,15,0
155788490,15,0
156300998,15,0
156842773,15,0
157354763,15,0
157857185,15,0
158369790,15,0
158881898,15,0
159423514,15,0
159935835,15,0
160448065,15,0
160950400,15,0
161462643,15,0
162004496,15,0
162516755,15,0
163026738,15,0
163532690,15,0
164033727,15,0
164546248,15,0
165051691,15,0
165557852,15,0
166063725,15,0
166565577,15,0
167075710,15,0
167581790,15,0
168082494,15,0
168593694,15,0
169097093,15,0
169605697,15,0
170112049,15,0
170614426,15,0
171123692,15,0
171629694,15,0
172131318,15,0
172641692,15,0
173147693,15,0
173648159,15,0
174159715,15,0
174662820,15,0
175171702,15,0
175677986,15,0
176179875,15,0
176689701,15,0
177195724,15,0
177697221,15,0
178207736,15,0
178711797,15,0
179213850,15,0
179726233,15,0
180228562,15,0
180737705,15,0
181243690,15,0
181745621,15,0
182255716,15,0
182761707,15,0
183262535,15,0
183773690,15,0
184277416,15,0
184789768,15,0
185291855,15,0
185794262,15,0
186306546,15,0
186808933,15,0
187321219,15,0
187823441,15,0
188326038,15,0
188838076,15,0
189340706,15,0
189842857,15,0
190355172,15,0
190857642,15,0
191369760,15,0
191872878,15,0
192374503,15,0
192886960,15,0
193389123,15,0
193891477,15,0
194403787,15,0
194906087,15,0
195418343,15,0
195920757,15,0
196423166,15,0
196935332,15,0
197437685,15,0
197949876,15,0
198481901,15,0
198984546,15,0
199486635,15,0
199999128,15,0
200501221,15,0
201003695,15,0
201515788,15,0
202018244,15,0
202530512,15,0
203032898,15,0
203535234,15,0
204047510,15,0
204549741,15,0
205052230,15,0
205564648,15,0
206067083,15,0
206569121,15,0
207081405,15,0
