timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
114020930,0.004829749,0,0,0,0,0,0,0,0,0
114531688,0.0018140583,0,0,0,0,0,0,0,0,0
114795809,0.008398073,0,0,0,0,0,0,0,0,0
115301725,0.007314769,0,0,0,0,0,0,0,0,0
115808076,0.003424725,0,0,0,0,0,0,0,0,0
116313665,0.0057456885,0,0,0,0,0,0,0,0,0
116819657,0.0070328433,0,0,0,0,0,0,0,0,0
117325806,0.010161237,0,0,0,0,0,0,0,0,0
117831673,0.016124034,0,0,0,0,0,0,0,0,0
118337654,-0.0018562758,0,0,0,0,0,0,0,0,0
118843704,-0.00137156,0,0,0,0,0,0,0,0,0
119349941,-0.00034962688,0,0,0,0,0,0,0,0,0
119855806,0.005979604,0,0,0,0,0,0,0,0,0
120361825,0.005586372,0,0,0,0,0,0,0,0,0
120867704,0.007483192,0,0,0,0,0,0,0,0,0
121373653,0.011799939,0,0,0,0,0,0,0,0,0
121879654,0.010908247,0,0,0,0,0,0,0,0,0
122385829,0.012159218,0,0,0,0,0,0,0,0,0
122891675,0.012404375,0,0,0,0,0,0,0,0,0
123397656,0.0135386195,0,0,0,0,0,0,0,0,0
123903655,0.014141552,0,0,0,0,0,0,0,0,0
124409690,0.013355483,0,0,0,0,0,0,0,0,0
124916247,0.015441452,0,0,0,0,0,0,0,0,0
125421653,0.01908146,0,0,0,0,0,0,0,0,0
125927654,-0.015733397,0,0,0,0,0,0,0,0,0
126433654,-0.027799467,0,0,0,0,0,0,0,0,0
126939899,-0.031241212,0,0,0,0,0,0,0,0,0
127445805,-0.028574698,0,0,0,0,0,0,0,0,0
127951663,-0.018200498,0,0,0,0,0,0,0,0,0
128457673,-0.013565174,0,0,0,0,0,0,0,0,0
128963693,-0.02415305,0,0,0,0,0,0,0,0,0
129469791,-0.11038737,0,0,0,0,0,0,0,0,0
129975908,-0.16373366,0,0,0,0,0,0,0,0,0
130481672,-0.3104123,0,0,0,0,0,0,0,0,0
130987669,-0.47930047,0,0,0,0,0,0,0,0,0
131493684,-0.55630445,0,0,0,0,0,0,0,0,0
132000664,-0.5983104,0,0,0,0,0,0,0,0,0
132506656,-0.60171664,0,0,0,0,0,0,0,0,0
133012654,-0.60684586,0,0,0,0,0,0,0,0,0
133365969,-0.5065751,0,0,0,0,0,0,0,0,0
133871709,-0.5233592,0,0,0,0,0,0,0,0,0
134377685,-0.75641817,0,0,0,0,0,0,0,0,0
134883664,-1.0967225,0,0,0,0,0,0,0,0,0
135389655,-1.3023312,0,0,0,0,0,0,0,0,0
135895817,-1.5369611,0,0,0,0,0,0,0,0,0
136401680,-1.7998856,0,0,0,0,0,0,0,0,0
136907656,-1.9762348,0,0,0,0,0,0,0,0,0
137413656,-2.1438866,0,0,0,0,0,0,0,0,0
137919654,-2.4194248,0,0,0,0,0,0,0,0,0
138425809,-2.5761745,0,0,0,0,0,0,0,0,0
138931895,-2.8005948,0,0,0,0,0,0,0,0,0
139437704,-3.0019457,0,0,0,0,0,0,0,0,0
139943654,-3.132904,0,0,0,0,0,0,0,0,0
140449656,-3.2758904,0,0,0,0,0,0,0,0,0
140955791,-3.4709792,0,0,0,0,0,0,0,0,0
141461657,-3.5233526,0,0,0,0,0,0,0,0,0
141967655,-3.6559932,0,0,0,0,0,0,0,0,0
142473655,-3.7573655,0,0,0,0,0,0,0,0,0
142979654,-3.8701794,0,0,0,0,0,0,0,0,0
143485822,-4.0218196,0,0,0,0,0,0,0,0,0
143991676,-4.1081333,0,0,0,0,0,0,0,0,0
144497756,-4.1320353,0,0,0,0,0,0,0,0,0
145003665,-4.163048,0,0,0,0,0,0,0,0,0
145510680,-4.259399,0,0,0,0,0,0,0,0,0
146016655,-4.242046,0,0,0,0,0,0,0,0,0
146522655,-4.3066726,0,0,0,0,0,0,0,0,0
147028656,-4.41038,0,0,0,0,0,0,0,0,0
147534655,-4.4113207,0,0,0,0,0,0,0,0,0
148040666,-4.347761,0,0,0,0,0,0,0,0,0
148546663,-4.367075,0,0,0,0,0,0,0,0,0
149052655,-4.3847795,0,0,0,0,0,0,0,0,0
149558654,-4.4692535,0,0,0,0,0,0,0,0,0
150065611,-4.502977,0,0,0,0,0,0,0,0,0
150571664,-4.4796515,0,0,0,0,0,0,0,0,0
151077655,-4.553116,0,0,0,0,0,0,0,0,0
151583675,-4.5443754,0,0,0,0,0,0,0,0,0
152089782,-4.5174885,0,0,0,0,0,0,0,0,0
152596754,-4.5576563,0,0,0,0,0,0,0,0,0
153102655,-4.609779,0,0,0,0,0,0,0,0,0
153608656,-4.6787686,0,0,0,0,0,0,0,0,0
154115213,-4.677372,0,0,0,0,0,0,0,0,0
154620927,-4.6815743,0,0,0,0,0,0,0,0,0
154928950,-4.5846505,0,0,0,0,0,0,0,0,0
155434675,-4.6588492,0,0,0,0,0,0,0,0,0
155941663,-4.712095,0,0,0,0,0,0,0,0,0
156447654,-4.674482,0,0,0,0,0,0,0,0,0
156953655,-4.726109,0,0,0,0,0,0,0,0,0
157459788,-4.761957,0,0,0,0,0,0,0,0,0
157966886,-4.8010926,0,0,0,0,0,0,0,0,0
158472674,-4.869927,0,0,0,0,0,0,0,0,0
158978655,-4.8472323,0,0,0,0,0,0,0,0,0
159484736,-4.7904778,0,0,0,0,0,0,0,0,0
159990657,-4.821059,0,0,0,0,0,0,0,0,0
160496656,-4.826778,0,0,0,0,0,0,0,0,0
161002728,-4.8140225,0,0,0,0,0,0,0,0,0
161508654,-4.783657,0,0,0,0,0,0,0,0,0
162014669,-4.7383137,0,0,0,0,0,0,0,0,0
162520665,-4.7589226,0,0,0,0,0,0,0,0,0
163026702,-4.776917,0,0,0,0,0,0,0,0,0
163532655,-4.686247,0,0,0,0,0,0,0,0,0
164038668,-4.702799,0,0,0,0,0,0,0,0,0
164546208,-4.751574,0,0,0,0,0,0,0,0,0
165051654,-4.8422446,0,0,0,0,0,0,0,0,0
165557815,-4.7495093,0,0,0,0,0,0,0,0,0
166063669,-4.7262444,0,0,0,0,0,0,0,0,0
166569688,-4.761133,0,0,0,0,0,0,0,0,0
167075674,-4.727144,0,0,0,0,0,0,0,0,0
167581749,-4.691036,0,0,0,0,0,0,0,0,0
168087674,-4.714295,0,0,0,0,0,0,0,0,0
168593657,-4.822954,0,0,0,0,0,0,0,0,0
169099656,-4.853639,0,0,0,0,0,0,0,0,0
169605656,-4.80262,0,0,0,0,0,0,0,0,0
170112012,-4.781008,0,0,0,0,0,0,0,0,0
170617654,-4.794508,0,0,0,0,0,0,0,0,0
171123655,-4.7143993,0,0,0,0,0,0,0,0,0
171629654,-4.726972,0,0,0,0,0,0,0,0,0
172135861,-4.7109776,0,0,0,0,0,0,0,0,0
172641656,-4.674398,0,0,0,0,0,0,0,0,0
173147655,-4.733443,0,0,0,0,0,0,0,0,0
173653655,-4.711795,0,0,0,0,0,0,0,0,0
174159656,-4.7474217,0,0,0,0,0,0,0,0,0
174665674,-4.738273,0,0,0,0,0,0,0,0,0
175171663,-4.843166,0,0,0,0,0,0,0,0,0
175677933,-4.782912,0,0,0,0,0,0,0,0,0
176183654,-4.8351984,0,0,0,0,0,0,0,0,0
176689662,-4.7701597,0,0,0,0,0,0,0,0,0
177195686,-4.8137426,0,0,0,0,0,0,0,0,0
177701654,-4.8737116,0,0,0,0,0,0,0,0,0
178207656,-4.8389153,0,0,0,0,0,0,0,0,0
178713661,-4.87496,0,0,0,0,0,0,0,0,0
179219654,-4.848928,0,0,0,0,0,0,0,0,0
179726195,-4.945821,0,0,0,0,0,0,0,0,0
180231668,-5.0272717,0,0,0,0,0,0,0,0,0
180737668,-4.9559994,0,0,0,0,0,0,0,0,0
181243654,-4.967734,0,0,0,0,0,0,0,0,0
181749655,-5.113137,0,0,0,0,0,0,0,0,0
182255656,-5.0716825,0,0,0,0,0,0,0,0,0
182761663,-5.0454144,0,0,0,0,0,0,0,0,0
