log,duration_s,armed_s,max_horiz_speed_m_s,path_m,xy_span_m,fix_counts,fix_mode_p50,rtk_fixed_ratio_active,rtk_float_or_better_ratio_active,sat_used_p50,sat_used_p95,gps_eph_p50_m,gps_eph_p95_m,gps_epv_p50_m,gps_epv_p95_m,rtcm_rate_p50,rtcm_rate_p95,est_hacc_p50_m,est_hacc_p95_m,est_vacc_p50_m,est_vacc_p95_m,pos_test_ratio_p95,stat_scatter_h95_m,stat_scatter_rms_m
log_0_2026-3-7-17-56-30,111.99349699999999,113.22576199999997,10.572189781021006,194.34502231034764,67.34098731788734,"{np.int64(3): 112, np.int64(4): 1}",3.0,0.0,0.0,28.0,28.0,2.31081,3.371639879999999,2.577699,3.0033665199999997,0.0,0.15996800999999092,,,,,,0.3853329469672139,0.23816496877212195
log_1_2026-3-8-10-02-40,26.999594000000016,26.90588600000001,9.677017390873955,44.409654898911874,20.13792060733197,{np.int64(3): 28},3.0,0.0,0.0,28.0,28.0,1.941025,2.12602124,2.414151,2.52887736,0.0,0.0,0.48402894,0.500770886,0.32815322,0.333992052,0.06419625799999999,,
