timestamp,voltage_v,current_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,full_charge_capacity_wh,remaining_capacity_wh,nominal_voltage,internal_resistance_estimate,ocv_estimate,ocv_estimate_filtered,volt_based_soc_estimate,voltage_prediction,prediction_error,estimation_covariance_norm,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,faults,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,is_required,warning
78156874,12.41337,0.0,15.0,0.18006791,0.9053702,1.0137038,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.41337,12.435866,0.9088153,12.482601,-0.032774925,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
78166873,12.402432,0.0,15.0,0.18006791,0.90522045,1.0137258,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.402432,12.435866,0.9088153,12.482601,-0.032774925,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
78367493,12.369622,0.0,15.0,0.18056801,0.89903444,1.0146347,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.369622,12.434221,0.9079012,12.371062,0.008584976,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
78566874,12.410635,0.0,15.0,0.18066134,0.89176506,1.015705,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.410635,12.433739,0.90763277,12.380806,0.004310608,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
78766875,12.411547,0.01465,15.0,0.18133634,0.8851442,1.0166817,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.411701,12.432727,0.9070706,12.437163,-0.025616646,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
78956873,12.255696,0.0,15.0,0.18133634,0.87092584,1.0187856,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.255696,12.432727,0.9070706,12.437163,-0.025616646,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
79156876,12.364154,0.0,15.0,0.18133634,0.8599853,1.0204103,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.364154,12.432727,0.9070706,12.437163,-0.025616646,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
79356930,12.417927,0.0,15.0,0.1822365,0.8646092,1.019723,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.417927,12.431868,0.90659326,12.462171,-0.09710598,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
79566875,12.429775,0.0,15.0,0.18277195,0.8694243,1.0190082,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.429775,12.432153,0.90675205,12.41227,0.023885727,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
79766873,12.036958,0.0,15.0,0.18351467,0.86064905,1.0203116,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035164086,12.036958,12.4321785,0.90676636,12.424731,0.015069008,0.43176135,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0
