timestamp,io_errors,frames_tx,frames_rx,interface
78111464,3005,2937,0,0
78213465,3007,2941,0,0
78315464,3011,2941,0,0
78417464,3011,2941,0,0
78519462,3011,2941,0,0
78621463,3011,2941,0,0
78723484,3011,2943,0,0
78825463,3013,2943,0,0
78927463,3014,2960,0,0
79029464,3030,2960,0,0
79131462,3030,2960,0,0
79233465,3030,2962,0,0
79335462,3032,2962,0,0
79437465,3032,2962,0,0
79539925,3032,2962,0,0
79641462,3032,2962,0,0
79744134,3032,2964,0,0
79845462,3034,2964,0,0
79947471,3035,2981,0,0
80049466,3051,2981,0,0
80151462,3051,2983,0,0
80253464,3053,2983,0,0
80355462,3053,2983,0,0
80457464,3053,2983,0,0
80559462,3053,2983,0,0
80661887,3053,2985,0,0
80763465,3055,2985,0,0
80865462,3056,2985,0,0
80967462,3056,3002,0,0
81069462,3072,3002,0,0
81171462,3072,3002,0,0
81273646,3072,3004,0,0
81375462,3074,3004,0,0
81477461,3074,3004,0,0
81579542,3074,3004,0,0
81681476,3074,3004,0,0
81783483,3074,3006,0,0
81885462,3077,3006,0,0
81987477,3077,3023,0,0
82089462,3093,3023,0,0
82191462,3093,3023,0,0
82293473,3093,3025,0,0
82395461,3095,3025,0,0
82497516,3095,3025,0,0
82599462,3095,3025,0,0
82701841,3095,3027,0,0
82803464,3097,3027,0,0
82905462,3098,3044,0,0
83007543,3114,3047,0,0
83109462,3117,3047,0,0
83211463,3117,3050,0,0
83313479,3120,3050,0,0
83415462,3120,3050,0,0
83517462,3120,3050,0,0
83619462,3120,3050,0,0
83721484,3120,3052,0,0
83823464,3122,3052,0,0
83925462,3123,3069,0,0
84027461,3139,3069,0,0
84129462,3139,3069,0,0
84231462,3139,3071,0,0
84333464,3141,3071,0,0
84435461,3141,3071,0,0
84537466,3141,3071,0,0
84639462,3141,3071,0,0
84741953,3141,3073,0,0
84843467,3143,3073,0,0
84945462,3144,3090,0,0
85047463,3160,3090,0,0
85149462,3160,3092,0,0
85251462,3162,3092,0,0
85353464,3162,3092,0,0
