timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
78106781,78083428,3,4,1,0,0,0,0,0,0,0,0,0,0
79109387,79086588,3,4,1,0,0,0,0,0,0,0,0,0,0
80116947,80093977,3,4,1,0,0,0,0,0,0,0,0,0,0
81134564,81113607,3,4,1,0,0,0,0,0,0,0,0,0,0
82140022,82116213,3,4,1,0,0,0,0,0,0,0,0,0,0
83152288,83128895,3,4,1,0,0,0,0,0,0,0,0,0,0
84159899,84136434,3,4,1,0,0,0,0,0,0,0,0,0,0
85162745,85138957,3,4,1,0,0,0,0,0,0,0,0,0,0
86172419,86149661,3,4,1,0,0,0,0,0,0,0,0,0,0
87175276,87151773,3,4,1,0,0,0,0,0,0,0,0,0,0
88187611,88164630,3,4,1,0,0,0,0,0,0,0,0,0,0
89200205,89176971,3,4,1,0,0,0,0,0,0,0,0,0,0
90205516,90181915,3,4,1,0,0,0,0,0,0,0,0,0,0
91220430,91197314,3,4,1,0,0,0,0,0,0,0,0,0,0
92230993,92207144,3,4,1,0,0,0,0,0,0,0,0,0,0
93240554,93217419,3,4,1,0,0,0,0,0,0,0,0,0,0
94251377,94230109,3,4,1,0,0,0,0,0,0,0,0,0,0
95265716,95242614,3,4,1,0,0,0,0,0,0,0,0,0,0
96278399,96255473,3,4,1,0,0,0,0,0,0,0,0,0,0
97284052,97259947,3,4,1,0,0,0,0,0,0,0,0,0,0
98306134,98282524,3,4,1,0,0,0,0,0,0,0,0,0,0
99323785,99300101,3,4,1,0,0,0,0,0,0,0,0,0,0
100328836,100307667,3,4,1,0,0,0,0,0,0,0,0,0,0
101336204,101313424,3,4,1,0,0,0,0,0,0,0,0,0,0
102347117,102323014,3,4,1,0,0,0,0,0,0,0,0,0,0
103361515,103338323,3,4,1,0,0,0,0,0,0,0,0,0,0
104376727,104353010,3,4,1,0,0,0,0,0,0,0,0,0,0
105394344,105370598,3,4,1,0,0,0,0,0,0,0,0,0,0
106416710,106393193,3,4,1,0,0,0,0,0,0,0,0,0,0
107422039,107401088,3,4,1,0,0,0,0,0,0,0,0,0,0
108431916,108410914,3,4,1,0,0,0,0,0,0,0,0,0,0
109441974,109418509,3,4,1,0,0,0,0,0,0,0,0,0,0
110452361,110428403,3,4,1,0,0,0,0,0,0,0,0,0,0
110868449,110845083,4,6,1,0,0,0,0,0,0,0,0,0,0
111880886,111857850,4,6,1,0,0,0,0,0,0,0,0,0,0
112891109,112867649,4,6,1,0,0,0,0,0,0,0,0,0,0
113903967,113880085,4,6,1,0,0,0,0,0,0,0,0,0,0
114908855,114893018,4,6,1,0,0,0,0,0,0,0,0,0,0
115921936,115890299,4,6,1,0,0,0,0,0,0,0,0,0,0
116946999,116917926,4,6,1,0,0,0,0,0,0,0,0,0,0
117969398,117937923,4,6,1,0,0,0,0,0,0,0,0,0,0
118999813,118967845,4,6,1,0,0,0,0,0,0,0,0,0,0
120019484,119988478,4,6,1,0,0,0,0,0,0,0,0,0,0
121039174,121007835,4,6,1,0,0,0,0,0,0,0,0,0,0
122059331,122028026,4,6,1,0,0,0,0,0,0,0,0,0,0
123074773,123042950,4,6,1,0,0,0,0,0,0,0,0,0,0
124087233,124055438,4,6,1,0,0,0,0,0,0,0,0,0,0
125115244,125083144,4,6,1,0,0,0,0,0,0,0,0,0,0
126141933,126110494,4,6,1,0,0,0,0,0,0,0,0,0,0
127160432,127128031,4,6,1,0,0,0,0,0,0,0,0,0,0
