timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
77888358,1,0,172,174,100,74,69
78914177,1,0,176,182,97,78,58
79864845,1,0,186,190,96,88,64
80869141,1,0,181,186,96,94,67
81934642,1,0,188,191,97,83,65
82885390,1,0,173,171,96,77,58
83995519,1,0,178,171,90,84,68
84918279,1,0,191,190,96,85,63
85960148,1,0,192,190,96,95,70
86995181,1,0,193,190,93,83,68
87913034,1,0,194,192,99,80,63
88963689,1,0,195,192,95,82,63
89867643,1,0,195,192,96,82,64
90925685,1,0,195,193,94,83,62
92077010,1,0,197,194,75,84,59
92959584,1,0,198,196,93,85,60
93954822,1,0,198,196,95,82,60
94966106,1,0,198,196,73,94,64
96040176,1,0,198,195,70,87,61
96911125,1,0,198,194,97,86,63
97885377,1,0,197,194,95,84,59
98952040,1,0,195,192,100,87,66
99961639,1,0,196,193,91,95,66
100968581,1,0,177,172,93,95,66
101887506,1,0,154,150,98,91,66
103048133,1,0,130,128,85,95,67
103967148,1,0,120,110,97,91,68
105120642,4,0,119,110,76,96,68
105924642,4,0,122,117,96,82,59
106975853,5,0,122,115,81,91,67
107971340,5,0,120,118,94,91,56
108893159,5,0,122,119,96,89,67
109861030,5,0,121,116,97,91,66
110889866,5,0,125,120,97,86,64
111972999,5,0,121,114,93,89,59
112978659,5,0,118,110,95,95,64
113893111,6,0,117,109,93,90,66
115519641,6,0,110,107,25,93,67
116019234,8,0,109,107,66,92,67
116934047,9,0,109,103,91,91,57
117896638,10,0,109,103,95,89,57
119135105,12,0,111,103,57,91,63
119899799,12,0,113,106,98,95,62
120883906,13,0,116,109,93,88,62
121886461,13,0,123,116,97,94,65
123293525,14,0,118,113,46,91,62
123949004,16,0,116,110,100,94,59
124985640,17,0,116,110,88,92,59
125899654,17,0,116,102,92,95,57
126870743,19,0,114,107,100,94,66
128257352,21,0,111,105,52,92,59
128907976,21,0,110,108,92,89,61
129950162,22,0,115,105,90,93,61
130992053,23,0,115,108,93,94,58
131912509,23,0,128,129,81,95,61
132862648,23,0,125,122,100,91,67
134107152,23,0,121,117,56,87,62
134916134,23,0,126,120,94,92,58
135879310,23,0,133,131,96,93,57
136900179,23,0,143,139,97,94,61
137952238,23,0,131,131,88,94,57
138998381,23,0,133,128,87,88,58
139880847,23,0,132,130,96,93,65
140922332,23,0,132,127,97,89,58
141962052,23,0,130,123,87,83,58
142867553,23,0,141,141,98,95,58
143947502,23,0,129,119,97,92,60
144964641,23,0,139,138,90,92,57
146002032,23,0,138,137,83,94,55
147386642,24,0,128,130,26,90,60
148196125,24,0,125,114,43,92,61
148867239,24,0,131,122,100,80,60
149944930,24,0,144,144,100,96,55
150915473,24,0,136,127,92,93,58
151878529,24,0,132,127,96,95,60
152951374,25,0,127,115,95,92,65
154122474,25,0,125,119,74,88,67
155006957,25,0,129,120,82,93,63
156166259,25,0,135,136,76,95,61
156870388,25,0,130,125,98,90,61
158010643,25,0,132,129,68,92,61
158861744,26,0,129,126,100,94,64
159872541,26,0,121,115,96,92,59
161013660,26,0,125,118,87,92,64
161921654,26,0,140,141,95,93,58
163006638,26,0,140,137,83,92,64
164052651,26,0,138,135,64,88,61
164867032,26,0,138,135,97,93,57
165979969,26,0,139,137,86,93,57
166936895,26,0,145,141,84,91,63
167928243,26,0,147,144,94,91,65
168880632,26,0,141,146,97,91,60
169884508,26,0,132,128,94,89,63
170980950,27,0,123,102,93,92,64
171899561,27,0,122,117,95,92,64
172906546,27,0,131,129,92,90,68
173943518,27,0,137,133,92,94,67
174889943,27,0,136,133,97,90,63
175910941,27,0,128,131,95,85,67
176989829,27,0,131,126,85,94,64
177987061,27,0,130,130,90,92,62
179064102,27,0,123,114,74,93,67
179952020,27,0,134,131,87,93,63
180911174,27,0,144,146,94,93,62
182030844,27,0,152,152,90,97,63
182957366,27,0,142,134,90,90,62
183904988,28,0,133,123,96,95,68
184869528,28,0,130,124,97,91,64
185960436,28,0,147,148,92,86,58
186907638,28,0,141,141,100,93,63
187878235,28,0,127,127,97,89,71
188958568,28,0,121,118,87,91,70
190034112,28,0,130,125,74,96,58
190870145,28,0,129,120,97,84,58
191958398,28,0,126,121,90,92,64
193115608,28,0,120,105,69,90,63
194042868,28,0,131,127,78,90,61
194965020,28,0,138,140,68,93,57
195891643,28,0,134,131,97,92,60
196918661,28,0,132,131,97,91,59
197887165,28,0,145,145,96,88,67
198923023,28,0,153,153,93,96,68
199933368,28,0,147,142,91,84,62
200864608,28,0,133,129,97,93,67
201914149,28,0,125,112,100,92,59
202934162,28,0,125,124,90,94,61
203884304,28,0,127,121,100,92,66
204927004,28,0,120,110,95,88,65
206089104,28,0,119,102,66,90,63
206976122,28,0,122,114,94,98,69
208052600,28,0,126,123,81,94,67
209057977,28,0,118,109,86,93,66
210012215,28,0,118,112,82,94,63
211132255,28,0,121,118,54,95,61
211896310,28,0,118,118,97,86,61
212980536,28,0,118,107,86,92,63
213878660,28,0,132,131,100,91,65
214877654,28,0,140,139,99,88,62
215985038,28,0,135,134,97,89,59
216934963,28,0,124,119,96,93,59
217865030,28,0,127,115,99,90,59
218908171,28,0,137,137,91,93,60
219910429,28,0,148,147,95,90,65
220950975,28,0,148,147,84,93,66
221911642,28,0,142,135,90,91,61
222901636,28,0,137,134,98,86,60
223977658,28,0,131,120,96,91,60
224996184,28,0,132,133,93,92,58
225954916,28,0,137,131,87,93,60
226881159,28,0,149,150,96,86,59
227879353,28,0,135,123,97,91,60
228919607,28,0,137,139,92,93,62
230075158,28,0,136,137,73,94,62
230995061,28,0,133,127,95,88,69
231917533,28,0,126,122,89,89,57
232869634,28,0,145,142,100,93,62
233996988,28,0,153,151,94,91,56
234921753,28,0,148,146,87,89,60
235963028,28,0,140,135,87,91,58
237001978,28,0,133,123,87,90,63
237924642,28,0,133,127,92,96,58
238966613,28,0,131,125,92,91,63
240005349,28,0,139,140,90,92,58
240964259,28,0,150,151,84,92,62
241967712,28,0,156,156,90,93,61
242876216,28,0,151,147,97,92,67
243965941,28,0,150,144,93,92,62
244970914,28,0,149,147,85,93,61
245873071,28,0,153,141,100,80,59
247045639,28,0,161,159,76,91,59
247870058,28,0,156,146,100,85,60
248877507,28,0,146,143,100,92,57
249952610,28,0,152,151,100,91,60
250974849,28,0,146,145,91,91,61
251886142,28,0,129,125,99,89,69
252935932,28,0,127,108,94,88,63
253860947,28,0,130,119,97,92,57
254875642,28,0,133,126,97,81,58
255963328,28,0,140,140,93,95,64
256932107,28,0,140,138,91,93,62
257937661,28,0,139,138,90,92,63
258926930,28,0,138,131,93,92,57
259933195,28,0,137,131,93,91,54
260892870,28,0,138,134,100,92,69
261884535,28,0,140,140,95,94,63
262888608,28,0,140,134,97,94,59
263905744,28,0,141,137,91,95,63
264865177,28,0,132,131,96,96,61
265893800,28,0,133,127,97,96,70
266896709,28,0,136,134,96,82,66
267933516,28,0,144,148,100,89,56
268894904,28,0,151,150,99,91,57
269911114,28,0,159,156,95,92,73
270942031,28,0,156,152,97,90,58
271914297,28,0,149,140,97,93,67
272988505,28,0,145,139,87,95,61
273878866,28,0,146,141,95,93,65
274997963,28,0,145,142,70,89,64
275915639,28,0,135,130,94,94,71
276958788,28,0,131,126,94,92,58
277901158,28,0,133,130,100,90,62
278925995,28,0,128,125,90,91,60
279958567,28,0,127,117,92,93,64
280907854,28,0,139,134,100,92,65
281921080,28,0,148,145,91,93,58
282964238,28,0,150,146,91,94,54
284004290,28,0,152,151,85,91,62
284926263,28,0,157,155,95,82,60
285965902,28,0,159,157,94,92,59
286964642,28,0,158,157,90,94,70
287927647,28,0,153,149,97,93,69
288924242,28,0,143,135,89,91,65
289868386,28,0,129,117,96,85,57
290930639,28,0,120,118,90,95,64
292004365,28,0,121,116,84,92,61
292865079,28,0,129,125,100,88,53
293935642,28,0,133,131,90,93,59
294968384,28,0,135,133,93,92,62
295867324,28,0,136,133,98,91,67
296918545,28,0,139,135,100,80,67
297861578,28,0,140,133,97,93,64
298876998,28,0,135,131,97,92,66
299969643,28,0,131,127,100,93,61
300976657,28,0,132,128,90,92,59
301929036,28,0,131,129,97,90,69
302938661,28,0,131,128,95,93,54
303937153,28,0,131,129,92,93,68
304974835,28,0,127,126,91,87,59
305949496,28,0,125,119,83,92,63
306988518,28,0,133,128,80,93,64
307894583,28,0,137,135,95,96,64
308871142,28,0,139,136,100,94,61
309904088,28,0,142,138,97,78,67
310911642,28,0,144,142,93,90,61
311865640,28,0,143,141,100,84,63
312904873,28,0,139,137,97,89,60
313910417,28,0,131,129,91,92,55
314947586,28,0,123,119,96,88,60
316107030,28,0,122,115,82,95,60
316918660,28,0,124,121,92,98,58
317958934,28,0,125,127,92,88,65
318894403,28,0,130,128,100,92,70
319921353,28,0,129,125,90,86,63
321074643,29,0,121,113,83,92,62
322003047,29,0,129,124,70,95,60
322920829,29,0,130,127,95,91,67
323864642,29,0,133,131,99,91,65
324884841,29,0,138,136,100,90,61
325924439,29,0,142,138,88,92,61
326873100,29,0,144,141,100,82,60
327868661,29,0,148,145,100,94,61
328947642,29,0,150,147,100,93,60
329964754,29,0,150,146,90,92,53
330894064,29,0,149,145,94,93,63
331922651,29,0,150,146,100,92,66
332970646,29,0,157,153,85,92,63
333882663,29,0,156,153,94,96,62
334894746,29,0,147,140,97,94,64
335929313,29,0,147,144,94,92,63
336935720,29,0,151,149,90,92,60
337937447,29,0,140,136,85,95,62
338871307,29,0,145,142,97,98,59
339891642,29,0,141,135,100,92,65
340883622,29,0,136,133,94,97,60
341883661,29,0,130,126,94,93,60
342903237,29,0,138,135,96,80,59
343873270,29,0,140,138,100,92,57
344904523,29,0,141,138,95,94,60
345901141,29,0,141,137,94,92,59
346870642,29,0,138,138,100,91,66
347909136,29,0,135,127,95,90,63
348912668,29,0,132,126,93,89,64
349949641,29,0,130,127,90,94,66
350869962,30,0,121,126,95,96,64
352068663,30,0,119,116,79,93,59
352955289,30,0,122,122,72,91,61
353995641,31,0,118,111,71,94,69
354910633,31,0,119,116,93,78,67
355959639,31,0,121,116,93,93,63
356899306,31,0,122,116,98,96,58
357921142,31,0,121,116,87,92,58
358960529,31,0,122,119,90,95,74
359904827,31,0,121,118,100,90,69
360962519,31,0,121,114,98,95,57
361965063,32,0,127,127,90,96,65
363042096,32,0,137,133,79,90,64
363954643,32,0,135,133,98,95,65
364967810,32,0,134,131,91,90,66
366124638,32,0,146,142,80,89,65
366955305,32,0,140,129,98,94,62
368042564,32,0,128,129,77,92,62
369006828,32,0,114,110,70,92,55
369881943,32,0,113,103,95,91,61
371237643,33,0,109,103,54,88,61
371893034,35,0,107,98,94,89,62
372916976,37,0,105,98,99,81,62
374014139,37,0,106,102,90,90,68
374900532,37,0,107,105,88,90,72
376126349,40,0,105,105,80,91,61
377053507,41,0,104,99,81,90,63
378057086,43,0,103,99,89,91,63
378929893,43,0,103,99,93,84,63
379984568,44,0,105,103,94,85,60
380907968,46,0,105,101,94,93,62
382332649,47,0,104,101,40,85,58
382990264,47,0,106,101,90,90,58
383907111,49,0,105,98,95,89,65
385104160,52,0,104,96,75,91,65
386222221,54,0,104,96,62,90,65
386947548,56,0,103,96,97,86,65
388073355,61,0,104,101,83,86,58
388872068,62,0,104,101,100,91,62
389939134,64,0,104,101,100,89,62
391075457,66,0,104,102,77,91,60
391871042,66,0,104,102,100,92,61
