timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
78164855,78164772,3.683522,-1.8505114,-7.910969
78169777,78169676,3.6892877,-1.9134734,-8.075243
78213853,78213769,4.7664886,-2.0504642,-7.418686
78262847,78262763,3.3992362,-1.0868865,-6.59569
78311957,78311766,1.8464683,-1.576365,-6.998901
78365749,78365663,-1.0938005,-2.6955578,-6.830021
78414746,78414662,0.4733639,-3.9142115,-6.553626
78463747,78463663,1.1000758,-4.0441008,-7.5307255
78517651,78517565,0.791419,-4.484934,-8.108145
78566652,78566565,1.2826561,-5.0769067,-8.146333
78615664,78615564,1.3202752,-5.4954796,-8.320677
78664646,78664561,1.2544379,-5.772935,-8.345123
78713650,78713558,1.8791757,-6.302703,-7.984033
78762653,78762555,0.5295946,-6.250787,-7.775337
78811639,78811554,0.1008752,-6.615661,-6.697336
78865648,78865452,0.9067092,-7.4906983,-6.5372834
78914542,78914451,-0.73431724,-6.6857023,-6.1331487
78963534,78963449,0.083005264,-7.4440794,-6.1404104
79013024,79012935,-0.6347909,-8.670654,-6.2305236
79066920,79066829,-2.5242507,-8.560758,-6.3676934
79115915,79115825,-2.109877,-8.359341,-5.6161814
79164910,79164817,-3.6942327,-7.8233495,-5.2864647
79213893,79213813,-4.739955,-7.0752525,-4.6747293
79262889,79262806,-5.2150693,-6.631172,-3.9229903
79311896,79311798,-5.3144,-5.9116545,-4.5498495
79360876,79360794,-5.6651735,-6.642753,-4.898046
79414772,79414689,-5.4948716,-7.0146837,-5.1651645
79463761,79463679,-8.162285,-5.595879,-5.3019776
79512755,79512673,-7.2895727,-3.9106286,-5.8082414
79566650,79566566,-3.8785865,-1.938262,-4.3591704
79615648,79615556,-4.3812184,-0.5865719,-5.6848097
79664631,79664544,-7.2587895,-1.1874541,-5.708605
79713647,79713536,-7.656737,-0.8292509,-5.6062245
79767518,79767431,-8.195667,-0.0017065344,-5.7424765
79816505,79816425,-9.137004,1.0143034,-5.0575824
79865499,79865417,-8.450607,-0.26113382,-4.5723405
79914493,79914408,-7.708092,-0.7380333,-4.751862
79963483,79963398,-7.625783,-2.3954437,-4.3282576
80012476,80012392,-6.8015647,-2.841113,-4.4943867
80061475,80061387,-6.372601,-3.637882,-4.7878714
80115375,80115281,-6.833853,-3.4858766,-5.095704
80164865,80164767,-7.9664,-3.4728146,-5.0829372
80213846,80213764,-7.500034,-3.8535562,-5.172892
80267744,80267661,-6.484124,-4.2801857,-5.534872
80316740,80316656,-6.3093576,-4.8149905,-5.862431
80365731,80365650,-6.4122314,-4.4356966,-6.639116
80414729,80414649,-6.300353,-4.4407434,-6.9390583
80463727,80463645,-6.066722,-4.518068,-7.368426
80512721,80512639,-5.839192,-4.291124,-7.781466
80561746,80561636,-5.597016,-3.9228778,-8.22779
80615629,80615537,-5.040405,-3.2670128,-9.095658
80664618,80664534,-4.924573,-3.5165534,-9.826786
80713695,80713528,-5.1454244,-3.983681,-9.719475
80762602,80762521,-3.3835015,-4.690838,-8.661533
80816499,80816418,-0.86936444,-3.748264,-8.411829
