timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
78736542,2490378,2490378,0,0,0,0,0,0,0,0,406.02856,406.02856,8120.571,8120.571,0.29872862,0.032582656,1.0648775e-08,1.4650177,-5.9159355,-7.9948416,0.66219723,-0.072672434,1.1334356,0.26612344,0.06840166,0.03158873,0.00089331286,0.0008137623,0.015962161,11.0917,11.0917
79771064,2490378,2490378,0,0,0,0,0,0,0,0,406.02838,406.02838,8120.5674,8120.5674,0.42110854,0.047397994,2.0809026e-08,-7.8748665,-0.31039304,-5.518223,-0.12916902,-0.5514268,0.9415487,0.045766965,0.22850241,0.025809577,0.012613341,0.009007902,0.16698645,11.1229725,11.1229725
80805430,2490378,2490378,0,0,0,0,0,0,0,0,406.0282,406.0282,8120.564,8120.564,0.27297395,0.026900826,1.846568e-08,-3.2987278,-4.102455,-8.682748,0.5172534,1.3005133,1.3618608,1.8348892,0.29180607,0.3767476,0.0007634207,0.0004073752,0.0047816304,11.101479,11.101479
81736429,2490378,2490378,0,0,0,0,0,0,0,0,406.02805,406.02805,8120.5605,8120.5605,0.49995112,0.055673845,4.8635858e-08,-4.5366,-5.552318,-8.072406,-0.1743881,-1.5972228,-0.07425892,0.13345812,0.61509734,0.41960222,0.017976385,0.013245466,0.014668235,11.14008,11.14008
82770877,2490378,2490378,0,0,0,0,0,0,0,0,406.0279,406.0279,8120.557,8120.557,0.44344905,0.05184788,1.9040375e-08,-9.909036,-2.6910448,-3.342392,0.039025396,-1.5333686,-0.046798598,0.16591269,0.13097733,0.11397431,0.0025781633,0.07365909,0.008349345,11.151079,11.151079
83805320,2490378,2490378,0,0,0,0,0,0,0,0,406.02768,406.02768,8120.5537,8120.5537,0.35700044,0.054489937,7.885597e-09,-6.528128,1.2765206,-8.564861,0.56940794,-0.12860826,-0.12265764,0.12285643,0.5039646,0.030243866,0.0026039626,0.003921587,0.017863428,11.147055,11.147055
84736321,2490378,2490378,0,0,0,0,0,0,0,0,406.02756,406.02756,8120.551,8120.551,0.21098393,0.03238886,1.5327105e-08,3.0096893,-0.16882324,-8.487962,-0.20726778,0.8180975,-0.061187606,0.14610371,0.08479813,0.1433463,0.022956723,0.041486517,0.0026217052,11.176098,11.176098
85770785,2490378,2490378,0,0,0,0,0,0,0,0,406.0274,406.0274,8120.548,8120.548,0.2025925,0.021625534,1.5565297e-09,2.0316887,-0.47235015,-9.410367,0.20076433,0.026728347,0.17747754,0.013784963,0.01701636,0.019461885,0.0015423731,0.00093735335,0.00076714926,11.150219,11.150219
86805213,2490378,2490378,0,0,0,0,0,0,0,0,406.02725,406.02725,8120.545,8120.545,0.09194012,0.011231504,1.1151475e-09,1.5639316,-1.1436055,-10.114982,0.1336277,-0.106038086,0.18134029,0.012246573,0.0046389992,0.06009638,0.0008553091,0.0010969684,0.0013521606,11.136489,11.136489
87736231,2490378,2490378,0,0,0,0,0,0,0,0,406.02713,406.02713,8120.5425,8120.5425,0.07185942,0.010197158,1.0383704e-09,2.275386,-1.7913986,-9.337799,-0.16052955,-0.08136976,0.11223952,0.0023716819,0.031901978,0.0039929873,0.00010549628,0.0029784157,0.00013170166,11.110896,11.110896
