timestamp,altitude_sp,altitude_reference,altitude_time_constant,height_rate_reference,height_rate_direct,height_rate_setpoint,height_rate,equivalent_airspeed_sp,true_airspeed_sp,true_airspeed_filtered,true_airspeed_derivative_sp,true_airspeed_derivative,true_airspeed_derivative_raw,total_energy_rate_sp,total_energy_rate,total_energy_balance_rate_sp,total_energy_balance_rate,throttle_integ,pitch_integ,throttle_sp,pitch_sp_rad,throttle_trim,underspeed_ratio,fast_descend_ratio
110909344,39.712296,39.706062,10.0,0.23520224,nan,0.035280336,0.23520224,4.01999,4.01999,7.0,0.0,0.0,0.0,0.3459819,2.306546,0.6919638,4.613092,0.0,0.0,0.59374386,0.0015120137,0.6,0.0,0.0
110929220,39.712296,39.71038,10.0,0.19745824,nan,0.030809304,0.117037535,4.03993,4.03993,7.0,0.0,0.0,0.0,0.3046019,2.2517014,0.6042721,2.2954924,0.0,-2.4478963e-05,0.5927925,0.005082683,0.6,0.0,0.0
111108768,71.886154,39.776646,10.0,0.5485543,nan,0.09100507,1.0673403,4.219465,4.219465,7.0,0.0,0.0,0.0,0.90118045,3.751882,1.7849098,20.934065,0.0,-0.0014236062,0.6010529,-0.017265094,0.6,0.0,0.0
111308264,71.886154,39.920437,10.0,0.8,nan,0.15041764,-0.21928073,4.4189744,4.4189744,7.0,0.0,0.0,0.0,1.4804307,2.831195,2.9501863,-4.300819,0.0,-0.0016191751,0.6190818,0.03973405,0.6,0.0,0.0
111507821,71.886154,40.080086,10.0,0.8,nan,0.17109177,0.07215486,4.618532,4.618532,7.0,0.0,0.0,0.0,1.6812465,3.4569232,3.3556743,1.4151949,0.0,-0.002428398,0.62920564,0.03804932,0.6,0.0,0.0
111707310,71.886154,40.239674,10.0,0.8,nan,0.21052468,-0.13204761,4.81802,4.81802,7.0,0.0,0.0,0.0,2.0681002,0.010084569,4.1290836,-2.5898893,0.0,-0.0002777818,0.6516481,0.07935086,0.6,0.0,0.0
111906849,71.886154,40.399307,10.0,0.8,nan,0.24548562,-0.9759822,5.0175548,5.0175548,7.0,0.0,0.0,0.0,2.4102697,-1.4958242,4.814783,-19.142231,0.0,0.0013476497,0.6740961,0.10693678,0.6,0.0,0.0
112106363,71.886154,40.55892,10.0,0.8,nan,0.27788156,0.20553651,5.2170753,5.2170753,7.0,0.0,0.0,0.0,2.7272358,-1.517151,5.4501743,4.0312495,0.0,0.0027478805,0.69654155,0.085243106,0.6,0.0,0.0
112305877,71.886154,40.718533,10.0,0.8,nan,0.31381562,-0.11794987,5.4165883,5.4165883,7.0,0.0,0.0,0.0,3.078386,-2.8512254,6.15496,-2.3133862,0.0,0.0050258045,0.71898675,0.12009445,0.6,0.0,0.0
112505379,71.886154,40.878136,10.0,0.8,nan,0.34012368,-0.6400764,5.6160746,5.6160746,7.0,0.0,0.0,0.0,3.3354926,-1.9593806,6.670948,-12.55401,0.0,0.005974271,0.72475785,0.12771784,0.6,0.0,0.0
112704893,71.886154,41.037743,10.0,0.8,nan,0.36684677,0.27019557,5.815601,5.815601,7.0,0.0,0.0,0.0,3.6001253,-0.7374701,7.195076,5.299427,0.0,0.006800022,0.72513336,0.112491906,0.6,0.0,0.0
112904409,71.886154,41.197353,10.0,0.8,nan,0.4001384,0.33313197,6.0151143,6.0151143,7.0,0.0,0.0,0.0,3.9285116,-1.4943987,7.848035,6.5338173,0.0,0.008730227,0.7418506,0.13917863,0.6,0.0,0.0
113103952,71.886154,41.356987,10.0,0.8,nan,0.42358276,-0.45749238,6.2146616,6.2146616,7.0,0.0,0.0,0.0,4.1616054,-0.7828998,8.307856,-8.972936,0.0,0.009632315,0.7433519,0.15736747,0.6,0.0,0.0
113303476,71.886154,41.51661,10.0,0.8,nan,0.4427398,0.22404952,6.414183,6.414183,7.0,0.0,0.0,0.0,4.3581905,1.2243162,8.683589,4.3943505,0.0,0.009678089,0.73520255,0.13580254,0.6,0.0,0.0
113503063,71.886154,41.676277,10.0,0.8,nan,0.46693107,0.9314736,6.6137714,6.6137714,7.0,0.0,0.0,0.0,4.599508,1.4775112,9.158059,18.269272,0.0,0.010582407,0.7416427,0.14269257,0.6,0.0,0.0
113702467,71.886154,41.835796,10.0,0.8,nan,0.4886924,-0.20161353,6.813177,6.813177,7.0,0.0,0.0,0.0,4.815709,1.221726,9.584871,-3.9543068,0.0,0.011536995,0.7487434,0.17676058,0.6,0.0,0.0
113902002,71.886154,41.995422,10.0,0.8,nan,0.50457525,0.020034648,6.9999995,6.9999995,7.0,0.0,0.0,0.0,4.9818935,2.572118,9.896386,0.3929456,0.0,0.011550137,0.74553406,0.16405559,0.6,0.0,0.0
114101578,71.886154,42.155083,10.0,0.8,nan,0.52169186,1.0287863,6.9999995,6.9999995,7.0,0.0,0.0,0.0,5.1478014,3.3900292,10.2321,20.177895,0.0,0.011855704,0.7462124,0.14968449,0.6,0.0,0.0
114311026,71.886154,42.322636,10.0,0.8,nan,0.5394611,0.88004106,7.000001,7.000001,7.0,0.0,0.0,0.0,5.318154,3.4298708,10.580612,17.26051,0.0,0.012375991,0.75009596,0.16816768,0.6,0.0,0.0
114510561,71.886154,42.48227,10.0,0.8,nan,0.5476795,0.08727086,6.9999995,6.9999995,7.0,0.0,0.0,0.0,5.3945932,4.8351555,10.741802,1.7116697,0.0,0.011689859,0.7418259,0.17366861,0.6,0.0,0.0
114710154,71.886154,42.641945,10.0,0.8,nan,0.55545956,0.88966554,7.0000005,7.0000005,7.0,0.0,0.0,0.0,5.4637012,6.4180665,10.894395,17.449278,0.0,0.010802019,0.73215616,0.14983195,0.6,0.0,0.0
