timestamp,rpm_estimate,rpm_raw
29976137,-1.0027622e-11,0.0
29986111,-8.022098e-12,0.0
30176111,-1.1561062e-13,0.0
30376112,-1.3328997e-15,0.0
30576112,0.58593917,2.9296958
30776112,202.00945,244.6045
30976111,354.4624,389.60944
31176140,410.57703,394.32483
31376119,282.2524,301.54715
31576132,364.85358,417.60556
31776112,545.04785,557.99384
31976110,468.86935,454.10156
32176110,683.4782,667.572
32376116,583.4955,565.14734
32576128,799.43274,726.71924
32776113,838.7976,881.9244
32976111,694.2112,710.44916
33176111,828.75916,698.73035
33376111,989.25024,928.71106
33576109,935.51,1073.3389
33776111,903.6322,927.246
33976111,896.5594,982.9102
34176111,924.88153,858.3985
34376111,943.3432,840.82043
34576111,1070.3225,914.0625
34776131,1084.7571,1013.31244
34976111,1133.9343,953.6133
35176111,1117.5558,953.61334
35376112,1177.4547,1097.1678
35576111,1141.0972,979.9803
35776111,1207.9227,1091.8545
35976112,1181.9182,1026.7528
36176111,1194.8236,1012.2072
36376110,1206.7286,1059.1882
36576111,1142.2754,1031.147
36776112,1394.1272,1379.5219
36976112,1297.3655,1392.9274
37176111,1459.8807,1513.1833
37376111,1415.1089,1331.4098
37576110,1276.822,1240.847
37776110,1383.997,1495.6055
37976111,1408.6674,1596.6797
38176110,1487.9636,1447.4104
38376114,1505.9838,1490.7637
38576111,1470.6235,1565.918
38776111,1553.6041,1432.6171
38976113,1567.823,1593.5906
39176110,1563.3416,1621.582
39376111,1495.4476,1318.4913
39576112,1664.9237,1823.548
39776111,1666.0967,1602.5391
39976111,1509.9203,1508.6383
40176111,1691.4418,1561.3671
40376122,1626.6421,1627.1165
40576111,1681.3243,1839.1272
40776129,1545.0159,1457.8251
40976143,1731.6499,1762.6023
41176111,1646.8706,1598.1447
41376111,1657.7877,1904.2968
41576130,1603.4408,1424.0524
41776111,1747.4094,1775.3906
41976112,1715.7947,1701.9785
42176111,1692.4685,1829.59
42376111,1633.5687,1447.2657
42576112,1804.96,1883.5386
42776111,1697.6462,1609.8633
42976111,1724.1757,1800.2931
43176111,1610.8276,1548.4945
43376111,1801.6798,1841.3085
43576110,1718.0161,1755.0582
43776111,1749.6147,1754.8828
43976111,1618.654,1669.9221
44176111,1776.507,1697.5841
44376110,1756.5938,1857.6079
44576111,1789.4426,1715.3323
44776110,1702.842,1835.4489
44976112,1724.6672,1596.2761
45176141,1858.2323,2021.28
45376111,1766.0022,1750.6636
45576111,1807.0925,1848.6328
45776111,1668.0409,1652.3439
45976110,1778.458,1598.3044
46176111,1828.5955,1914.1758
46376111,1780.4744,1731.4453
46576110,1780.2534,1853.2129
46776110,1668.7959,1545.5646
46976112,1826.3624,1690.2604
47176111,1804.3866,1932.129
47376111,1805.4542,1848.8318
47576111,1716.274,1794.2542
47776110,1694.1079,1525.0549
47976110,1843.6628,1818.0527
48176111,1760.8247,1775.5682
48376111,1812.9961,1858.887
48576111,1674.8295,1675.6134
48776111,1764.1432,1573.0847
48976110,1833.3151,1870.6058
49176111,1782.0292,1816.2009
49376125,1792.3932,1968.7736
49576111,1653.3973,1571.7772
49776111,1818.2474,1725.586
49976122,1798.0116,1856.8444
50176111,1791.4648,1766.6016
50376111,1720.7524,1787.1094
50576111,1696.7444,1524.9021
50776111,1842.508,1809.0822
50976111,1776.8594,1869.1404
51176112,1811.8016,1923.34
51376126,1659.6377,1645.4812
51576111,1762.0427,1599.6093
51776111,1820.6145,1880.8596
51976111,1772.8884,1728.1781
52176111,1774.7725,1844.238
52376111,1665.9884,1548.3397
52576111,1824.2003,1705.0779
52776112,1806.9508,1953.9061
52976111,1800.0356,1825.1956
53176111,1703.1034,1757.8123
53376111,1694.3184,1498.8689
53576112,1837.9133,1830.8712
53776111,1760.4291,1759.2773
53976111,1800.3977,1819.5088
54176111,1666.3204,1702.1482
54376111,1778.5568,1622.3932
54576111,1830.2576,2005.3711
54776111,1772.215,1736.0135
54976112,1745.2863,1813.4764
55176111,1664.6566,1560.0587
55376111,1830.5399,1759.2775
55576112,1807.836,1885.8198
55776111,1814.8895,1769.5312
55976111,1728.0002,1762.2732
56176111,1721.3365,1523.4373
56376111,1860.2126,1827.9424
56576111,1795.6405,1809.0822
56776123,1832.9974,1779.1151
56976111,1737.9366,1851.5624
57176111,1761.2516,1573.2426
57376112,1201.9314,1078.0171
57576110,64.23459,-1.4649944
57776115,0.7488068,0.0
57976112,0.24497041,0.0
58176110,-0.14225206,0.0
58376111,-0.0016400547,0.0
58576139,-1.8908542e-05,0.0
58776111,-2.1800065e-07,0.0
58976111,-2.5133766e-09,0.0
59176110,-2.897726e-11,0.0
59376110,-3.3408505e-13,0.0
59576110,-3.851738e-15,0.0
59776111,-4.440751e-17,0.0
59976111,-5.1198375e-19,0.0
60176111,-5.9027697e-21,0.0
60376110,-6.80543e-23,0.0
60576111,-7.846126e-25,0.0
60776111,-9.0459666e-27,0.0
60976110,-1.042929e-28,0.0
61176111,-1.20241505e-30,0.0
61376111,-1.3862902e-32,0.0
61576111,-1.5982836e-34,0.0
61776111,-1.8426956e-36,0.0
61976124,-2.1244832e-38,0.0
62176112,-2.44936e-40,0.0
62376111,-2.824e-42,0.0
62576111,-3.2e-44,0.0
62776111,-3e-45,0.0
62976109,-3e-45,0.0
63176111,-3e-45,0.0
63376111,-3e-45,0.0
63576111,-3e-45,0.0
