timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
29977116,0.0,0.026247874,0.12979156,0.0053275637,-0.99117947,0.014778346,0.0,0.0,0,0
29982081,0.0,0.026256856,0.12979151,0.00532874,-0.9911792,0.014778346,0.0,0.0,0,0
30031995,0.0,0.026780881,0.12978867,0.005397359,-0.9911652,0.014778346,0.0,0.0,0,0
30076842,0.0,0.027910082,0.12978244,0.0055452217,-0.991134,0.014778346,0.0,0.0,0,0
30126761,0.0,0.029710913,0.12977214,0.0057810256,-0.99108166,0.014778346,0.0,0.0,0,0
30181615,0.0,0.03216247,0.12975745,0.0061020264,-0.9910052,0.014778346,0.0,0.0,0,0
30231475,0.0,0.034656946,0.12974167,0.006428635,-0.9909211,0.014778346,0.0,0.0,0,0
30276364,0.0,0.03680784,0.12972742,0.006710248,-0.99084353,0.014778346,0.0,0.0,0,0
30326268,0.0,0.038913082,0.12971286,0.0069858753,-0.990763,0.014778346,0.0,0.0,0,0
30381111,0.0,0.040911276,0.1296985,0.007247479,-0.99068254,0.014778346,0.0,0.0,0,0
30431004,0.0,0.042639703,0.12968567,0.007473759,-0.99060965,0.014778346,0.0,0.0,0,0
30475894,0.0,0.044083897,0.12967464,0.007662824,-0.99054646,0.014778346,0.0,0.0,0,0
30530759,0.0,0.045407675,0.12966427,0.007836121,-0.9904866,0.014778346,0.0,0.0,0,0
30580668,0.0,0.04613244,0.12901981,0.007901232,-0.9905368,0.06527096,0.0,0.0,0,0
30630518,0.0,0.04646512,0.12906128,0.0070004268,-0.9905226,0.088669986,0.0,0.0,0,0
30675409,0.0,0.046713393,0.12901515,0.007976902,-0.9905096,0.09605914,0.0,0.0,0,0
30730279,0.0,0.047463506,0.12964773,0.0081052445,-0.99039024,0.10837442,0.0,0.0,0,0
30780154,0.0,0.04938478,0.12835455,0.008292951,-0.99046326,0.12684733,0.0,0.0,0,0
30830048,0.0,0.051249452,0.1296158,0.008600833,-0.9902016,0.12684733,0.0,0.0,0,0
30879923,0.0,0.05188266,0.12897176,0.00865018,-0.99025226,0.12684733,0.0,0.0,0,0
30929791,0.0,0.051225003,0.12897748,0.008564525,-0.9902865,0.12684733,0.0,0.0,0,0
30979705,0.0,0.050235804,0.12962453,0.008468147,-0.9902535,0.12684733,0.0,0.0,0,0
31029545,0.0,0.050215047,0.12834755,0.008400545,-0.9904215,0.12684733,0.0,0.0,0,0
31079454,0.0,0.052032277,0.12901987,0.007725791,-0.9902458,0.12684733,0.0,0.0,0,0
31129329,0.0,0.05648144,0.1289302,0.009249111,-0.9900006,0.12807885,0.0,0.0,0,0
31179195,0.0,0.06205624,0.12887605,0.009975101,-0.9896668,0.12684733,0.0,0.0,0,0
31229076,0.0,0.067490615,0.12881933,0.010682746,-0.9893111,0.12931037,0.0,0.0,0,0
31278974,0.0,0.07236509,0.12876512,0.011317434,-0.98896646,0.13669953,0.0,0.0,0,0
31328853,0.0,0.077125564,0.12934655,0.011987327,-0.98852277,0.15147787,0.0,0.0,0,0
31378769,0.0,0.08201159,0.12928572,0.012626632,-0.98812944,0.16625619,0.0,0.0,0,0
31428594,0.0,0.0868212,0.12922272,0.013255893,-0.98771846,0.16748771,0.0,0.0,0,0
31478493,0.0,0.0910441,0.12925145,0.012867401,-0.98733956,0.16625619,0.0,0.0,0,0
31528366,0.0,0.09467123,0.1292033,0.013342218,-0.9869984,0.16625619,0.0,0.0,0,0
31578233,0.0,0.096797116,0.12917425,0.013620505,-0.98679215,0.16625619,0.0,0.0,0,0
31628121,0.0,0.09681268,0.12908195,0.0145629775,-0.9867892,0.16625619,0.0,0.0,0,0
31678048,0.0,0.094882585,0.12911017,0.014310498,-0.9869767,0.16625619,0.0,0.0,0,0
31727875,0.0,0.09274038,0.12859264,0.01302888,-0.98726565,0.16625619,0.0,0.0,0,0
31777768,0.0,0.09233684,0.1292345,0.013036632,-0.98721945,0.18842366,0.0,0.0,0,0
31827672,0.0,0.09458139,0.12847814,0.014209554,-0.9870895,0.1982759,0.0,0.0,0,0
31877567,0.0,0.0976033,0.12843402,0.0146028735,-0.9867953,0.21798033,0.0,0.0,0,0
31932429,0.0,0.100185625,0.1290314,0.015004181,-0.98645246,0.21921185,0.0,0.0,0,0
31977280,0.0,0.100616805,0.12912056,0.014120508,-0.98641,0.21798033,0.0,0.0,0,0
32027169,0.0,0.099649854,0.12903953,0.0149341,-0.9865067,0.21798033,0.0,0.0,0,0
32077206,0.0,0.09716542,0.12916917,0.013668718,-0.98675597,0.21798033,0.0,0.0,0,0
32131912,0.0,0.09590744,0.12909524,0.014444563,-0.98687756,0.22290644,0.0,0.0,0,0
32176808,0.0,0.09703015,0.12917103,0.013651011,-0.98676926,0.24261087,0.0,0.0,0,0
32226736,0.0,0.10022969,0.12912609,0.014069835,-0.9864494,0.26354682,0.0,0.0,0,0
32281612,0.0,0.104076385,0.12897122,0.015513092,-0.9860496,0.2906404,0.0,0.0,0,0
32331447,0.0,0.10785564,0.12901342,0.015068043,-0.98564476,0.2894089,0.0,0.0,0,0
32376331,0.0,0.11063252,0.12897044,0.01543151,-0.98533696,0.2894089,0.0,0.0,0,0
32426225,0.0,0.11268702,0.12893799,0.015700422,-0.9851041,0.2894089,0.0,0.0,0,0
32481084,0.0,0.11431825,0.1289118,0.015913928,-0.9849161,0.2894089,0.0,0.0,0,0
32530961,0.0,0.11584903,0.12888692,0.016114285,-0.9847373,0.317734,0.0,0.0,0,0
32575853,0.0,0.11566813,0.12888987,0.01609061,-0.9847585,0.3263547,0.0,0.0,0,0
32630768,0.0,0.11128275,0.12896024,0.015516619,-0.9852637,0.33004928,0.0,0.0,0,0
32680600,0.0,0.10460789,0.12906235,0.014642931,-0.98599476,0.32881775,0.0,0.0,0,0
32730482,0.0,0.09760793,0.12916303,0.013726644,-0.9867123,0.32881775,0.0,0.0,0,0
32775375,0.0,0.0917411,0.12924233,0.012958645,-0.98727506,0.32881775,0.0,0.0,0,0
32830239,0.0,0.08503162,0.12932739,0.012080298,-0.9878755,0.33374387,0.0,0.0,0,0
32880121,0.0,0.07723403,0.12941867,0.011059449,-0.98851573,0.33866996,0.0,0.0,0,0
32930007,0.0,0.06808645,0.12951545,0.009861787,-0.98918784,0.3448276,0.0,0.0,0,0
