timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
29979438,0.0,0.0,0.0,0.0
29981929,0.0,0.0,0.0,0.0
30181452,0.0,0.0,0.0,0.0
30380973,0.0,0.0,0.0,0.0
30580495,0.0,0.0,0.0,0.0
30780018,0.0,0.0,0.0,0.0
30979536,0.0,0.0,0.0,0.0
31179060,0.0,0.0,0.0,0.0
31378592,0.0,0.0,0.0,0.0
31580596,0.0,0.0,0.0,0.0
31780122,0.0,0.0,0.0,0.0
31979643,0.0,0.0,0.0,0.0
32179166,0.0,0.0,0.0,0.0
32378687,0.0,0.0,0.0,0.0
32578215,0.0,0.0,0.0,0.0
32777735,0.0,0.0,0.0,0.0
32982249,0.0,0.0,0.0,0.0
33181786,0.0,0.0,0.0,0.0
33381292,0.0,0.0,0.0,0.0
33580829,0.0,0.0,0.0,0.0
33780338,0.0,0.0,0.0,0.0
33979864,0.0,0.0,0.0,0.0
34179386,0.0,0.0,0.0,0.0
34381404,0.0,0.0,0.0,0.0
34580926,0.0,0.0,0.0,0.0
34780450,0.0,0.0,0.0,0.0
34979973,0.0,0.0,0.0,0.0
35179502,0.0,0.0,0.0,0.0
35379018,0.0,0.0,0.0,0.0
35578541,0.0,0.0,0.0,0.0
35783054,0.0,0.0,0.0,0.0
35980092,0.0,0.0,0.0,0.0
36179606,0.0,0.0,0.0,0.0
36379131,-0.0012550877,0.008894428,0.014777698,0.0
36578666,-0.0025755716,-0.034548406,0.03611792,0.0
36778185,-0.010410014,-0.07874464,0.054729536,0.0
36977858,0.009576981,-0.07695766,0.05321206,0.0
37182250,0.02630313,-0.08631918,0.04847779,0.0
37381738,0.03213293,-0.096737385,0.04638116,0.0
37581277,0.042958803,-0.101134986,0.051537093,0.0
37780785,0.05595686,-0.09061026,0.06912945,0.0
37980310,0.06012181,-0.07069289,0.090525985,0.0
38179834,0.07917518,-0.05741149,0.110389166,0.0
38379355,0.08238575,-0.0492257,0.12759444,0.0
38581373,0.09090907,-0.041343622,0.13770345,0.0
38780895,0.10608808,-0.039120898,0.1445154,0.0
38980421,0.11568672,-0.034556806,0.1488792,0.0
39179945,0.112599745,-0.028045412,0.15550421,0.0
39379468,0.12564512,-0.037708316,0.1714303,0.0
39578991,0.13249429,-0.039907258,0.1783009,0.0
39778516,0.13571379,-0.045520015,0.17476588,0.0
39983043,0.14433508,-0.047619198,0.17896262,0.0
40182553,0.15766962,-0.060471043,0.1917694,0.0
40379598,0.16206715,-0.049895104,0.2,0.0
