timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
29909499,29885735,5,4,1,0,0,0,0,0,0,0,0,0,0
30925037,30903623,5,4,1,0,0,0,0,0,0,0,0,0,0
31929540,31905726,5,4,1,0,0,0,0,0,0,0,0,0,0
32939264,32916354,5,4,1,0,0,0,0,0,0,0,0,0,0
33949450,33925887,5,4,1,0,0,0,0,0,0,0,0,0,0
34967143,34943496,5,4,1,0,0,0,0,0,0,0,0,0,0
35984723,35963671,5,4,1,0,0,0,0,0,0,0,0,0,0
36997346,36971658,5,4,1,0,0,0,0,0,0,0,0,0,0
38007108,37984011,5,4,1,0,0,0,0,0,0,0,0,0,0
39012645,38988873,5,4,1,0,0,0,0,0,0,0,0,0,0
40020213,39996420,5,4,1,0,0,0,0,0,0,0,0,0,0
41032644,41008985,5,4,1,0,0,0,0,0,0,0,0,0,0
42045683,42021650,5,4,1,0,0,0,0,0,0,0,0,0,0
43067817,43044135,5,4,1,0,0,0,0,0,0,0,0,0,0
44080484,44056741,5,4,1,0,0,0,0,0,0,0,0,0,0
45102821,45079326,5,4,1,0,0,0,0,0,0,0,0,0,0
46102889,46079622,5,4,1,0,0,0,0,0,0,0,0,0,0
47110384,47087664,5,4,1,0,0,0,0,0,0,0,0,0,0
48120944,48099882,5,4,1,0,0,0,0,0,0,0,0,0,0
49130864,49107857,5,4,1,0,0,0,0,0,0,0,0,0,0
50133235,50110085,5,4,1,0,0,0,0,0,0,0,0,0,0
51143616,51119879,5,4,1,0,0,0,0,0,0,0,0,0,0
52161997,52137476,5,4,1,0,0,0,0,0,0,0,0,0,0
53176256,53152717,5,4,1,0,0,0,0,0,0,0,0,0,0
54191263,54167667,5,4,1,0,0,0,0,0,0,0,0,0,0
55203952,55180265,5,4,1,0,0,0,0,0,0,0,0,0,0
56206346,56182850,5,4,1,0,0,0,0,0,0,0,0,0,0
57216327,57193133,5,4,1,0,0,0,0,0,0,0,0,0,0
58226729,58203054,5,4,1,0,0,0,0,0,0,0,0,0,0
59246557,59223693,5,4,1,0,0,0,0,0,0,0,0,0,0
60256743,60233176,5,4,1,0,0,0,0,0,0,0,0,0,0
61264428,61240844,5,4,1,0,0,0,0,0,0,0,0,0,0
62264563,62243477,5,4,1,0,0,0,0,0,0,0,0,0,0
63275260,63251159,5,4,1,0,0,0,0,0,0,0,0,0,0
64292296,64268621,5,4,1,0,0,0,0,0,0,0,0,0,0
65294796,65271213,5,4,1,0,0,0,0,0,0,0,0,0,0
66304720,66281481,5,4,1,0,0,0,0,0,0,0,0,0,0
67320037,67299025,5,4,1,0,0,0,0,0,0,0,0,0,0
68333151,68311912,5,4,1,0,0,0,0,0,0,0,0,0,0
69345185,69322439,5,4,1,0,0,0,0,0,0,0,0,0,0
70360179,70337268,5,4,1,0,0,0,0,0,0,0,0,0,0
71360944,71336896,5,4,1,0,0,0,0,0,0,0,0,0,0
72363346,72339468,5,4,1,0,0,0,0,0,0,0,0,0,0
73381344,73357107,5,4,1,0,0,0,0,0,0,0,0,0,0
74400714,74379690,5,4,1,0,0,0,0,0,0,0,0,0,0
75408292,75385202,5,4,1,0,0,0,0,0,0,0,0,0,0
76418418,76395170,5,4,1,0,0,0,0,0,0,0,0,0,0
77428617,77407500,5,4,1,0,0,0,0,0,0,0,0,0,0
78436059,78412719,5,4,1,0,0,0,0,0,0,0,0,0,0
79453683,79430352,5,4,1,0,0,0,0,0,0,0,0,0,0
80466192,80443700,5,4,1,0,0,0,0,0,0,0,0,0,0
81473989,81452983,5,4,1,0,0,0,0,0,0,0,0,0,0
82486621,82463718,5,4,1,0,0,0,0,0,0,0,0,0,0
83501778,83478185,5,4,1,0,0,0,0,0,0,0,0,0,0
84514899,84493700,5,4,1,0,0,0,0,0,0,0,0,0,0
85516982,85496014,5,4,1,0,0,0,0,0,0,0,0,0,0
86524559,86501001,5,4,1,0,0,0,0,0,0,0,0,0,0
87532267,87511328,5,4,1,0,0,0,0,0,0,0,0,0,0
88532549,88508995,5,4,1,0,0,0,0,0,0,0,0,0,0
89534969,89512334,5,4,1,0,0,0,0,0,0,0,0,0,0
90545203,90521884,5,4,1,0,0,0,0,0,0,0,0,0,0
91555307,91531780,5,4,1,0,0,0,0,0,0,0,0,0,0
92565701,92541873,5,4,1,0,0,0,0,0,0,0,0,0,0
