timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
30322128,0,0,15,1,0
32347103,0,0,15,1,0
34371868,0,0,15,1,0
36397120,0,0,15,1,0
38412180,0,0,15,1,0
40437596,0,0,15,1,0
42462702,0,0,15,1,0
44487790,0,0,15,1,0
46512939,0,0,15,1,0
48538076,0,0,15,1,0
50563204,0,0,15,1,0
52588399,0,0,15,1,0
54613896,0,0,15,1,0
56638770,0,0,15,1,0
58664212,0,0,15,1,0
60689298,0,0,15,1,0
62714278,0,0,15,1,0
64739545,0,0,15,1,0
66755450,0,0,15,1,0
68779971,0,0,15,1,0
70785274,0,0,15,1,0
72810344,0,0,15,1,0
74835914,0,0,15,1,0
76850791,0,0,15,1,0
78876216,0,0,15,1,0
80911357,0,0,15,1,0
82936495,0,0,15,1,0
84961915,0,0,15,1,0
86987095,0,0,15,1,0
89002260,0,0,15,1,0
91027582,0,0,15,1,0
