timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
50318498,50318283,-0.63333136,0.029198576,-0.31901574,0.7044629,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
50817300,50817094,-0.43080956,-0.038868032,-0.32926172,0.8393326,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
51316119,51315906,-0.22384924,-0.11560775,-0.333905,0.90831375,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
51819921,51819706,0.024576636,-0.1797811,-0.31119257,0.9328633,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
52318737,52318518,0.26579484,-0.23101002,-0.26543874,0.8975132,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
52817547,52817330,0.48386618,-0.30474138,-0.18413779,0.79943705,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
53321336,53321130,0.65687054,-0.3469992,-0.13569206,0.6555153,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
53820204,53819943,0.8041713,-0.3495256,-0.039448664,0.47914943,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
54318968,54318755,0.9104116,-0.32339418,0.04237773,0.25450173,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
54817871,54817567,0.94349915,-0.29901886,0.13006538,0.05899326,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
55316656,55316379,0.9355301,-0.23820968,0.20923977,-0.1557511,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
55820387,55820180,0.8507256,-0.22039697,0.2976928,-0.3729212,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
56319208,56318992,0.69458133,-0.19189845,0.33834693,-0.6051886,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
56818025,56817805,0.4553446,-0.12059351,0.36738694,-0.80196345,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
57321811,57321606,-0.3899862,-0.60585827,0.08584701,-0.68809664,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
57815666,57815430,-0.35287476,-0.66103816,0.33066034,-0.57373494,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
58319508,58319231,-0.35307863,-0.7523039,0.31088054,-0.4612243,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
58818250,58818045,-0.35619938,-0.74761856,0.31934845,-0.4606572,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
59317086,59316858,-0.35856742,-0.74311084,0.32546788,-0.4618294,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
59820869,59820660,-0.36088046,-0.7386478,0.33077106,-0.46341696,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
60319693,60319474,-0.36313772,-0.734146,0.33548626,-0.4654135,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
60818500,60818288,-0.36528397,-0.72957784,0.33996275,-0.4676636,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
61317318,61317103,-0.3674975,-0.7248685,0.34417042,-0.47016805,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
61816150,61815917,-0.36951184,-0.7202264,0.34828484,-0.47268668,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
62319935,62319720,-0.37137848,-0.71559477,0.35216105,-0.47537872,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
62818748,62818535,-0.37297896,-0.7111269,0.3558645,-0.47806457,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
63317565,63317350,-0.3741447,-0.70677024,0.35968816,-0.48074538,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
63821374,63821154,-0.37512195,-0.7025173,0.36346284,-0.48337138,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
64320185,64319970,-0.37561506,-0.69865274,0.36738414,-0.4856199,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
64819064,64818786,-0.37595046,-0.69504803,0.3709194,-0.48784047,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
65317826,65317602,-0.37613285,-0.6916103,0.37417346,-0.49009553,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
65816633,65816418,-0.37598613,-0.68843895,0.37737888,-0.49221092,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
66320435,66320223,-0.3757173,-0.6863858,0.3801175,-0.49317524,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
66819250,66819040,-0.37530395,-0.6849074,0.3826107,-0.49361727,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
67318089,67317857,-0.37470362,-0.6838312,0.38498673,-0.49371785,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
67821876,67821663,-0.35706282,-0.69175017,0.3956878,-0.48725677,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
68315733,68315492,-0.30361646,-0.70817965,0.35021994,-0.532583,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
68819523,68819297,-0.24246435,-0.8102256,0.27157152,-0.4593414,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
69318340,69318115,-0.28343278,-0.8388875,0.37610164,-0.27291274,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
69817145,69816933,-0.23050776,-0.87990046,0.4130467,0.04509791,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
70320944,70320740,-0.06230572,-0.8091984,0.54996794,0.19710737,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
70819769,70819558,0.046444073,-0.73721135,0.61252654,0.2813781,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
71318586,71318377,0.1275659,-0.66348594,0.68167996,0.28075942,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
71817402,71817196,0.24623524,-0.58392364,0.72232294,0.27685934,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
72316254,72316015,0.29359078,-0.55969125,0.721643,0.2824563,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
72820037,72819822,0.31521043,-0.54107356,0.69500583,0.35333946,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
73318864,73318642,0.27228582,-0.5287688,0.7150367,0.36740524,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
73817687,73817461,0.2579702,-0.45899126,0.72499985,0.44401994,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
74321479,74321269,-0.2619993,-0.23250106,0.9237287,0.15500017,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
74820359,74820089,-0.042794045,-0.31051236,0.94655037,0.076112814,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
75319135,75318909,-0.01910089,-0.32519954,0.9414863,0.08651056,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
75817942,75817729,-0.074319646,-0.31496876,0.9417416,0.09162004,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
76316763,76316550,0.10496179,-0.46304864,0.8717334,0.12103706,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
76820579,76820358,0.103501804,-0.53284955,0.7619058,0.35335308,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
77319395,77319179,0.1065453,-0.5713531,0.6413191,0.5009128,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
77818210,77818000,0.22665016,-0.6006226,0.5003468,0.5809779,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
78322053,78321809,0.2587606,-0.63128257,0.4159046,0.6012892,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
78815855,78815642,0.27090028,-0.67884624,0.39474446,0.5567385,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
79314690,79314463,0.24573822,-0.70726573,0.35488543,0.55986094,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
79818475,79818273,0.17846324,-0.7088112,0.35237628,0.5844387,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
80317351,80317095,0.18294951,-0.7061658,0.35605094,0.58402663,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
80821117,80820905,0.20696744,-0.6986965,0.35445622,0.58595955,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
81319943,81319727,0.18123473,-0.73358023,0.35719842,0.5490204,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
81818779,81818549,0.09828775,-0.7122623,0.37483808,0.58525085,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
82317593,82317372,0.032974355,-0.6623919,0.49989244,0.55700743,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
82816449,82816194,0.00085569423,-0.65692663,0.55497915,0.5103381,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
83315241,83315017,-0.041599795,-0.6027262,0.5553364,0.5714823,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
83819050,83818828,-0.07153085,-0.4927974,0.5558906,0.66559726,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
84317926,84317651,-0.1152401,-0.33243743,0.5302893,0.77136135,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
84821771,84821463,-0.2736226,-0.15997809,0.57470065,0.7544911,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
85320539,85320286,-0.35827553,-0.0452583,0.6446409,0.67381644,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
85814372,85814121,-0.39492413,-0.02729538,0.5766769,0.71465635,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
86318147,86317934,-0.3892526,-0.051059466,0.59705174,0.6995746,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
86816968,86816757,-0.35293722,-0.12047158,0.67516005,0.63645965,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
87315810,87315581,-0.3359399,-0.15358402,0.7219978,0.58504325,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
87819610,87819394,-0.4001053,-0.08868719,0.6413745,0.6486055,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
88318460,88318218,-0.46369082,0.010598851,0.5444234,0.6989147,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
88817255,88817043,-0.47842693,0.035295755,0.5226285,0.7047847,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
89316105,89315867,-0.52616256,0.04933454,0.40395856,0.7466837,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
89814929,89814692,-0.5442928,0.083522744,0.30073804,0.77866936,0.8860001,-7.718348e-09,-2.1502542e-08,0.46368507,2
90318771,90318506,0.6428688,-0.04512427,-0.3030481,-0.7020295,-0.9865634,2.8899148e-08,3.852058e-08,-0.16337936,3
90817548,90817331,0.6406594,-0.070828706,-0.28743005,-0.70846516,-0.9865634,2.8899148e-08,3.852058e-08,-0.16337936,3
91316414,91316158,0.6348626,-0.07166492,-0.29367757,-0.71103245,-0.9865634,2.8899148e-08,3.852058e-08,-0.16337936,3
91820176,91819970,0.63897336,-0.066358194,-0.28266418,-0.71232766,-0.9865634,2.8899148e-08,3.852058e-08,-0.16337936,3
92319024,92318796,0.5675859,-0.057577908,-0.5040778,-0.64841086,-0.9865634,2.8899148e-08,3.852058e-08,-0.16337936,3
92817842,92817621,-0.27866834,0.37697235,0.6300408,0.6190996,-0.96756685,3.185939e-09,4.197742e-08,0.25261527,4
