timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
44559110,44539619,4028193,175.14351,99238.92,4.518808,1.2448635,2,1
44731907,44712394,4028193,175.75917,99231.67,4.518808,1.2447727,2,1
44969476,44944582,4028193,175.90715,99229.92,4.518808,1.2447506,2,1
45142290,45117377,4028193,175.54514,99234.17,4.518808,1.244804,2,1
45369165,45346937,4028193,175.33374,99236.67,4.518808,1.2448353,2,1
45541956,45519767,4028193,175.48174,99234.92,4.518808,1.2448134,2,1
45768716,45749212,4028193,175.69312,99232.42,4.518808,1.244782,2,1
45941482,45921988,4028193,175.75917,99231.67,4.616512,1.2443347,2,1
46179083,46154176,4028193,175.79881,99231.17,4.616512,1.2443285,2,1
46351985,46327073,4028193,175.31262,99236.92,4.616512,1.2444006,2,1
46578821,46556613,4028193,175.33374,99236.67,4.518808,1.2448353,2,1
46751656,46729454,4028193,175.60855,99233.42,4.616512,1.2443568,2,1
46978544,46959046,4028193,175.82259,99230.92,4.616512,1.2443253,2,1
47151283,47131789,4028193,175.48174,99234.92,4.616512,1.2443755,2,1
47324070,47304563,4028193,175.6297,99233.17,4.616512,1.2443535,2,1
47561723,47536788,4028193,176.03397,99228.42,4.616512,1.244294,2,1
47734541,47709611,4028193,176.07626,99227.92,4.616512,1.2442877,2,1
47961296,47939092,4028193,175.7803,99231.42,4.616512,1.2443316,2,1
48134116,48111911,4028193,175.41832,99235.67,4.616512,1.2443849,2,1
48360877,48341380,4028193,175.46059,99235.17,4.616512,1.2443786,2,1
48533702,48514189,4028193,175.84372,99230.67,4.616512,1.2443222,2,1
48771286,48746399,4028193,175.97057,99229.17,4.616512,1.2443033,2,1
48944117,48919215,4028193,175.37604,99236.17,4.616512,1.2443911,2,1
49170867,49148676,4028193,175.14351,99238.92,4.616512,1.2444257,2,1
49343688,49321486,4028193,175.41832,99235.67,4.616512,1.2443849,2,1
49570492,49550977,4028193,175.60855,99233.42,4.616512,1.2443568,2,1
49743274,49723760,4028193,175.41832,99235.67,4.616512,1.2443849,2,1
49980889,49955971,4028193,175.12236,99239.17,4.616512,1.2444288,2,1
50153720,50128812,4028193,175.10123,99239.42,4.616512,1.2444319,2,1
50380488,50358282,4028193,175.37604,99236.17,4.616512,1.2443911,2,1
50553275,50531062,4028193,175.7354,99231.92,4.616512,1.2443378,2,1
50780069,50760561,4028193,175.67197,99232.67,4.616512,1.2443473,2,1
50952949,50933411,4028193,175.14351,99238.92,4.616512,1.2444257,2,1
51125695,51106203,4028193,175.6297,99233.17,4.616512,1.2443535,2,1
51363289,51338397,4028193,175.71689,99232.17,4.616512,1.244341,2,1
51536135,51511199,4028193,175.79881,99231.17,4.616512,1.2443285,2,1
51762993,51740781,4028193,175.6297,99233.17,4.616512,1.2443535,2,1
51935734,51913543,4028193,175.16466,99238.67,4.616512,1.2444226,2,1
52162458,52142967,4028193,175.41832,99235.67,4.616512,1.2443849,2,1
52335278,52315783,4028193,175.60855,99233.42,4.616512,1.2443568,2,1
52572888,52547985,4028193,175.69312,99232.42,4.616512,1.2443441,2,1
52745736,52720814,4028193,174.9744,99240.92,4.7142158,1.2440133,2,1
52972543,52950353,4028193,174.82643,99242.67,4.7142158,1.2440351,2,1
53145280,53123091,4028193,175.48174,99234.92,4.7142158,1.2439381,2,1
53372114,53352599,4028193,175.60855,99233.42,4.7142158,1.2439193,2,1
53544880,53525375,4028193,175.16466,99238.67,4.7142158,1.243985,2,1
53717734,53698232,4028193,174.93213,99241.42,4.7142158,1.2440195,2,1
53955382,53930431,4028193,174.84758,99242.42,4.7142158,1.244032,2,1
54182342,54160127,4028193,174.91098,99241.67,4.7142158,1.2440226,2,1
54355141,54332936,4028193,174.88985,99241.92,4.7142158,1.2440258,2,1
54527913,54505715,4028193,174.3825,99247.92,4.7142158,1.2441009,2,1
54754725,54735220,4028193,174.40366,99247.67,4.7142158,1.2440978,2,1
54927524,54908022,4028193,174.95326,99241.17,4.7142158,1.2440163,2,1
55165170,55140244,4028193,174.99554,99240.67,4.7142158,1.2440101,2,1
55337931,55313023,4028193,174.76302,99243.42,4.7142158,1.2440445,2,1
55564840,55542631,4028193,174.65732,99244.67,4.7142158,1.2440603,2,1
55737816,55715571,4028193,174.95326,99241.17,4.7142158,1.2440163,2,1
55964606,55945080,4028193,175.22806,99237.92,4.7142158,1.2439756,2,1
56137344,56117849,4028193,175.43944,99235.42,4.7142158,1.2439443,2,1
56374910,56350002,4028193,175.31262,99236.92,4.7142158,1.2439631,2,1
56547723,56522797,4028193,174.46707,99246.92,4.7142158,1.2440884,2,1
56774477,56752285,4028193,174.17113,99250.42,4.7142158,1.2441323,2,1
56947291,56925103,4028193,174.61505,99245.17,4.7142158,1.2440666,2,1
57174071,57154562,4028193,175.27034,99237.42,4.8119197,1.2435321,2,1
57346912,57327371,4028193,175.16466,99238.67,4.7142158,1.243985,2,1
57519676,57500170,4028193,174.69958,99244.17,4.7142158,1.244054,2,1
57757290,57732389,4028193,174.80528,99242.92,4.8119197,1.243601,2,1
57930080,57905165,4028193,174.61505,99245.17,4.8119197,1.2436292,2,1
58156879,58134691,4028193,174.46707,99246.92,4.8119197,1.243651,2,1
58329699,58307490,4028193,174.67847,99244.42,4.7142158,1.244057,2,1
58556486,58536988,4028193,174.50935,99246.42,4.8119197,1.2436448,2,1
58729277,58709769,4028193,174.95326,99241.17,4.8119197,1.243579,2,1
58966871,58941974,4028193,174.5305,99246.17,4.8119197,1.2436417,2,1
59139702,59114792,4028193,174.5939,99245.42,4.8119197,1.2436323,2,1
59366612,59344407,4028193,174.61505,99245.17,4.8119197,1.2436292,2,1
59539541,59517301,4028193,174.55162,99245.92,4.8119197,1.2436385,2,1
59766277,59746779,4028193,174.44594,99247.17,4.8119197,1.2436543,2,1
59939074,59919565,4028193,174.57277,99245.67,4.8119197,1.2436354,2,1
60176669,60151774,4028193,174.65732,99244.67,4.8119197,1.2436229,2,1
60349554,60324587,4028193,174.5305,99246.17,4.8119197,1.2436417,2,1
60576300,60554107,4028193,174.78415,99243.17,4.8119197,1.2436041,2,1
60749111,60726900,4028193,174.67847,99244.42,4.8119197,1.2436198,2,1
60975892,60956399,4028193,174.55162,99245.92,4.8119197,1.2436385,2,1
61148739,61129228,4028193,174.44594,99247.17,4.8119197,1.2436543,2,1
61321463,61301965,4028193,174.61505,99245.17,4.8119197,1.2436292,2,1
61559185,61534206,4028193,174.57277,99245.67,4.8119197,1.2436354,2,1
61731950,61707048,4028193,174.63618,99244.92,4.8119197,1.243626,2,1
61958737,61936536,4028193,174.46707,99246.92,4.8119197,1.243651,2,1
62131464,62109266,4028193,174.4882,99246.67,4.8119197,1.2436479,2,1
62358276,62338763,4028193,174.69958,99244.17,4.8119197,1.2436166,2,1
62531071,62511577,4028193,174.50935,99246.42,4.8119197,1.2436448,2,1
62768760,62743825,4028193,174.57277,99245.67,4.8119197,1.2436354,2,1
62941571,62916684,4028193,174.46707,99246.92,4.8119197,1.243651,2,1
63168407,63146196,4028193,174.50935,99246.42,4.8119197,1.2436448,2,1
63341329,63319082,4028193,174.65732,99244.67,4.9096236,1.2431859,2,1
63568139,63548632,4028193,174.40366,99247.67,4.8119197,1.2436604,2,1
63740935,63721444,4028193,174.50935,99246.42,4.9096236,1.2432077,2,1
63978519,63953624,4028193,174.63618,99244.92,4.8119197,1.243626,2,1
64151330,64126427,4028193,174.61505,99245.17,4.9096236,1.2431922,2,1
64378207,64356002,4028193,174.63618,99244.92,4.9096236,1.243189,2,1
64551019,64528806,4028193,174.67847,99244.42,4.8119197,1.2436198,2,1
64777955,64758439,4028193,174.34024,99248.42,4.9096236,1.2432328,2,1
64950768,64931276,4028193,174.65732,99244.67,4.9096236,1.2431859,2,1
65123504,65103996,4028193,174.63618,99244.92,4.9096236,1.243189,2,1
65361066,65336176,4028193,174.65732,99244.67,4.9096236,1.2431859,2,1
65533896,65508981,4028193,174.57277,99245.67,4.9096236,1.2431984,2,1
65760656,65738463,4028193,174.5939,99245.42,4.9096236,1.2431952,2,1
65933523,65911334,4028193,174.61505,99245.17,4.9096236,1.2431922,2,1
66160523,66141000,4028193,174.3825,99247.92,4.9096236,1.2432265,2,1
66333288,66313779,4028193,174.57277,99245.67,4.9096236,1.2431984,2,1
66570869,66545964,4028193,174.5939,99245.42,4.9096236,1.2431952,2,1
66743698,66718790,4028193,174.36139,99248.17,4.9096236,1.2432296,2,1
66970489,66948285,4028193,174.4882,99246.67,4.9096236,1.2432109,2,1
67143364,67121128,4028193,174.44594,99247.17,4.9096236,1.2432171,2,1
67370122,67350616,4028193,174.36139,99248.17,4.9096236,1.2432296,2,1
