timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
30593896,30592955,396321,-0.28030303,0.18939394,-0.046212118,nan,0
31609430,31608489,396321,-0.29090908,0.12954545,-0.06287879,nan,0
32603095,32602154,396321,-0.30378786,0.04242424,-0.045454543,nan,0
33596715,33595773,396321,-0.30075756,0.086363636,-0.074999996,nan,0
34612044,34611102,396321,-0.30303028,0.012121212,-0.06969697,nan,0
35605872,35604931,396321,-0.40833333,-0.07954545,0.018939393,nan,0
36599527,36598585,396321,-0.5174242,0.11363636,0.25378788,nan,0
37614623,37613681,396321,-0.3590909,0.3181818,0.05530303,nan,0
38608279,38607338,396321,0.01590909,0.49393937,-0.10681818,nan,0
39602075,39601133,396321,0.02121212,0.4962121,-0.11363636,nan,0
40595882,40594940,396321,0.11818182,0.4583333,-0.15530303,nan,0
41611067,41610125,396321,0.20378788,0.19848484,-0.15378788,nan,0
42605068,42604126,396321,0.21969697,0.098484844,-0.28560606,nan,0
43598725,43597783,396321,-0.03181818,0.00075757573,-0.24393938,nan,0
44614239,44613298,396321,-0.36666664,-0.056060605,-0.028030302,nan,0
45607871,45606930,396321,-0.41969696,0.21439393,0.049999997,nan,0
46601538,46600596,396321,-0.20454545,0.49469694,0.07424242,nan,0
47595289,47594347,396321,0.11363636,0.5560606,-0.0075757573,nan,0
48610406,48609464,396321,0.31666666,0.33787876,-0.21818182,nan,0
49604023,49603081,396321,0.10454545,-0.045454543,-0.29166666,nan,0
50597614,50596673,396321,-0.34166667,-0.27348483,-0.15681818,nan,0
51612884,51611942,396321,-0.5462121,-0.052272726,0.041666664,nan,0
52606414,52605473,396321,-0.35151514,0.28484848,0.20530303,nan,0
53600039,53599097,396321,0.028787877,0.5219697,0.07575757,nan,0
54593837,54592895,396321,0.30303028,0.44772726,-0.14545454,nan,0
55609239,55608298,396321,0.21590908,0.2530303,-0.30378786,nan,0
56602878,56601937,396321,-0.06212121,0.16969696,-0.26666665,nan,0
57596419,57595474,396321,0.46363634,0.39469695,-0.074999996,nan,0
58611655,58610714,396321,0.58787876,0.29393938,0.10227273,nan,0
59605458,59604516,396321,0.5863636,0.29166666,0.098484844,nan,0
60599036,60598094,396321,0.58560604,0.2931818,0.10227273,nan,0
61614288,61613346,396321,0.5863636,0.29469696,0.10075757,nan,0
62607849,62606907,396321,0.58787876,0.29393938,0.1060606,nan,0
63601698,63600740,396321,0.5840909,0.29393938,0.1060606,nan,0
64595358,64594416,396321,0.5871212,0.29469696,0.10227273,nan,0
65610650,65609708,396321,0.58560604,0.2931818,0.10378788,nan,0
66604452,66603510,396321,0.58560604,0.29393938,0.10530303,nan,0
67598003,67597062,396321,0.5871212,0.29848483,0.10909091,nan,0
68613254,68612313,396321,0.59772724,0.24848484,0.096969694,nan,0
69606847,69605906,396321,0.4522727,0.070454545,0.5462121,nan,0
70600533,70599591,396321,-0.01590909,0.17348485,0.7674242,nan,0
71594040,71593098,396321,-0.225,0.2840909,0.70984846,nan,0
72609688,72608746,396321,-0.32878786,0.31969696,0.60378784,nan,0
73603428,73602487,396321,-0.36136362,0.2340909,0.60681814,nan,0
74597086,74596145,396321,-0.074999996,0.17878787,0.75151515,nan,0
75612236,75611294,396321,-0.14621212,0.22272727,0.74090904,nan,0
76605837,76604877,396321,-0.25757575,0.26363635,0.69469696,nan,0
77599412,77598470,396321,-0.36969694,0.19469696,0.605303,nan,0
78593080,78592138,396321,-0.3590909,0.3189394,0.5446969,nan,0
79608280,79607338,396321,-0.3219697,0.2840909,0.6212121,nan,0
80601844,80600903,396321,-0.3393939,0.2712121,0.60909086,nan,0
81595676,81594734,396321,-0.30303028,0.23181817,0.6651515,nan,0
82610923,82609981,396321,-0.2810606,0.095454544,0.7121212,nan,0
83604481,83603540,396321,-0.29242423,-0.049999997,0.6560606,nan,0
84598070,84597128,396321,-0.2090909,-0.27045453,0.34924242,nan,0
85613372,85612430,396321,0.070454545,-0.36287877,0.29696968,nan,0
86606992,86606051,396321,0.03333333,-0.3530303,0.38257575,nan,0
87600630,87599689,396321,0.014393939,-0.33181816,0.46287876,nan,0
88594323,88593381,396321,0.17651515,-0.34924242,0.18712121,nan,0
89609543,89608601,396321,0.18712121,-0.27045453,-0.034848485,nan,0
90603228,90602286,396321,0.19545454,-0.25757575,-0.059848484,nan,0
91597047,91596105,396321,0.21363635,-0.24621211,-0.07727273,nan,0
92612482,92611540,396321,0.20833333,-0.35,0.25757575,nan,0
