timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,calibraded_airspeed_synth_m_s,airspeed_derivative_filtered,throttle_filtered,pitch_filtered,airspeed_source
101105492,-2.3966405,-2.45397,-2.4383929,nan,7.0,0.0,0.014423041,0.0,1
101305492,-2.78351,-2.8500936,-2.8324912,nan,7.0,0.0,0.014423041,0.0,1
101505554,-2.5695834,-2.6310499,-2.614807,nan,7.0,0.0,0.014423041,0.0,1
101705492,-2.8091052,-2.876301,-2.8585331,nan,7.0,0.0,0.014423041,0.0,1
101905491,-2.9821286,-3.0534635,-3.0340848,nan,7.0,0.0,0.014423041,0.0,1
102105491,-2.884529,-2.9535294,-2.935292,nan,7.0,0.0,0.014423041,0.0,1
102305491,-2.9821286,-3.0534635,-3.03462,nan,7.0,0.0,0.014423041,0.0,1
102505492,-2.5695834,-2.6310499,-2.614797,nan,7.0,0.0,0.014423041,0.0,1
102705491,-2.569584,-2.6310503,-2.6148074,nan,7.0,0.0,0.014423041,0.0,1
102905492,-2.5695834,-2.6310499,-2.6147647,nan,7.0,0.0,0.014423041,0.0,1
103105491,-2.2102063,-2.263076,-2.2490993,nan,7.0,0.0,0.014423041,0.0,1
103305491,-2.2102063,-2.263076,-2.2490964,nan,7.0,0.0,0.014423041,0.0,1
103505550,-2.5695834,-2.6310499,-2.6148167,nan,7.0,0.0,0.014423041,0.0,1
103705536,-2.5695834,-2.6310499,-2.6148264,nan,7.0,0.0,0.014423041,0.0,1
103905492,-2.2102063,-2.263076,-2.2490938,nan,7.0,0.0,0.014423041,0.0,1
104105491,-2.076639,-2.1263137,-2.1131735,nan,7.0,0.0,0.014423041,0.0,1
104305492,-2.2102063,-2.263076,-2.2487078,nan,7.0,0.0,0.014423041,0.0,1
104505520,-2.1310706,-2.1820474,-2.168579,nan,7.0,0.0,0.014423041,0.0,1
104705491,-2.5695834,-2.6310499,-2.614794,nan,7.0,0.0,0.014423041,0.0,1
104905491,-2.7315993,-2.7969413,-2.7796707,nan,7.0,0.0,0.014423041,0.0,1
105105491,-2.731599,-2.796941,-2.7796636,nan,7.0,0.0,0.014423041,0.0,1
105305492,-3.168321,-3.2441096,-3.224074,nan,7.0,0.0,0.014423041,0.0,1
105505492,-2.7315993,-2.7969413,-2.7796566,nan,7.0,0.0,0.014423041,0.0,1
105705491,-2.5695834,-2.6310499,-2.6148229,nan,7.0,0.0,0.014423041,0.0,1
105905491,-2.5695834,-2.6310499,-2.61481,nan,7.0,0.0,0.014423041,0.0,1
106105491,-2.2866046,-2.341302,-2.326833,nan,7.0,0.0,0.014423041,0.0,1
106305491,-2.3966405,-2.45397,-2.4388323,nan,7.0,0.0,0.014423041,0.0,1
106505502,-2.3361497,-2.3920321,-2.3772793,nan,7.0,0.0,0.014423041,0.0,1
106705491,-2.78351,-2.8500936,-2.8324633,nan,7.0,0.0,0.014423041,0.0,1
106905492,-2.8243508,-2.8919115,-2.874044,nan,7.0,0.0,0.014423041,0.0,1
107105492,-3.0297496,-3.1022236,-3.0830681,nan,7.0,0.0,0.014423041,0.0,1
107305492,-2.78351,-2.8500936,-2.832502,nan,7.0,0.0,0.014423041,0.0,1
