timestamp,action,source,mode
34537147,1,1,0
35195447,5,3,15
38339007,5,3,0
38758016,5,3,15
84475096,0,1,0
120726413,5,3,0
144973741,1,1,0
145860630,5,3,15
150189739,5,3,0
150567068,5,3,15
190233538,0,1,0
192167993,5,3,0
