timestamp,time_estimate,safe_time_estimate,valid
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
78914696,124.45561,236.90117,1
80935397,125.461235,238.00735,1
82955417,128.38943,241.22838,1
84975864,130.01611,243.01773,1
87006141,128.44543,241.28998,1
89036431,0.0,0.0,0
91046821,0.0,0.0,0
93077306,0.0,0.0,0
95097372,0.0,0.0,0
97127663,0.0,0.0,0
99158386,0.0,0.0,0
101178462,0.0,0.0,0
103208680,0.0,0.0,0
105219108,0.0,0.0,0
107249692,0.0,0.0,0
109269957,0.0,0.0,0
111270525,0.0,0.0,0
113271171,125.04845,237.5533,1
115271893,126.11234,238.72359,1
117302239,0.0,0.0,0
119322618,124.94512,237.43964,1
121353293,125.01226,237.51349,1
123383364,0.0,0.0,0
125403552,0.0,0.0,0
127433851,124.806564,237.28722,1
129454346,124.65444,237.11989,1
131474716,124.657135,237.12285,1
133505181,124.629395,237.09233,1
135525445,124.6677,237.13448,1
137545793,124.40861,236.84947,1
139576526,124.5039,236.95428,1
141596522,124.52545,236.978,1
143626794,124.721985,237.19418,1
145647167,0.0,0.0,0
147647930,0.0,0.0,0
149668588,0.0,0.0,0
151698678,0.0,0.0,0
153719117,0.0,0.0,0
155749404,0.0,0.0,0
157770193,0.0,0.0,0
159800187,0.0,0.0,0
161800892,0.0,0.0,0
163831316,0.0,0.0,0
165851929,125.28767,237.81644,1
167872168,124.57364,237.031,1
169902483,124.183624,236.60199,1
171923141,124.49293,236.94223,1
173943345,123.539085,235.89299,1
175973781,123.29984,235.62984,1
177994320,122.627716,234.89049,1
180024225,121.86429,234.05072,1
182044582,122.66981,234.9368,1
184074866,119.7984,231.77824,1
186095465,124.23749,236.66124,1
188115752,125.85506,238.44057,1
190145780,125.426254,237.96889,1
192166206,124.348946,236.78384,1
194167051,123.49167,235.84084,1
196197201,122.71532,234.98685,1
198227264,122.08171,234.28989,1
200247728,121.62647,233.78912,1
202277901,121.43297,233.57626,1
204288819,121.39847,233.53831,1
206328675,121.453415,233.59875,1
208339145,121.6632,233.82953,1
210369422,121.95989,234.15588,1
212400023,122.22543,234.44798,1
214410394,122.46114,234.70726,1
216440552,122.64383,234.90822,1
218461161,122.87445,235.1619,1
220491288,123.11529,235.42682,1
222521550,123.321304,235.65344,1
224542109,123.4451,235.78961,1
226572317,123.481674,235.82985,1
228583112,123.48671,235.83539,1
230613209,123.51493,235.86642,1
232643563,123.55524,235.91077,1
234654632,123.594284,235.95372,1
236684337,123.641014,236.00511,1
238704845,123.71355,236.0849,1
240735128,123.796,236.1756,1
242765556,123.90125,236.29138,1
244776112,123.02721,235.32993,1
246806432,122.80622,235.08685,1
248836982,122.6548,234.92029,1
250847336,123.025795,235.32838,1
252877943,123.02635,235.329,1
254908097,122.75108,235.0262,1
256928689,123.29646,235.62611,1
258958817,123.35243,235.68768,1
260969468,124.35982,236.7958,1
262999924,124.657486,237.12323,1
265030256,125.273705,237.80107,1
267040947,125.94667,238.54134,1
269071122,126.414314,239.05576,1
271101769,126.9074,239.59814,1
273112129,127.305756,240.03633,1
275142431,128.10107,240.91118,1
277162910,128.96417,241.8606,1
279193314,129.66086,242.62695,1
281223706,130.07668,243.08435,1
