timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
34540911,0.002728748,0,0,0,0,0,0,0,0,0
35049676,0.0020002222,0,0,0,0,0,0,0,0,0
35214802,0.0012014358,0,0,0,0,0,0,0,0,0
35720665,0.0011017924,0,0,0,0,0,0,0,0,0
36226779,0.0020933156,0,0,0,0,0,0,0,0,0
36733665,0.0034984495,0,0,0,0,0,0,0,0,0
37240647,0.005038023,0,0,0,0,0,0,0,0,0
37747647,0.002159166,0,0,0,0,0,0,0,0,0
38253647,0.0017949364,0,0,0,0,0,0,0,0,0
38352814,0.005975546,0,0,0,0,0,0,0,0,0
38770779,0.014477851,0,0,0,0,0,0,0,0,0
39277647,0.015780158,0,0,0,0,0,0,0,0,0
39783646,0.0075371987,0,0,0,0,0,0,0,0,0
40289647,0.0076262844,0,0,0,0,0,0,0,0,0
40795685,0.007547488,0,0,0,0,0,0,0,0,0
41302674,0.007906094,0,0,0,0,0,0,0,0,0
41809136,0.008520705,0,0,0,0,0,0,0,0,0
42314645,0.010567141,0,0,0,0,0,0,0,0,0
42820785,0.011847542,0,0,0,0,0,0,0,0,0
43327646,0.018905934,0,0,0,0,0,0,0,0,0
43833656,0.017468935,0,0,0,0,0,0,0,0,0
44340155,0.017934235,0,0,0,0,0,0,0,0,0
44845656,0.017599449,0,0,0,0,0,0,0,0,0
45351782,0.017188162,0,0,0,0,0,0,0,0,0
45857645,0.015598417,0,0,0,0,0,0,0,0,0
46363646,0.015471493,0,0,0,0,0,0,0,0,0
46870646,0.012894948,0,0,0,0,0,0,0,0,0
47376647,0.01181698,0,0,0,0,0,0,0,0,0
47883646,0.009109961,0,0,0,0,0,0,0,0,0
48389647,0.007610435,0,0,0,0,0,0,0,0,0
48895671,-0.0005077386,0,0,0,0,0,0,0,0,0
49401745,0.0038242799,0,0,0,0,0,0,0,0,0
