timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
34594476,0.073919155,-0.009494813,0.029171268,4990,0,-4.19816,-2.5086763,-8.303195,4899,0,0,2,1
34599465,0.074048266,-0.010138915,0.032178998,4989,0,-4.22966,-2.548068,-8.34745,4899,0,0,2,1
34604455,0.07405752,-0.010316719,0.020726541,4990,0,-4.214858,-2.534055,-8.325138,4899,0,0,2,1
34609445,0.0742649,-0.009008861,0.037152607,4990,0,-4.215076,-2.5162458,-8.303106,4900,0,0,2,1
34614434,0.077836104,-0.00775789,0.031656645,4989,0,-4.2093587,-2.554414,-8.311176,4899,0,0,2,1
34619424,0.07353881,-0.008083535,0.029918475,4990,0,-4.209566,-2.5006557,-8.290375,4900,0,0,2,1
34624414,0.07354597,-0.009013958,0.0292043,4990,0,-4.2116055,-2.473582,-8.274341,4899,0,0,2,1
34629403,0.074044205,0.0009267257,0.03782192,4989,0,-4.2057776,-2.5405111,-8.292743,4899,0,0,2,1
34634393,0.07976124,-0.012742303,0.030886676,4990,0,-4.221429,-2.5538404,-8.294336,7351,0,0,2,1
34639383,0.06928444,-0.00464175,0.029225046,4990,0,-4.2112875,-2.527734,-8.306451,4899,0,0,2,1
34644373,0.07078394,-0.006940998,0.03368906,4990,0,-4.2224593,-2.5299413,-8.315925,4898,0,0,2,1
34649362,0.0709507,-0.00371252,0.033047155,4989,0,-4.207271,-2.5001805,-8.331878,4899,0,0,2,1
34654352,0.065693565,0.0006364366,0.026130192,4990,0,-4.235257,-2.5254884,-8.352047,4899,0,0,2,1
34659342,0.06692239,0.00162484,0.036341716,4990,0,-4.2091165,-2.574172,-8.335031,4899,0,0,2,1
34664331,0.060437158,0.0021137125,0.034980983,4989,0,-4.205217,-2.6049762,-8.349028,4899,0,0,2,1
