timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
35228654,35227713,396321,0.46666664,-0.21439393,0.09015151,nan,0
36243837,36242896,396321,0.47878787,-0.20378788,0.028787877,nan,0
37237580,37236639,396321,0.48257574,-0.2060606,0.0530303,nan,0
38231328,38230386,396321,0.4643939,-0.1719697,-0.01060606,nan,0
39224887,39223946,396321,0.21060605,-0.16666666,-0.18712121,nan,0
40240082,40239141,396321,0.12727273,-0.17045455,-0.19015151,nan,0
41233844,41232903,396321,0.08257575,-0.2151515,-0.14166667,nan,0
42227470,42226529,396321,0.12424242,-0.18484847,-0.14999999,nan,0
43242646,43241705,396321,0.08863636,-0.21363635,-0.14545454,nan,0
44236257,44235316,396321,0.15378788,-0.14999999,-0.20984848,nan,0
45229887,45228946,396321,0.21287878,-0.19242424,-0.13939394,nan,0
46223441,46222500,396321,0.23939393,-0.24545453,-0.11060606,nan,0
47238682,47237740,396321,0.25530303,-0.27575758,-0.073484845,nan,0
48232440,48231496,396321,0.26287878,-0.26363635,-0.073484845,nan,0
49226181,49225240,396321,0.09166666,-0.21439393,-0.13257575,nan,0
50241455,50240514,396321,0.10909091,-0.24015151,-0.12424242,nan,0
51235280,51234339,396321,0.06212121,-0.26363635,-0.07575757,nan,0
52228877,52227936,396321,0.10151515,-0.25757575,-0.06666666,nan,0
53222466,53221525,396321,0.13560605,-0.23712121,-0.1310606,nan,0
54237635,54236694,396321,0.18560605,-0.14393939,-0.21666665,nan,0
55231234,55230294,396321,0.18712121,-0.15075757,-0.18484847,nan,0
56224817,56223876,396321,0.37878788,-0.115909085,-0.18030302,nan,0
57240059,57239118,396321,0.42878786,-0.1060606,-0.15530303,nan,0
58233623,58232674,396321,0.48939392,-0.15681818,-0.054545455,nan,0
59227238,59226297,396321,0.455303,-0.17045455,-0.017424243,nan,0
60242439,60241498,396321,0.44772726,-0.20454545,-0.03560606,nan,0
61236025,61235084,396321,0.45378786,-0.19318181,-0.045454543,nan,0
62229634,62228692,396321,0.4583333,-0.18863636,0.006818182,nan,0
63223240,63222299,396321,0.46969697,-0.1840909,-0.01590909,nan,0
64238467,64237526,396321,0.44848484,-0.2030303,-0.03333333,nan,0
65232053,65231112,396321,0.46590906,-0.1840909,-0.02121212,nan,0
66225649,66224687,396321,0.4613636,-0.18030302,-0.011363636,nan,0
