timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
36376475,0,0,85,1,0
38412308,0,0,85,1,0
40448086,0,0,85,1,0
42474067,0,0,85,1,0
44490172,0,0,85,1,0
46515689,0,0,85,1,0
48541632,0,0,85,1,0
50567315,0,0,85,1,0
52593600,0,0,85,1,0
54619032,0,0,85,1,0
56644875,0,0,85,1,0
58670733,0,0,85,1,0
60686890,0,0,85,1,0
62712910,0,0,85,1,0
64738343,0,0,85,1,0
66764212,0,0,85,1,0
68790234,0,0,85,1,0
70816143,0,0,85,1,0
72833820,0,0,85,1,0
74864069,0,0,85,1,0
76884532,0,0,85,1,0
78914669,0,0,85,1,0
80935386,0,0,85,1,0
82955405,0,0,85,1,0
84975853,0,0,85,1,0
87006096,0,0,85,1,0
89036427,0,0,85,1,0
91046817,0,0,85,1,0
93077301,0,0,85,1,0
95097368,0,0,85,1,0
97127658,0,0,85,1,0
99158382,0,0,85,1,0
101178458,0,0,85,1,0
103208676,0,0,85,1,0
105219104,0,0,85,1,0
107249688,0,0,85,1,0
109269953,0,0,85,1,0
111270521,0,0,85,1,0
113271160,0,0,85,1,0
115271882,0,0,85,1,0
117302235,0,0,85,1,0
119322607,0,0,85,1,0
121353282,0,0,85,1,0
123383360,0,0,85,1,0
125403547,0,0,85,1,0
127433839,0,0,85,1,0
129454334,0,0,85,1,0
131474704,0,0,85,1,0
133505170,0,0,85,1,0
135525433,0,0,85,1,0
137545782,0,0,85,1,0
139576514,0,0,85,1,0
141596510,0,0,85,1,0
143626783,0,0,85,1,0
145647162,0,0,85,1,0
147647925,0,0,85,1,0
149668584,0,0,85,1,0
151698673,0,0,85,1,0
153719113,0,0,85,1,0
155749400,0,0,85,1,0
157770189,0,0,85,1,0
159800183,0,0,85,1,0
161800888,0,0,85,1,0
163831312,0,0,85,1,0
165851917,0,0,85,1,0
167872156,0,0,85,1,0
169902470,0,0,85,1,0
171923129,0,0,85,1,0
173943333,0,0,85,1,0
175973769,0,0,85,1,0
177994309,0,0,85,1,0
180024213,0,0,85,1,0
182044570,0,0,85,1,0
184074854,0,0,85,1,0
186095453,0,0,85,1,0
188115740,0,0,85,1,0
190145768,0,0,85,1,0
192166195,0,0,85,1,0
194167039,0,0,85,1,0
196197189,0,0,85,1,0
198227252,0,0,85,1,0
200247717,0,0,85,1,0
202277889,0,0,85,1,0
204288807,0,0,85,1,0
206328661,0,0,85,1,0
208339133,0,0,85,1,0
210369411,0,0,85,1,0
212400011,0,0,85,1,0
214410383,0,0,85,1,0
216440541,0,0,85,1,0
218461149,0,0,85,1,0
220491277,0,0,85,1,0
222521539,0,0,85,1,0
224542096,0,0,85,1,0
226572305,0,0,85,1,0
228583100,0,0,85,1,0
230613198,0,0,85,1,0
232643552,0,0,85,1,0
234654617,0,0,85,1,0
236684326,0,0,85,1,0
238704834,0,0,85,1,0
240735117,0,0,85,1,0
242765545,0,0,85,1,0
244776099,0,0,85,1,0
246806421,0,0,85,1,0
248836970,0,0,85,1,0
250847324,0,0,85,1,0
252877931,0,0,85,1,0
254908084,0,0,85,1,0
256928677,0,0,85,1,0
258958805,0,0,85,1,0
260969457,0,0,85,1,0
262999911,0,0,85,1,0
265030245,0,0,85,1,0
267040935,0,0,85,1,0
269071110,0,0,85,1,0
271101757,0,0,85,1,0
273112118,0,0,85,1,0
275142420,0,0,85,1,0
277162898,0,0,85,1,0
279193302,0,0,85,1,0
281223694,0,0,85,1,0
