timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
34597056,34596970,0.06805736,-0.012362776,0.032394562,0.0055206874,0.6294789,0.04709093
34599557,34599465,0.06654907,-0.010399612,0.032410517,-0.21242851,0.6644972,0.022059156
34617010,34616929,0.069356084,-0.0066055167,0.0330588,0.11117457,0.20005156,0.30995387
34636969,34636888,0.06985337,-0.0067551406,0.03209464,0.08241443,-0.15673265,-0.1766562
34659425,34659342,0.059979785,0.0027857143,0.03285141,-0.3359168,0.6753056,0.059575867
34679383,34679300,0.051905185,0.0019282945,0.032646686,-0.59361213,-0.058240127,-0.07198228
34696847,34696764,0.03587383,0.004025084,0.03364515,-0.85739547,0.19968171,0.22900383
34719301,34719218,0.022997681,0.016614104,0.03229929,-0.20451745,1.0067405,-0.14415623
34739261,34739177,0.02180726,0.019141374,0.033891283,-0.25498876,0.32704225,-0.08538118
34756723,34756641,0.022459548,0.028899008,0.032080352,0.25583127,0.62262565,-0.31503758
34776869,34776600,0.02647569,0.021927783,0.036038503,0.24077262,-0.34198323,-0.015270951
34799135,34799053,0.00957037,0.022859307,0.033226583,-1.0346941,-0.14132372,-0.07471594
34819097,34819012,-0.003702633,0.015961993,0.02746369,-0.95733297,-0.6174961,0.010313009
34836559,34836476,-0.01045792,0.014068269,0.019548867,-0.41297016,-0.11995498,-0.32980013
34859014,34858930,-0.025391422,0.018506035,0.0077713598,-0.47981998,0.38638812,-0.196516
34878973,34878889,-0.025205564,0.008245544,-0.0028191842,-0.14150445,-0.7174769,-0.8114835
34896438,34896353,-0.009678841,0.0065039573,-0.013325329,0.90572757,-0.45410892,-0.7182682
34918888,34918807,0.01397701,0.0005481477,-0.025108429,1.2292149,-0.40739688,-0.982412
34938850,34938766,0.046267174,-0.009857022,-0.034416497,1.8477556,-0.6843982,-0.6335364
34958808,34958724,0.07038311,-0.026290873,-0.049395613,1.2543284,-0.6474696,-0.3492205
34976371,34976188,0.07637522,-0.038280863,-0.06895771,0.064697005,-0.42916644,-1.390803
34998727,34998642,0.044765417,-0.04796137,-0.082703955,-0.6250902,-0.48263898,-0.5280559
35018688,35018601,0.010719016,-0.052859157,-0.08884399,-1.6998864,-0.22611074,-0.3071298
35036147,35036065,-0.023351274,-0.047345687,-0.09010261,-1.8174196,0.5080337,0.10023119
35058600,35058519,-0.034280665,-0.05404187,-0.08554283,-0.52282304,0.2562491,0.54153126
35078558,35078477,-0.027114846,-0.05427224,-0.073760636,0.6210771,0.015762147,0.7628497
35101019,35100931,-0.01315047,-0.052744832,-0.05629598,0.18085697,0.11456278,0.88219154
35118475,35118395,-0.014387064,-0.041970674,-0.0387477,-0.4099357,0.7166569,0.71688724
35138436,35138354,-0.03636213,-0.02783896,-0.010049186,-0.96267045,0.8462649,1.4074028
35158396,35158313,-0.06815919,-0.0045340974,0.012748701,-1.395193,1.4285115,1.1673174
35175956,35175777,-0.09173153,0.009033107,0.030594306,-1.4321367,0.6082728,1.1848133
35198312,35198231,-0.13147213,0.025235662,0.048230074,-2.0079234,0.9148541,0.8850111
35218269,35218189,-0.15444066,0.040116563,0.058398772,-0.8778144,0.14697658,0.5755254
35240730,35240643,-0.13923277,0.05328042,0.06531945,1.4252155,0.307009,0.4011317
35258187,35258107,-0.113191195,0.061543725,0.07508283,1.6800166,0.37373963,0.16950618
35278148,35278066,-0.1211738,0.065539666,0.060843654,1.4778829,0.25125495,-0.43022907
35298108,35298025,-0.08751385,0.06029452,0.068960875,1.0454173,-0.37142017,0.15989594
35315573,35315489,-0.081531,0.06385398,0.07260477,0.5803267,0.25689572,0.39193398
35338026,35337943,-0.091293305,0.05648775,0.06641755,-0.67288953,0.15176153,-0.24460676
35357984,35357901,-0.06308992,0.03591851,0.053100016,2.1061058,-1.4972665,-0.84463
35380438,35380355,-0.061475992,0.020881418,0.020940201,0.30871522,-1.0798584,-1.4196907
35397901,35397819,-0.04649392,0.0017096736,-0.006702676,0.58874583,-1.1576718,-1.3949717
35417860,35417778,-0.024635054,-0.016249327,-0.03685266,0.8264144,-0.7840601,-1.7508359
35440317,35440232,-0.012041584,-0.025260014,-0.06362482,0.9768727,-0.13947086,-1.2787958
35457779,35457696,0.001155111,-0.028919747,-0.07224047,0.41894117,-0.09410454,-0.19969805
35477738,35477655,-0.01959427,-0.036178906,-0.06428128,-1.0638716,0.13436563,0.6540818
35497698,35497614,-0.03591644,-0.025711084,-0.05769437,-0.44160348,0.72339773,0.21077573
35520150,35520067,-0.014638025,-0.006513141,-0.034630235,1.0397667,0.9825025,1.0736871
35537612,35537531,-0.0029998815,0.016288418,-0.021099456,0.8173652,1.3108464,0.689226
35557570,35557490,-0.009178983,0.03852447,-0.011839281,-0.42436686,1.3096684,0.22186887
35580025,35579944,-0.011733957,0.06293781,0.011675729,-0.044888623,0.9114358,1.1190876
35597487,35597408,-0.014520651,0.06741021,0.023270084,0.10139174,0.5517582,0.53084385
35617445,35617367,0.0015332103,0.08511799,0.037645202,0.8259344,0.8027303,0.4946005
35639904,35639820,0.0051829466,0.082070395,0.043291602,-0.29669175,0.07853958,-0.2384552
35659865,35659779,-0.010588802,0.08828068,0.054702282,-1.0446905,0.21913591,0.32634476
35677324,35677243,-0.015960775,0.08591277,0.055395458,0.14189814,-0.5278499,-0.11400914
35697282,35697202,-0.005305969,0.0839341,0.053636752,0.27870804,-0.43159235,-0.37597144
35719738,35719656,-0.00031031668,0.06718024,0.04697272,0.49098226,-0.7574453,-0.3482384
35737200,35737120,-0.0019643935,0.06212328,0.03974761,0.106358446,-0.29455978,-0.17260467
35757159,35757079,-0.0117438305,0.052830935,0.031368308,-0.18005721,-0.6994337,-0.33638915
35779613,35779532,-0.020170946,0.039996017,0.022385234,-0.16659223,-0.3051865,-0.26393357
35799571,35799491,0.0011780448,0.026116531,0.011642613,1.279875,-0.8893845,-0.6469939
35817037,35816955,0.021528805,0.011197797,0.00957143,0.75915676,-1.0059352,0.087526515
35839495,35839409,-0.0013111848,-0.01825005,-0.016716594,-1.4077251,-1.0512339,-1.0455205
35859447,35859368,-0.0031424023,-0.031113243,-0.026438244,0.013971903,-0.5628029,-0.42572224
35876914,35876832,0.000898737,-0.044988677,-0.02946268,-0.05118282,-0.76523715,-0.25491735
35896871,35896791,-0.015533956,-0.050308663,-0.023015436,-0.9242106,-0.20297788,0.2631501
35919324,35919244,-0.03218723,-0.04379082,-0.008061589,-0.33774608,0.55251336,0.79322356
35939285,35939203,-0.02617243,-0.039819576,0.0049007377,0.087840475,0.3670314,0.54873145
35956747,35956667,-0.029208405,-0.039908916,0.027185718,0.21251558,0.004318519,1.0579126
35979201,35979121,-0.058930367,-0.033369306,0.044358037,-2.190965,0.57297796,0.43994957
