timestamp,time_estimate,safe_time_estimate,valid
83026046,0.0,0.0,0
85045535,0.0,0.0,0
87065029,0.0,0.0,0
89094522,0.0,0.0,0
91124062,0.0,0.0,0
93143320,0.0,0.0,0
95182548,0.0,0.0,0
97202129,0.0,0.0,0
99231560,0.0,0.0,0
101251157,0.0,0.0,0
103280436,0.0,0.0,0
105300007,0.0,0.0,0
107329398,0.0,0.0,0
109348948,0.0,0.0,0
111378336,0.0,0.0,0
113398142,0.0,0.0,0
115427259,0.0,0.0,0
117446867,0.0,0.0,0
119476225,0.0,0.0,0
121495813,0.0,0.0,0
123525258,0.0,0.0,0
125544855,0.0,0.0,0
127574472,0.0,0.0,0
129593830,0.0,0.0,0
131623180,0.0,0.0,0
133642837,0.0,0.0,0
135672725,0.0,0.0,0
137691940,0.0,0.0,0
139721575,0.0,0.0,0
141740842,0.0,0.0,0
143770401,0.0,0.0,0
145789873,0.0,0.0,0
147819280,0.0,0.0,0
149838960,0.0,0.0,0
151868452,0.0,0.0,0
153888068,0.0,0.0,0
155907575,0.0,0.0,0
157937077,0.0,0.0,0
159966445,0.0,0.0,0
161986483,0.0,0.0,0
164015655,0.0,0.0,0
166035139,0.0,0.0,0
168064603,0.0,0.0,0
170113859,0.0,0.0,0
