timestamp,load,ram_usage
81844852,0.23433912,0.30166754
82344853,0.31632018,0.37095502
82845023,0.26969314,0.3712405
83344854,0.2671796,0.3712405
83844854,0.25856125,0.3712405
84344854,0.25906777,0.3712405
84844855,0.25958884,0.3712405
85344854,0.26048976,0.3712405
85844854,0.25879675,0.3712405
86344853,0.25884575,0.3712405
86844891,0.25858563,0.3712405
87344853,0.25991374,0.3712405
87844854,0.25862765,0.3712405
88344855,0.2587055,0.3712405
88844852,0.25903773,0.3712405
89344852,0.25989372,0.3712405
89844854,0.25898236,0.3712405
90344867,0.25927466,0.3712405
90844855,0.25962615,0.3712405
91344853,0.25981396,0.3712405
91844978,0.25873524,0.3712405
92345375,0.25826567,0.3712405
92844947,0.2594825,0.3712405
93345075,0.25992072,0.3712405
93844860,0.25861478,0.3712405
94345221,0.25914174,0.3712405
94844855,0.2592039,0.3712405
95344881,0.2604028,0.3712405
95844854,0.25905055,0.3712405
96345118,0.256267,0.3712405
96844865,0.25925756,0.3712405
97344853,0.25948668,0.3712405
97844852,0.25908393,0.3712405
98344975,0.25816453,0.3712405
98844853,0.26025832,0.3712405
99344852,0.25936848,0.3712405
99844852,0.25919133,0.3712405
100344869,0.25872105,0.3712405
100844852,0.2586729,0.3712405
101344852,0.25898856,0.3712405
101844853,0.25934595,0.3712405
102344852,0.25869626,0.3712405
102844853,0.25896132,0.3712405
103344854,0.25895667,0.3712405
103844854,0.25850534,0.3712405
104344853,0.2580282,0.3712405
104844853,0.2584895,0.3712405
105344863,0.26051724,0.3712405
105844852,0.25683683,0.3712405
106344853,0.25921822,0.3712405
106844854,0.2599914,0.3712405
107344852,0.25878382,0.3712405
107844853,0.2584319,0.3712405
108344853,0.2599727,0.3712405
108844873,0.25811344,0.3712405
109344852,0.2597739,0.3712405
109844853,0.25830877,0.3712405
110344852,0.2599253,0.3712405
110844868,0.25879806,0.3712405
111344853,0.25932354,0.3712405
111844853,0.25780922,0.3712405
112344890,0.26046956,0.3712405
112844852,0.25895858,0.3712405
113344852,0.25808996,0.3712405
113844853,0.26041502,0.3712405
114344853,0.26005453,0.3712405
114844853,0.25944948,0.3712405
115344877,0.2606383,0.3712405
115844873,0.25903893,0.3712405
116344886,0.25939697,0.3712405
116844852,0.2573114,0.3712405
117344853,0.259978,0.3712405
117844852,0.2586689,0.3712405
118344852,0.25877178,0.3712405
118844854,0.25990838,0.3712405
119344853,0.25924945,0.3712405
119844855,0.25790524,0.3712405
120344908,0.2604773,0.3712405
120844854,0.2582879,0.3712405
121344871,0.25877732,0.3712405
121844881,0.2586143,0.3712405
122344873,0.2596081,0.3712405
122844853,0.25914466,0.3712405
123345007,0.26063222,0.3712405
123845132,0.25892723,0.3712405
124345044,0.25927,0.3712405
124845394,0.25858158,0.3712405
125344985,0.2594427,0.3712405
125844991,0.25881213,0.3712405
126345154,0.2599383,0.3712405
126845244,0.2580017,0.3712405
127344867,0.2598719,0.3712405
127844891,0.2577533,0.3712405
128344942,0.26045448,0.3712405
128845167,0.25703847,0.3712405
129344870,0.26039994,0.3712405
