timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
558123772,0,31.1856136,117.1975186,30.339000000000002,28.144000000000002,1768466397299560,10813493,0.07700001,0.48410264,0.20500001,0.335,0.57,0.84,96,10,0.093,0.09,0.023000002,-0.037,2.1568403,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558221614,0,31.185613699999998,117.1975186,30.342000000000002,28.147000000000002,1768466397399560,10813493,0.05,0.62316823,0.20500001,0.335,0.57,0.84,96,10,0.125,0.042000003,0.11800001,0.021000002,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558320629,0,31.185613699999998,117.19751869999999,30.334,28.138,1768466397499560,10813493,0.048,0.62316966,0.20500001,0.33400002,0.57,0.84,96,6,0.062000003,0.003,0.062000003,0.006,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558420614,0,31.1856136,117.19751869999999,30.324,28.129,1768466397599560,10813493,0.07,0.623171,0.20500001,0.333,0.57,0.84,96,6,0.039,-0.033,-0.020000001,-0.028,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558521612,0,31.1856136,117.19751869999999,30.313000000000002,28.118000000000002,1768466397699560,10813493,0.085,0.62317294,0.20400001,0.333,0.57,0.84,96,6,0.058000002,0.041,-0.041,-0.046000004,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558621614,0,31.1856135,117.19751869999999,30.304000000000002,28.109,1768466397799560,10813493,0.057000004,0.6231742,0.20400001,0.33200002,0.57,0.84,96,6,0.024,-0.017,-0.016,0.010000001,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558722348,0,31.1856135,117.19751869999999,30.296,28.101,1768466397899560,10813493,0.069000006,0.62317574,0.20400001,0.33100003,0.57,0.84,96,6,0.053000003,0.053000003,0.001,0.017,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558852627,0,31.1856135,117.19751869999999,30.282,28.087,1768466397999561,10813493,0.076000005,0.6231773,0.20400001,0.33100003,0.57,0.84,96,6,0.030000001,0.030000001,0.004,0.038000003,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
558922620,0,31.1856135,117.19751869999999,30.275000000000002,28.080000000000002,1768466398099560,10813493,0.075,0.623179,0.20400001,0.33,0.57,0.84,96,6,0.065000005,-0.057000004,0.030000001,0.016,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
559020641,0,31.185613399999998,117.19751869999999,30.268,28.073,1768466398199560,10813493,0.09,0.623181,0.20400001,0.32900003,0.57,0.84,96,6,0.033,-0.017,0.028,0.072000004,1.8068525,0,nan,0.0,0.0,0.0,0,4,1,1,1,26,0,0,0
