timestamp,timestamp_sample,device_id,differential_pressure_pa,temperature,error_count
668860649,668857693,4728849,-55.23651,18.978994,0
669900627,669897665,4728849,-53.13227,18.978994,0
670900632,670897676,4728849,-55.23651,18.978994,0
671900621,671897656,4728849,-53.13227,18.978994,0
672900656,672897699,4728849,-53.13227,18.978994,0
673900628,673897656,4728849,-55.23651,18.978994,0
674900631,674897656,4728849,-53.13227,18.978994,0
675874299,675871325,4728849,-53.13227,18.978994,0
676860629,676857672,4728849,-55.23651,18.978994,0
677900620,677897660,4728849,-57.34075,18.978994,0
678900661,678897704,4728849,-55.23651,18.978994,0
679900628,679897671,4728849,-55.23651,18.978994,0
680900634,680897677,4728849,-53.13227,18.978994,0
681900675,681897719,4728849,-53.13227,18.978994,0
682900641,682897656,4728849,-53.13227,18.978994,0
683860682,683857712,4728849,-53.13227,18.978994,0
684900679,684897666,4728849,-55.23651,18.978994,0
685900638,685897681,4728849,-55.23651,18.978994,0
686900628,686897672,4728849,-55.23651,18.978994,0
687900628,687897669,4728849,-55.23651,18.978994,0
688900651,688897693,4728849,-53.13227,18.978994,0
689900620,689897656,4728849,-53.13227,18.978994,0
690900636,690897659,4728849,-57.34075,18.978994,0
691900652,691897695,4728849,-53.13227,18.978994,0
692900677,692897720,4728849,-52.08015,18.978994,0
693900739,693897726,4728849,-53.13227,18.978994,0
694900628,694897656,4728849,-55.23651,18.978994,0
695900673,695897696,4728849,-52.08015,18.978994,0
696900624,696897655,4728849,-53.13227,18.978994,0
697900625,697897656,4728849,-49.97591,18.978994,0
698900673,698897655,4728849,-52.08015,18.978994,0
699900624,699897656,4728849,-48.92379,19.076698,0
700900647,700897690,4728849,-44.715305,19.076698,0
701900649,701897655,4728849,-45.767426,19.076698,0
702900644,702897688,4728849,-45.767426,19.076698,0
703900635,703897675,4728849,-44.715305,19.076698,0
704900630,704897673,4728849,-44.715305,19.174402,0
705900668,705897708,4728849,-45.767426,19.174402,0
706900628,706897655,4728849,-45.767426,19.174402,0
707900633,707897677,4728849,-45.767426,19.174402,0
708900700,708897693,4728849,-47.871666,19.174402,0
709900626,709897660,4728849,-60.497116,19.272106,0
710900633,710897655,4728849,-67.86196,19.272106,0
711900629,711897656,4728849,-67.86196,19.272106,0
712900650,712897694,4728849,-60.497116,19.272106,0
713900638,713897682,4728849,-100.4777,19.36981,0
714900630,714897673,4728849,-105.738304,19.36981,0
715860629,715857671,4728849,-103.63406,19.36981,0
716900692,716897722,4728849,-98.37346,19.36981,0
