timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale_raw,tas_scale_raw_var,tas_scale_validated,beta_innov,beta_innov_var,source
559076265,0,-0.6337533,-0.38586238,1.318308,1.3635223,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
560076239,0,-0.6337533,-0.38586238,1.329308,1.3745223,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
561076239,0,-0.6337533,-0.38586238,1.3403081,1.3855224,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
562076239,0,-0.6337533,-0.38586238,1.3503081,1.3955224,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
563076259,0,-0.6337533,-0.38586238,1.360308,1.4055223,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
564076274,0,-0.6337533,-0.38586238,1.370308,1.4155223,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
565076239,0,-0.6337533,-0.38586238,1.3813081,1.4265224,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
566076239,0,-0.6337533,-0.38586238,1.3913081,1.4365224,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
567076239,0,-0.6337533,-0.38586238,1.4013081,1.4465224,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
568076239,0,-0.6337533,-0.38586238,1.4113082,1.4565225,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
569076265,0,-0.6337533,-0.38586238,1.4223083,1.4675226,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
570076240,0,-0.6337533,-0.38586238,1.4223083,1.4675226,nan,nan,nan,nan,nan,-0.19905598,0.03585125,0
571076239,0,-0.75546366,-0.32192236,0.31539,1.1699904,nan,nan,nan,nan,nan,-2.5663621,497.0392,0
572076239,0,-0.7719104,-0.29241917,0.0129532665,0.0031868715,nan,nan,nan,nan,nan,-0.21327011,0.022690767,0
573076239,0,-0.75056666,-0.26853386,0.022505274,0.012992774,nan,nan,nan,nan,nan,0.013370218,0.022952551,0
574076248,0,-0.7084463,-0.2440444,0.031071398,0.02247801,nan,nan,nan,nan,nan,-0.115071855,0.023087423,0
575076239,0,-0.68815136,-0.23468669,0.0415454,0.03336605,nan,nan,nan,nan,nan,-0.20465028,0.02338504,0
576076240,0,-0.68815136,-0.23468669,0.05254539,0.04436604,nan,nan,nan,nan,nan,-0.34738934,0.02381827,0
577076239,0,-0.68815136,-0.23468669,0.06254539,0.05436604,nan,nan,nan,nan,nan,-0.22293916,0.023619846,0
578076239,0,-0.68815136,-0.23468669,0.07254539,0.06436604,nan,nan,nan,nan,nan,-0.285579,0.023738999,0
579076239,0,-0.68815136,-0.23468669,0.082545385,0.07436604,nan,nan,nan,nan,nan,-0.24922533,0.023928583,0
580076239,0,-0.66806227,-0.16786143,0.09207727,0.07918623,nan,nan,nan,nan,nan,-0.21548347,0.024145674,0
581076239,0,-0.5813346,0.15473081,0.1000935,0.06244584,nan,nan,nan,nan,nan,-0.23393105,0.023627907,0
582076239,0,-0.56339145,0.31642824,0.109908015,0.060737953,nan,nan,nan,nan,nan,-0.09992119,0.023415942,0
583076239,0,-0.4597092,0.06422786,0.11771046,0.052287124,nan,nan,nan,nan,nan,0.14588176,0.023452673,0
584076245,0,-0.4597092,0.06422786,0.12771046,0.062287126,nan,nan,nan,nan,nan,0.26336545,0.023749765,0
585076240,0,-0.4597092,0.06422786,0.13771056,0.072287224,nan,nan,nan,nan,nan,0.49255946,0.025419235,0
586076239,0,-0.4597092,0.06422786,0.14871046,0.08328713,nan,nan,nan,nan,nan,0.5039571,0.026663603,0
587076239,0,-0.4597092,0.06422786,0.15871046,0.093287125,nan,nan,nan,nan,nan,0.5656237,0.027649308,0
588076239,0,-0.4597092,0.06422786,0.16871047,0.10328712,nan,nan,nan,nan,nan,0.4808686,0.027547318,0
589076241,0,-0.4597092,0.06422786,0.17871048,0.11328712,nan,nan,nan,nan,nan,0.45975408,0.027969295,0
590076239,0,-0.4597092,0.06422786,0.18871048,0.12328712,nan,nan,nan,nan,nan,0.38814488,0.028004162,0
591076239,0,-0.4597092,0.06422786,0.19871049,0.13328712,nan,nan,nan,nan,nan,0.44510287,0.032169513,0
592076239,0,-0.4597092,0.06422786,0.20871049,0.14328712,nan,nan,nan,nan,nan,0.43120733,0.0352062,0
593076269,0,-0.054964304,0.18399802,0.11184349,0.14287505,nan,nan,nan,nan,nan,0.114203885,0.02785282,0
594076239,0,-0.016729133,0.12859952,0.1080668,0.09628232,nan,nan,nan,nan,nan,-0.044303346,0.024579007,0
