timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
566251903,566251782,0.069798216,0.02342658,nan,nan,nan,nan,nan,nan
566354194,566354077,0.15620536,-0.019166937,nan,nan,nan,nan,nan,nan
566451502,566451382,0.2545437,-0.036010932,nan,nan,nan,nan,nan,nan
566553800,566553678,0.28076807,-0.078348994,nan,nan,nan,nan,nan,nan
566651119,566650983,0.21638487,-0.057478566,nan,nan,nan,nan,nan,nan
566753405,566753278,0.16069119,0.011383524,nan,nan,nan,nan,nan,nan
566853196,566853078,0.25646865,-0.069726385,nan,nan,nan,nan,nan,nan
566952996,566952878,0.34976566,-0.23802704,nan,nan,nan,nan,nan,nan
567052796,567052678,0.21512747,-0.20083874,nan,nan,nan,nan,nan,nan
567152594,567152478,0.30440414,-0.39749253,nan,nan,nan,nan,nan,nan
567252397,567252278,0.19625248,-0.09588088,nan,nan,nan,nan,nan,nan
567352195,567352079,0.04251563,0.30375034,nan,nan,nan,nan,nan,nan
567451996,567451879,0.0036305669,0.64893943,nan,nan,nan,nan,nan,nan
567554306,567554174,-0.21005854,1.0,nan,nan,nan,nan,nan,nan
567651601,567651479,-0.20159775,0.73654246,nan,nan,nan,nan,nan,nan
567753893,567753774,0.17487518,0.5005129,nan,nan,nan,nan,nan,nan
567851199,567851080,0.23751442,0.00981693,nan,nan,nan,nan,nan,nan
567953494,567953375,0.43094936,-0.09541663,nan,nan,nan,nan,nan,nan
568055796,568055670,-0.17653598,0.12482013,nan,nan,nan,nan,nan,nan
568153094,568152975,-0.39811283,0.40927994,nan,nan,nan,nan,nan,nan
568255388,568255271,-0.25334403,0.2961481,nan,nan,nan,nan,nan,nan
568352696,568352576,-0.16358297,0.15101726,nan,nan,nan,nan,nan,nan
568452494,568452376,0.3244474,-0.35936546,nan,nan,nan,nan,nan,nan
568552296,568552176,-0.064038135,-0.03597797,nan,nan,nan,nan,nan,nan
568652095,568651976,-0.16185284,0.24746874,nan,nan,nan,nan,nan,nan
568751908,568751776,-0.113935016,0.1720852,nan,nan,nan,nan,nan,nan
568851699,568851579,0.26076603,-0.16748193,nan,nan,nan,nan,nan,nan
568953990,568953872,0.23624936,0.13054343,nan,nan,nan,nan,nan,nan
569051295,569051177,-0.20788492,0.22064312,nan,nan,nan,nan,nan,nan
569153589,569153472,-0.5171244,0.12834635,nan,nan,nan,nan,nan,nan
569250904,569250777,0.053991437,0.12346017,nan,nan,nan,nan,nan,nan
569353199,569353073,-0.043749075,0.082328446,nan,nan,nan,nan,nan,nan
569455494,569455368,-0.44004166,0.5197684,nan,nan,nan,nan,nan,nan
569552792,569552673,-0.29538924,0.26207066,nan,nan,nan,nan,nan,nan
569655087,569654968,0.14546892,0.03803011,nan,nan,nan,nan,nan,nan
569752391,569752273,0.16376661,-0.047321912,nan,nan,nan,nan,nan,nan
569854688,569854569,-0.3457104,0.47923714,nan,nan,nan,nan,nan,nan
569951992,569951874,-0.035425484,0.29543653,nan,nan,nan,nan,nan,nan
570054291,570054169,0.31677493,0.085571446,nan,nan,nan,nan,nan,nan
570151612,570151474,0.30426857,0.20641741,nan,nan,nan,nan,nan,nan
570253890,570253770,0.041303497,0.29595917,nan,nan,nan,nan,nan,nan
570353689,570353570,0.532056,0.2550047,nan,nan,nan,nan,nan,nan
570450993,570450875,0.31220382,-0.103376076,nan,nan,nan,nan,nan,nan
570553306,570553170,-0.14690517,-0.03549017,nan,nan,nan,nan,nan,nan
570650593,570650475,-0.72714806,-0.1277575,nan,nan,nan,nan,nan,nan
570752891,570752771,0.39697656,-0.60856164,nan,nan,nan,nan,nan,nan
570850196,570850076,-0.12690522,-0.23323964,nan,nan,nan,nan,nan,nan
570952488,570952371,-0.42287216,-0.117784955,nan,nan,nan,nan,nan,nan
571054784,571054666,0.08589483,-0.26653287,nan,nan,nan,nan,nan,nan
571152091,571151972,0.22042912,-0.7694769,nan,nan,nan,nan,nan,nan
571254388,571254270,-0.5211567,-0.37176797,nan,nan,nan,nan,nan,nan
571351694,571351572,0.08822814,-0.4815345,nan,nan,nan,nan,nan,nan
571453984,571453867,0.36702803,-0.45870832,nan,nan,nan,nan,nan,nan
571551291,571551172,0.020335296,-0.44167492,nan,nan,nan,nan,nan,nan
571653586,571653467,0.02526964,-0.2961207,nan,nan,nan,nan,nan,nan
571753396,571753268,0.29361597,-1.0,nan,nan,nan,nan,nan,nan
571853186,571853068,-0.6414472,-0.35855302,nan,nan,nan,nan,nan,nan
571952993,571952868,-0.52902716,-0.2247217,nan,nan,nan,nan,nan,nan
572052790,572052668,-0.4703239,-0.5296763,nan,nan,nan,nan,nan,nan
