timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
558148264,0.0,0.9351496,0.041574445,0.12374282,-0.32932416,0.014778346,0.0,0.0,0,0
558153301,0.0,0.9348949,0.041670028,0.12371066,-0.33004653,0.014778346,0.0,0.0,0,0
558203150,0.0,0.9324903,0.042561166,0.12340691,-0.33678052,0.014778346,0.0,0.0,0,0
558248067,0.0,0.9306314,0.043236557,0.12317191,-0.34188375,0.014778346,0.0,0.0,0,0
558303001,0.0,0.9289708,0.043830413,0.12296184,-0.3463705,0.014778346,0.0,0.0,0,0
558352850,0.0,0.92817116,0.044113312,0.12286063,-0.34850767,0.014778346,0.0,0.0,0,0
558402758,0.0,0.92804843,0.044156544,0.1228451,-0.3488343,0.014778346,0.0,0.0,0,0
558452651,0.0,0.928548,0.04398026,0.12290833,-0.3475025,0.014778346,0.0,0.0,0,0
558502549,0.0,0.92953366,0.043630105,0.123033054,-0.34485713,0.014778346,0.0,0.0,0,0
558552484,0.0,0.93126726,-0.031797133,0.15024151,-0.33039033,0.014778346,0.0,0.0,0,0
558602382,0.0,0.8779822,-0.31567416,0.242334,-0.26602864,0.014778346,0.0,0.0,0,0
558652255,0.0,0.8788514,-0.3164686,0.24129559,-0.26314276,0.014778346,0.0,0.0,0,0
558702212,0.0,0.8793556,-0.3169318,0.2406869,-0.2614531,0.014778346,0.0,0.0,0,0
558752054,0.0,0.9334705,-0.05409005,0.15705176,-0.31787086,0.014778346,0.0,0.0,0,0
558801954,0.0,0.93427956,0.04190001,0.12363296,-0.3317845,0.014778346,0.0,0.0,0,0
558851857,0.0,0.9344136,0.041850038,0.12364989,-0.33140686,0.014778346,0.0,0.0,0,0
558901755,0.0,0.93453175,0.041805916,0.123664804,-0.33107343,0.014778346,0.0,0.0,0,0
558951659,0.0,0.934608,0.041777432,0.12367443,-0.33085814,0.014778346,0.0,0.0,0,0
559001619,0.0,0.9347392,0.041728385,0.12369099,-0.33048752,0.014778346,0.0,0.0,0,0
559051455,0.0,0.93508655,0.041598137,0.123734854,-0.3295032,0.014778346,0.0,0.0,0,0
559101365,0.0,0.93566936,0.041378684,0.12380842,-0.32784477,0.014778346,0.0,0.0,0,0
559151259,0.0,0.9364823,0.041070435,0.12391101,-0.32551515,0.014778346,0.0,0.0,0,0
559201167,0.0,0.9374459,0.040701885,0.12403256,-0.3227297,0.014778346,0.0,0.0,0,0
559251045,0.0,0.9385514,0.040274624,0.12417196,-0.31950033,0.014778346,0.0,0.0,0,0
559300946,0.0,0.9399589,0.039723635,0.12434931,-0.31533554,0.014778346,0.0,0.0,0,0
559350848,0.0,0.94185585,0.03896803,0.12458817,-0.30962363,0.014778346,0.0,0.0,0,0
559400790,0.0,0.94397026,0.03810728,0.12485413,-0.3031162,0.014778346,0.0,0.0,0,0
559450651,0.0,0.94558287,0.037436895,0.12505679,-0.29804748,0.014778346,0.0,0.0,0,0
559500542,0.0,0.9455373,0.037456,0.12505105,-0.29819193,0.014778346,0.0,0.0,0,0
559550438,0.0,0.94340205,0.03834057,0.12478269,-0.30488002,0.014778346,0.0,0.0,0,0
559600347,0.0,0.93979836,0.0397869,0.12432909,-0.31581375,0.014778346,0.0,0.0,0,0
559650251,0.0,0.93575585,0.04134599,0.12381934,-0.32759768,0.014778346,0.0,0.0,0,0
559700141,0.0,0.93252677,0.0425478,0.12341152,-0.33667952,0.014778346,0.0,0.0,0,0
559750059,0.0,0.930986,0.043108586,0.123216756,-0.34091678,0.014778346,0.0,0.0,0,0
