timestamp,frequency_hz
558151117,1.3142325e-25
558161106,1.051386e-25
558201106,4.306477e-26
558251106,1.4111463e-26
558301145,4.624044e-27
558351107,1.5152067e-27
558401105,4.9650296e-28
558451115,1.6269409e-28
558501113,5.33116e-29
558551105,1.7469145e-29
558601116,5.7242896e-30
558651106,1.8757352e-30
558701121,6.146409e-31
558751141,2.0140556e-31
558801108,6.599657e-32
558851107,2.1625758e-32
558901118,7.0863274e-33
558951105,2.3220478e-33
559001106,7.6088863e-34
559051116,2.4932798e-34
559101132,8.1699796e-35
559151106,2.6771384e-35
559201114,8.772447e-36
559251106,2.8745556e-36
559301131,9.419345e-37
559351124,-0.00033303455
559401122,-0.00037630383
559451106,0.0010488841
559501152,0.00034369837
559551106,0.00011262307
559601105,3.690433e-05
559651114,1.2092812e-05
559701154,-0.00031007128
559751105,0.00016613422
559801115,-0.0027011666
559851109,-0.00033435525
559901121,0.0005730263
559951115,0.00060481246
560001113,0.00072126905
560051105,0.00075671193
560101131,0.00024795937
560151105,8.1251324e-05
560201106,2.6624433e-05
560251114,8.724294e-06
560301113,2.858777e-06
560351123,9.36764e-07
560401114,3.0695884e-07
560451115,1.0058427e-07
560501118,3.2959456e-08
560551116,1.0800154e-08
560601124,3.5389942e-09
560651121,1.1596577e-09
560701160,3.7999665e-10
560751105,1.245173e-10
560801105,4.0801827e-11
560851115,1.3369942e-11
560901122,4.3810624e-12
560951105,0.00010312735
561001115,3.3792767e-05
561051105,1.10732135e-05
561101147,8.6528154e-05
561151116,2.835355e-05
561201106,9.290892e-06
561251105,3.0444394e-06
561301117,9.976019e-07
561351116,-0.00019867631
561401106,-0.0003986033
561451114,-0.00013061432
561501112,-0.0005641037
561551107,-0.00078423484
561601120,0.0009156097
561651105,0.00090013613
561701132,0.00042729813
561751115,-0.0002958835
561801105,-0.00017988066
561851112,0.00027419112
561901136,8.9846944e-05
561951106,2.9441047e-05
562001118,9.647241e-06
562051116,3.1612083e-06
562101117,1.0358649e-06
562151106,3.3943218e-07
562201119,1.1122515e-07
562251107,3.6446256e-08
562301162,1.1942711e-08
562351135,3.9133874e-09
562401105,1.2823389e-09
562451111,4.201968e-10
562501135,1.3769008e-10
562551106,4.5118288e-11
562601105,0.00021364118
562651114,-0.00036689528
562701128,-0.00012022424
562751106,-3.9395087e-05
562801114,-1.290898e-05
562851108,-4.2300153e-06
562901156,0.0004976649
562951116,0.00016307482
563001144,5.3436353e-05
563051105,-0.0003157576
563101121,-0.000103467464
563151112,-3.3904216e-05
563201108,0.0002554511
563251114,0.00016701475
563301108,5.472739e-05
563351105,1.7933071e-05
563401139,5.8763085e-06
563451105,1.9255485e-06
563501133,0.000104287894
563551116,3.417306e-05
563601107,1.1197828e-05
563651105,3.669304e-06
563701150,1.2023576e-06
563751105,3.939885e-07
563801105,1.2910215e-07
563851116,4.230419e-08
563901112,1.3862238e-08
563951105,4.542378e-09
564001114,1.4884465e-09
564051136,4.877342e-10
564101113,1.5982075e-10
564151115,-0.0006514343
564201105,-0.00027962218
564251105,-0.00029055073
564301117,-9.5207666e-05
564351106,-3.1197647e-05
564401112,-1.0222845e-05
564451114,-3.349822e-06
564501108,-1.0976696e-06
564551106,-3.5968435e-07
564601118,-1.17861376e-07
564651105,0.00041704634
564701118,-0.00051412545
564751116,-0.00016846861
564801105,0.0005959049
564851105,0.00026127519
564901113,8.561465e-05
564951106,2.8054208e-05
565001106,9.192803e-06
565051115,3.0122976e-06
565101127,9.870697e-07
565151105,3.2344303e-07
565201114,1.05985805e-07
565251111,3.472943e-08
565301134,0.00012957062
565351115,4.2457697e-05
565401115,-0.0005700206
565451105,7.9883095e-05
565501142,0.000325074
565551108,0.00032043044
565601105,-0.00044342634
565651114,0.000121365505
565701111,0.00034254696
565751112,0.00041411433
565801114,0.0013611808
565851105,-0.00020501182
565901167,0.0010918363
565951114,0.027995996
566001105,0.11196063
566051105,0.19932632
566101126,0.29854047
566151105,0.3523261
566201105,0.3906367
566251114,0.41890857
566301133,0.4027797
566351106,0.3782207
566401115,0.3667547
566451105,0.33656797
566501125,0.2894915
566551114,0.254917
566601106,0.24576034
566651133,0.27979925
566701117,0.3520768
566751106,0.47699183
566801106,0.63970286
566851115,0.67728263
566901125,0.74999183
566951106,0.85314107
567001114,0.9660047
567051106,1.0920138
567101155,1.2326795
567151116,1.2438928
567201110,1.1475749
567251106,0.98411006
567301123,0.950772
567351106,1.0354229
567401106,1.1416222
567451115,1.3148382
567501119,1.4667544
567551105,1.56226
567601115,1.4050025
567651105,1.294241
567701122,1.2864883
567751115,1.3820125
567801105,1.6101378
567851105,1.8099957
567901126,1.7906094
567951105,1.5679308
568001105,1.5743872
568051114,1.7510083
568101117,2.071072
568151105,2.2160378
568201117,1.9066329
568251105,1.696869
568301118,1.7316111
568351115,1.992017
568401106,2.2725725
568451105,2.1095402
568501143,1.9267498
568551106,1.9715412
568601105,2.2675486
568651114,2.428395
568701153,2.0987892
568751105,2.0071676
568801115,2.1371877
568851105,2.4731994
568901120,2.4279912
568951114,2.179779
569001106,2.2259302
569051106,2.53751
569101118,2.587067
569151109,2.3264759
569201106,2.348976
569251114,2.6258538
569301124,2.7145495
569351106,2.3420131
569401114,2.3222082
569451105,2.6043208
569501119,2.6476774
569551115,2.3213348
569601105,2.3179922
569651106,2.579807
569701147,2.697974
569751106,2.3440232
569801106,2.339324
569851114,2.6206682
569901120,2.7106316
569951105,2.4507074
570001114,2.5204384
570051105,2.8233027
570101113,2.8145213
570151114,2.5987146
570201105,2.7290297
570251106,2.982367
570301139,2.7204363
570351105,2.636238
570401107,2.9073987
570451116,3.0096207
570501109,2.7145245
570551125,2.811784
570601115,3.0983398
570651105,2.8726199
570701129,2.788367
570751116,3.0649016
570801105,3.068044
570851105,2.8239481
570901115,3.0191374
570951108,3.1653547
571001105,2.8857455
571051125,2.9719992
571101117,3.2647588
571151125,3.04071
571201114,2.9685366
571251105,3.2549589
571301143,3.120452
571351114,2.9938076
571401106,3.264547
571451105,3.2355838
571501118,3.0198343
571551105,3.1930013
571601105,3.3065116
571651116,3.0736215
571701140,3.2432697
571751104,3.4152997
571801116,3.292505
571851107,3.506713
571901119,3.6201637
571951135,3.4817958
572001106,3.6926355
572051106,3.4538684
572101175,3.242497
572151106,3.551083
572201106,3.5303237
572251123,3.507257
572301131,3.7170994
572351105,3.4210536
572401115,3.451787
572451104,3.760125
572501120,3.6101012
572551115,3.7420962
572601130,3.701472
572651105,3.4682724
572701138,3.6906888
572751105,3.7027097
572801105,3.6760705
572851116,3.8371415
572901114,3.5539627
572951105,3.565724
573001115,3.8164027
573051105,3.6800566
573101164,3.8821023
573151115,3.7209473
573201105,3.530395
573251105,3.8011436
573301114,3.7326617
573351105,3.8608823
573401105,3.848593
573451114,3.5439343
573501121,3.729303
573551105,3.8119314
573601115,3.8406262
573651108,3.9247282
573701119,3.6520479
573751115,3.6736426
573801105,3.888009
573851106,3.8147738
573901124,3.9577365
573951106,3.7831328
574001105,3.6808906
574051114,3.9545758
574101113,3.855127
574151105,4.017922
574201117,3.8416965
574251105,3.625242
574301119,3.9131382
574351149,3.8767085
574401105,4.0016603
574451106,3.9162037
574501118,3.7032135
574551106,3.8972113
574601105,3.9374614
574651115,3.9919503
574701109,4.00986
574751104,3.7083015
574801114,3.8593965
574851106,3.9450905
