timestamp,altitude_sp,altitude_reference,altitude_time_constant,height_rate_reference,height_rate_direct,height_rate_setpoint,height_rate,equivalent_airspeed_sp,true_airspeed_sp,true_airspeed_filtered,true_airspeed_derivative_sp,true_airspeed_derivative,true_airspeed_derivative_raw,total_energy_rate_sp,total_energy_rate,total_energy_balance_rate_sp,total_energy_balance_rate,throttle_integ,pitch_integ,throttle_sp,pitch_sp_rad,throttle_trim,underspeed_ratio,fast_descend_ratio
601830461,37.85482,37.85482,10.0,0.9307113,nan,0.1396067,0.9307113,4.020003,4.1209006,-3.117721,0.0,0.0,0.0,1.3690741,9.12716,0.0,0.0,0.0,0.0,0.85,0.0,0.61505866,1.0,0.0
601850656,37.8647,37.8647,10.0,0.9307113,0.9307113,0.9307113,0.6916788,4.040196,4.1416006,0.0,0.82832015,3.4377105,0.0,9.80665,9.014516,-6.8611426,0.0,0.0,-inf,0.85,-0.2617994,0.6150571,1.0,0.0
602030040,37.982563,37.982563,10.0,0.5739433,0.5739433,0.5739433,1.7427367,4.2195954,4.3255525,0.0,0.8651105,2.621514,0.0,9.370543,9.864493,-7.484162,0.0,0.0,-inf,0.85,-0.2617994,0.6150657,1.0,0.0
602229659,38.093918,38.093918,10.0,0.17470531,0.17470531,0.17470531,1.5942326,4.4191933,4.530226,1.6031533,0.5854146,3.5427182,0.0,4.3653345,10.780104,-5.304121,-11.359041,0.0,-inf,0.85,-0.34906584,0.61508375,1.0,0.0
602419448,38.21328,38.179127,10.0,3.601599e-10,nan,-0.0034152984,0.7472281,4.6089997,4.7247653,1.3530475,0.6743436,2.4128876,0.0,3.1526227,11.733509,-6.3722305,-6.529503,0.0,-inf,0.85,-0.34906584,0.6150704,1.0,0.0
602618855,38.365543,38.17834,10.0,0.006777782,nan,-0.017703578,0.5735302,4.8084087,4.9291325,0.7585753,0.8341114,1.2732717,0.0,3.9378326,12.050521,-8.222891,-1.9317449,0.0,-inf,0.85,-0.34906584,0.6150806,1.0,0.0
602818477,38.516586,38.1792,10.0,-0.005776517,nan,-0.034605186,0.84296286,5.008031,5.1339374,0.0,1.0267875,0.18911044,0.0,4.932102,12.2642355,-10.542926,0.0,0.0,-inf,0.85,-0.34906584,0.6150814,1.0,0.0
603018047,38.649265,38.178402,10.0,0.006001249,nan,-0.04618615,1.5771115,5.207603,5.3386292,0.0,1.0677259,0.13987881,0.0,5.2472615,12.2058525,-11.400386,0.0,0.0,-inf,0.85,-0.34906584,0.6150759,1.0,0.0
603217686,38.770023,38.17917,10.0,-0.006103251,nan,-0.060000952,1.8597597,5.407229,5.5433908,0.0,1.1086782,0.10345297,0.0,5.5574284,11.831968,-12.291674,0.0,0.0,-inf,0.85,-0.34906584,0.6150995,1.0,0.0
603417214,38.88662,38.178402,10.0,0.0061669312,nan,-0.06989672,1.1536763,5.6067696,5.7480073,0.0,1.1496015,0.076524936,0.0,5.9224653,11.126944,-13.215836,0.0,0.0,-inf,0.85,-0.34906584,0.6151128,1.0,0.0
603617048,39.02594,38.17917,10.0,-0.00659493,nan,-0.085666366,0.5270898,5.8066034,5.952731,0.0,1.1905463,0.056577627,0.0,6.247462,10.901038,-14.174004,0.0,0.0,-inf,0.85,-0.34906584,0.6151144,1.0,0.0
603816397,39.163544,38.178596,10.0,-0.029911619,nan,-0.10298146,0.529295,6.0059533,6.157231,0.83448285,1.0645497,0.8733504,0.0,5.5582604,11.1536045,-13.109356,-1.4575918,0.0,-inf,0.85,-0.34906584,0.6151223,1.0,0.0
604015997,39.262,38.1789,10.0,0.03168148,nan,-0.10355771,0.81145984,6.2055545,6.3620386,0.8550723,1.1013932,0.6630227,0.0,6.0039573,10.89643,-14.014213,-1.1338648,0.0,-inf,0.85,-0.34906584,0.6151199,1.0,0.0
604215625,39.306404,38.178673,10.0,-0.03110043,nan,-0.1174382,1.3186527,6.4051566,6.566674,1.7426622,0.9648024,1.3299103,0.0,5.183868,10.066803,-12.671086,-4.6351686,0.0,-inf,0.85,-0.34906584,0.6151246,1.0,0.0
604415188,39.32227,38.178898,10.0,0.030904818,nan,-0.10970144,1.0000813,6.604744,6.771355,2.126231,0.9290249,1.3068436,0.0,5.2165737,9.309777,-11.647837,-3.303908,-3.011625e-05,-inf,0.83427584,-0.34906584,0.6151419,0.88064104,0.0
604634704,39.343742,38.17843,10.0,0.00650293,nan,-0.115555935,0.5378174,6.8242497,6.996407,1.0952909,1.1802233,0.027728636,0.0,7.1241064,7.65243,-16.514647,-0.060741846,-3.0269463e-05,-inf,0.85,-0.34906584,0.6151419,1.0,0.0
