timestamp,lat_accel,lat_accel_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,airspeed_ref,bearing,heading_ref,min_ground_speed_ref,adapted_period,p_gain,time_const,can_run_factor,wind_est_valid
601830477,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
601850666,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
601930595,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602030050,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602129850,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602229670,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602319424,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602419458,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602519019,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602618865,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602718615,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602818488,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
602918262,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603018057,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603118019,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603217696,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603317393,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603417224,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603517016,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603617058,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603716586,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603816407,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
603916239,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
604016007,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
604115944,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
604215635,0.0,0.0,1.0,1.0,0.0,212.13,15.0,0.0,0.0,0.0,10.0,0.8885,7.071,1.0,1
