timestamp,io_errors,frames_tx,frames_rx,interface
558090588,19246,18920,0,1
558192589,19250,18924,0,1
558294590,19254,18924,0,1
558396794,19254,18924,0,1
558498589,19254,18924,0,1
558600588,19254,18924,0,1
558702668,19254,18926,0,1
558804591,19256,18926,0,1
558907044,19257,18943,0,1
559008589,19273,18943,0,1
559110588,19273,18943,0,1
559212588,19273,18945,0,1
559314590,19275,18945,0,1
559416590,19275,18945,0,1
559518588,19275,18945,0,1
559620589,19275,18945,0,1
559722588,19275,18947,0,1
559824593,19277,18947,0,1
559926594,19278,18964,0,1
560028588,19294,18964,0,1
560130588,19294,18966,0,1
560232590,19296,18966,0,1
560334590,19296,18966,0,1
560436750,19296,18966,0,1
560538588,19296,18966,0,1
560640681,19296,18966,0,1
560742589,19296,18968,0,1
560844591,19299,18968,0,1
560946591,19299,18985,0,1
561048588,19315,18985,0,1
561150587,19315,18985,0,1
561252588,19315,18987,0,1
561354590,19317,18987,0,1
561456776,19317,18987,0,1
561558588,19317,18987,0,1
561660588,19317,18987,0,1
561762588,19317,18989,0,1
561864590,19320,18989,0,1
561966634,19320,19006,0,1
562068588,19336,19006,0,1
562170588,19336,19006,0,1
562272589,19336,19008,0,1
562374597,19338,19008,0,1
562476599,19338,19008,0,1
562578591,19338,19008,0,1
562680588,19338,19010,0,1
562782589,19340,19010,0,1
562884591,19341,19027,0,1
562986590,19357,19027,0,1
563088662,19357,19027,0,1
563190588,19357,19029,0,1
563292588,19359,19029,0,1
563394590,19359,19029,0,1
563496600,19359,19029,0,1
563598588,19359,19029,0,1
563700588,19359,19031,0,1
563802588,19361,19031,0,1
563904590,19362,19048,0,1
564007129,19378,19048,0,1
564108609,19378,19048,0,1
564210588,19378,19050,0,1
564312595,19380,19050,0,1
564414591,19380,19050,0,1
564516590,19380,19050,0,1
564618588,19380,19050,0,1
564720587,19380,19050,0,1
564822712,19380,19052,0,1
564925019,19383,19069,0,1
565026593,19399,19069,0,1
565128588,19399,19069,0,1
565230589,19399,19071,0,1
565332587,19401,19071,0,1
565434591,19401,19071,0,1
565536588,19401,19071,0,1
565638588,19401,19071,0,1
565740589,19401,19073,0,1
565842588,19404,19073,0,1
565944590,19404,19090,0,1
566046590,19420,19090,0,1
566148587,19420,19090,0,1
566250588,19420,19092,0,1
566352589,19422,19092,0,1
566454590,19422,19092,0,1
566556591,19422,19092,0,1
566658632,19422,19092,0,1
566760613,19422,19094,0,1
566862786,19425,19094,0,1
566964590,19425,19111,0,1
567066589,19441,19111,0,1
567168588,19441,19111,0,1
567270588,19441,19113,0,1
567372593,19443,19113,0,1
567474637,19443,19113,0,1
567576593,19443,19113,0,1
567678588,19443,19113,0,1
567780587,19443,19115,0,1
567882757,19446,19132,0,1
567984590,19462,19132,0,1
568086590,19462,19132,0,1
