timestamp,normalized_setpoint
21145368,0.0
22148295,0.0
23146226,0.0
24146652,0.0
25147079,0.0
26147510,0.0
27145446,0.0
28145882,0.0
29146315,0.0
30144255,0.0
31147188,0.0
32147626,0.0
33148093,0.0
34146007,0.0
35146455,0.0
36146902,0.0
37145040,0.0
38145314,0.0
39148230,0.0
40143694,0.0
41146629,0.0
42147078,0.0
43147525,0.0
44145483,0.0
45145937,0.0
46146389,0.0
47144346,0.0
48144800,0.0
49147762,0.0
50148229,0.0
51146172,0.0
52146633,0.0
53147122,0.0
54145054,0.0
55145515,0.0
56145986,0.0
57146522,0.0
58144389,0.0
59144880,0.0
60147801,0.0
61145766,0.0
62146218,0.0
63146679,0.0
64147126,0.0
65145085,0.0
66145540,0.0
67145997,0.0
68148935,0.0
69144401,0.0
70147350,0.0
71147798,0.0
72145750,0.0
73146200,0.0
74146759,0.0
75147115,0.0
76145193,0.0
77145506,0.0
78148447,0.0
79146396,0.0
80146850,0.0
81147292,0.0
82145241,0.0
83145691,0.0
84146130,0.0
85146577,0.0
86144526,0.0
87144971,0.0
88147912,0.0
89148354,0.0
90146301,0.0
91146741,0.0
92147185,0.0
93145134,0.0
94145582,0.0
95146106,0.0
96148952,0.0
97144403,0.0
98147338,0.0
99147780,0.0
100145726,0.0
101146195,0.0
102146609,0.0
103144552,0.0
104145061,0.0
105145426,0.0
106148359,0.0
107143810,0.0
108146750,0.0
109147175,0.0
110147613,0.0
111145546,0.0
112145997,0.0
113146563,0.0
114144398,0.0
115147289,0.0
116147737,0.0
117145662,0.0
118146092,0.0
119146530,0.0
120146961,0.0
121144899,0.0
122145335,0.0
123148263,0.0
124143701,0.0
125146626,0.0
126147061,0.0
127144992,0.0
128145439,0.0
129145855,0.0
130146301,0.0
131146883,0.0
132144714,0.0
133147577,0.0
134148004,0.0
135145944,0.0
136146383,0.0
137146790,0.0
138147222,0.0
139145155,0.0
140145589,0.0
141148501,0.0
142143945,0.0
143146861,0.0
144147316,0.0
145145246,0.0
146145642,0.0
147146063,0.0
148146501,0.0
149144429,0.0
150147346,0.0
151147760,0.0
152148182,0.0
153146114,0.0
154146531,0.0
155146953,0.0
156144883,0.0
157145308,0.0
158148249,0.0
159148640,0.0
160146564,0.0
161146986,0.0
162147405,0.0
163145331,0.0
164145756,0.0
165146190,0.0
166144140,0.0
167144660,0.0
168147440,0.0
169147876,0.0
170145781,0.0
171146209,0.0
172146628,0.0
173147085,0.0
174144971,0.0
175145400,0.0
176148332,0.0
